task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
push,0,object_0_mass,static,1,0.011934,0.011038,85815
push,0,object_0_static_friction,static,1,0.001068,0.012596,85815
push,0,object_0_dynamic_friction,static,1,0.013648,0.007268,85815
push,0,surface_static_friction,static,1,0.016208,0.014185,85815
push,0,surface_dynamic_friction,static,1,0.061829,0.010547,85815
push,0,ee_velocity,dynamic,3,0.685621,0.009541,85815
push,0,ee_acceleration,dynamic,3,0.27976,0.014264,85815
push,0,ee_angular_velocity,dynamic,3,0.427464,0.024192,85815
push,0,object_velocity,dynamic,3,0.410317,0.013872,85815
push,0,object_acceleration,dynamic,3,0.082474,0.00741,85815
push,0,object_angular_velocity,dynamic,3,0.07121,0.010299,85815
push,0,ee_to_object_distance,dynamic,1,0.173418,0.018322,85815
push,0,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,0,object_on_surface,dynamic,1,0.256567,0.06669,85815
push,0,contact_flag,dynamic,1,0.0,0.0,85815
push,0,contact_force,dynamic,3,0.0,0.0,85815
push,0,phase,dynamic,1,0.0,0.0,85815
push,1,object_0_mass,static,1,0.013514,0.011841,85815
push,1,object_0_static_friction,static,1,0.002327,0.011552,85815
push,1,object_0_dynamic_friction,static,1,0.015012,0.006571,85815
push,1,surface_static_friction,static,1,0.017398,0.011488,85815
push,1,surface_dynamic_friction,static,1,0.060139,0.010227,85815
push,1,ee_velocity,dynamic,3,0.697727,0.010229,85815
push,1,ee_acceleration,dynamic,3,0.29803,0.013952,85815
push,1,ee_angular_velocity,dynamic,3,0.497426,0.02495,85815
push,1,object_velocity,dynamic,3,0.421863,0.012832,85815
push,1,object_acceleration,dynamic,3,0.089776,0.008211,85815
push,1,object_angular_velocity,dynamic,3,0.074414,0.012355,85815
push,1,ee_to_object_distance,dynamic,1,0.19824,0.01379,85815
push,1,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,1,object_on_surface,dynamic,1,0.265831,0.066157,85815
push,1,contact_flag,dynamic,1,0.0,0.0,85815
push,1,contact_force,dynamic,3,0.0,0.0,85815
push,1,phase,dynamic,1,0.0,0.0,85815
push,2,object_0_mass,static,1,0.014106,0.009553,85815
push,2,object_0_static_friction,static,1,0.002757,0.014224,85815
push,2,object_0_dynamic_friction,static,1,0.013328,0.00497,85815
push,2,surface_static_friction,static,1,0.016066,0.01177,85815
push,2,surface_dynamic_friction,static,1,0.055261,0.007458,85815
push,2,ee_velocity,dynamic,3,0.793625,0.00601,85815
push,2,ee_acceleration,dynamic,3,0.31967,0.014315,85815
push,2,ee_angular_velocity,dynamic,3,0.530803,0.026369,85815
push,2,object_velocity,dynamic,3,0.482503,0.012787,85815
push,2,object_acceleration,dynamic,3,0.103696,0.010209,85815
push,2,object_angular_velocity,dynamic,3,0.098413,0.014814,85815
push,2,ee_to_object_distance,dynamic,1,0.190695,0.0182,85815
push,2,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,2,object_on_surface,dynamic,1,0.280389,0.077576,85815
push,2,contact_flag,dynamic,1,0.0,0.0,85815
push,2,contact_force,dynamic,3,0.0,0.0,85815
push,2,phase,dynamic,1,0.0,0.0,85815
push,3,object_0_mass,static,1,0.017799,0.005373,85815
push,3,object_0_static_friction,static,1,0.002539,0.010634,85815
push,3,object_0_dynamic_friction,static,1,0.014137,0.009363,85815
push,3,surface_static_friction,static,1,0.014656,0.012241,85815
push,3,surface_dynamic_friction,static,1,0.056996,0.009676,85815
push,3,ee_velocity,dynamic,3,0.842266,0.006034,85815
push,3,ee_acceleration,dynamic,3,0.331515,0.011838,85815
push,3,ee_angular_velocity,dynamic,3,0.553652,0.026851,85815
push,3,object_velocity,dynamic,3,0.516942,0.017154,85815
push,3,object_acceleration,dynamic,3,0.115817,0.01038,85815
push,3,object_angular_velocity,dynamic,3,0.142785,0.022735,85815
push,3,ee_to_object_distance,dynamic,1,0.089339,0.016446,85815
push,3,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,3,object_on_surface,dynamic,1,0.273554,0.054632,85815
push,3,contact_flag,dynamic,1,0.0,0.0,85815
push,3,contact_force,dynamic,3,0.0,0.0,85815
push,3,phase,dynamic,1,0.0,0.0,85815
push,4,object_0_mass,static,1,0.021211,0.004457,85815
push,4,object_0_static_friction,static,1,0.001575,0.011707,85815
push,4,object_0_dynamic_friction,static,1,0.012773,0.010039,85815
push,4,surface_static_friction,static,1,0.013922,0.011557,85815
push,4,surface_dynamic_friction,static,1,0.050401,0.009026,85815
push,4,ee_velocity,dynamic,3,0.895861,0.004804,85815
push,4,ee_acceleration,dynamic,3,0.363305,0.012233,85815
push,4,ee_angular_velocity,dynamic,3,0.611231,0.023967,85815
push,4,object_velocity,dynamic,3,0.559431,0.015165,85815
push,4,object_acceleration,dynamic,3,0.133099,0.011469,85815
push,4,object_angular_velocity,dynamic,3,0.154517,0.024288,85815
push,4,ee_to_object_distance,dynamic,1,0.093485,0.021146,85815
push,4,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,4,object_on_surface,dynamic,1,0.274248,0.065484,85815
push,4,contact_flag,dynamic,1,0.0,0.0,85815
push,4,contact_force,dynamic,3,0.0,0.0,85815
push,4,phase,dynamic,1,0.0,0.0,85815
push,5,object_0_mass,static,1,0.021913,0.00295,85815
push,5,object_0_static_friction,static,1,0.002111,0.011674,85815
push,5,object_0_dynamic_friction,static,1,0.014405,0.010417,85815
push,5,surface_static_friction,static,1,0.011632,0.009532,85815
push,5,surface_dynamic_friction,static,1,0.048852,0.008538,85815
push,5,ee_velocity,dynamic,3,0.894137,0.004465,85815
push,5,ee_acceleration,dynamic,3,0.412949,0.014601,85815
push,5,ee_angular_velocity,dynamic,3,0.623799,0.023894,85815
push,5,object_velocity,dynamic,3,0.572799,0.012908,85815
push,5,object_acceleration,dynamic,3,0.149154,0.011784,85815
push,5,object_angular_velocity,dynamic,3,0.153423,0.023579,85815
push,5,ee_to_object_distance,dynamic,1,0.092416,0.012011,85815
push,5,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,5,object_on_surface,dynamic,1,0.298413,0.053298,85815
push,5,contact_flag,dynamic,1,0.0,0.0,85815
push,5,contact_force,dynamic,3,0.0,0.0,85815
push,5,phase,dynamic,1,0.0,0.0,85815
push,6,object_0_mass,static,1,0.021181,0.003035,85815
push,6,object_0_static_friction,static,1,0.003317,0.012077,85815
push,6,object_0_dynamic_friction,static,1,0.013566,0.009436,85815
push,6,surface_static_friction,static,1,0.012611,0.009402,85815
push,6,surface_dynamic_friction,static,1,0.051276,0.009146,85815
push,6,ee_velocity,dynamic,3,0.903337,0.003988,85815
push,6,ee_acceleration,dynamic,3,0.437999,0.01435,85815
push,6,ee_angular_velocity,dynamic,3,0.639769,0.023266,85815
push,6,object_velocity,dynamic,3,0.595927,0.012258,85815
push,6,object_acceleration,dynamic,3,0.171084,0.013472,85815
push,6,object_angular_velocity,dynamic,3,0.153953,0.024053,85815
push,6,ee_to_object_distance,dynamic,1,0.081049,0.012667,85815
push,6,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,6,object_on_surface,dynamic,1,0.323893,0.059606,85815
push,6,contact_flag,dynamic,1,0.0,0.0,85815
push,6,contact_force,dynamic,3,0.0,0.0,85815
push,6,phase,dynamic,1,0.0,0.0,85815
push,7,object_0_mass,static,1,0.024033,0.002682,85815
push,7,object_0_static_friction,static,1,0.002006,0.012654,85815
push,7,object_0_dynamic_friction,static,1,0.012628,0.00897,85815
push,7,surface_static_friction,static,1,0.010986,0.006901,85815
push,7,surface_dynamic_friction,static,1,0.052595,0.007025,85815
push,7,ee_velocity,dynamic,3,0.915565,0.003596,85815
push,7,ee_acceleration,dynamic,3,0.45975,0.013816,85815
push,7,ee_angular_velocity,dynamic,3,0.655779,0.021779,85815
push,7,object_velocity,dynamic,3,0.625471,0.011247,85815
push,7,object_acceleration,dynamic,3,0.177886,0.013733,85815
push,7,object_angular_velocity,dynamic,3,0.161418,0.023339,85815
push,7,ee_to_object_distance,dynamic,1,0.13864,0.013937,85815
push,7,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,7,object_on_surface,dynamic,1,0.328766,0.059512,85815
push,7,contact_flag,dynamic,1,0.0,0.0,85815
push,7,contact_force,dynamic,3,0.0,0.0,85815
push,7,phase,dynamic,1,0.0,0.0,85815
push,8,object_0_mass,static,1,0.024974,0.003722,85815
push,8,object_0_static_friction,static,1,0.004353,0.013086,85815
push,8,object_0_dynamic_friction,static,1,0.012434,0.008586,85815
push,8,surface_static_friction,static,1,0.014559,0.007211,85815
push,8,surface_dynamic_friction,static,1,0.054736,0.008215,85815
push,8,ee_velocity,dynamic,3,0.923997,0.003566,85815
push,8,ee_acceleration,dynamic,3,0.488682,0.013768,85815
push,8,ee_angular_velocity,dynamic,3,0.662439,0.020529,85815
push,8,object_velocity,dynamic,3,0.658264,0.011883,85815
push,8,object_acceleration,dynamic,3,0.198758,0.013732,85815
push,8,object_angular_velocity,dynamic,3,0.168993,0.023603,85815
push,8,ee_to_object_distance,dynamic,1,0.168053,0.014891,85815
push,8,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,8,object_on_surface,dynamic,1,0.348811,0.068156,85815
push,8,contact_flag,dynamic,1,0.0,0.0,85815
push,8,contact_force,dynamic,3,0.0,0.0,85815
push,8,phase,dynamic,1,0.0,0.0,85815
push,9,object_0_mass,static,1,0.022859,0.001587,85815
push,9,object_0_static_friction,static,1,0.003564,0.013309,85815
push,9,object_0_dynamic_friction,static,1,0.010381,0.010008,85815
push,9,surface_static_friction,static,1,0.016569,0.012532,85815
push,9,surface_dynamic_friction,static,1,0.052164,0.010133,85815
push,9,ee_velocity,dynamic,3,0.933568,0.002652,85815
push,9,ee_acceleration,dynamic,3,0.531553,0.011272,85815
push,9,ee_angular_velocity,dynamic,3,0.689223,0.021293,85815
push,9,object_velocity,dynamic,3,0.696121,0.012383,85815
push,9,object_acceleration,dynamic,3,0.222844,0.01245,85815
push,9,object_angular_velocity,dynamic,3,0.186777,0.022921,85815
push,9,ee_to_object_distance,dynamic,1,0.175824,0.012178,85815
push,9,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,9,object_on_surface,dynamic,1,0.361692,0.067516,85815
push,9,contact_flag,dynamic,1,0.0,0.0,85815
push,9,contact_force,dynamic,3,0.0,0.0,85815
push,9,phase,dynamic,1,0.0,0.0,85815
push,10,object_0_mass,static,1,0.02776,0.003664,85815
push,10,object_0_static_friction,static,1,0.00224,0.011188,85815
push,10,object_0_dynamic_friction,static,1,0.01106,0.009218,85815
push,10,surface_static_friction,static,1,0.019845,0.013208,85815
push,10,surface_dynamic_friction,static,1,0.054227,0.014805,85815
push,10,ee_velocity,dynamic,3,0.93999,0.002661,85815
push,10,ee_acceleration,dynamic,3,0.584614,0.011459,85815
push,10,ee_angular_velocity,dynamic,3,0.693749,0.020054,85815
