task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
nut_thread,0,nut_mass,static,1,-0.025126,0.010445,82500
nut_thread,0,nut_static_friction,static,1,-0.031089,0.00574,82500
nut_thread,0,nut_dynamic_friction,static,1,-0.031089,0.00574,82500
nut_thread,0,bolt_static_friction,static,1,-0.017496,0.010035,82500
nut_thread,0,bolt_dynamic_friction,static,1,-0.017496,0.010035,82500
nut_thread,0,ee_velocity,dynamic,3,0.532599,0.01166,82500
nut_thread,0,nut_velocity,dynamic,3,0.303115,0.013873,82500
nut_thread,0,axial_progress,dynamic,1,0.690683,0.015069,82500
nut_thread,0,nut_bolt_relative_angle,dynamic,1,0.167904,0.027713,82500
nut_thread,0,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,0,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,0,phase,dynamic,1,0.0,0.0,82500
nut_thread,1,nut_mass,static,1,-0.015113,0.009695,82500
nut_thread,1,nut_static_friction,static,1,-0.018819,0.004723,82500
nut_thread,1,nut_dynamic_friction,static,1,-0.018819,0.004723,82500
nut_thread,1,bolt_static_friction,static,1,-0.010759,0.009423,82500
nut_thread,1,bolt_dynamic_friction,static,1,-0.010759,0.009423,82500
nut_thread,1,ee_velocity,dynamic,3,0.612171,0.00748,82500
nut_thread,1,nut_velocity,dynamic,3,0.354137,0.015737,82500
nut_thread,1,axial_progress,dynamic,1,0.753898,0.015166,82500
nut_thread,1,nut_bolt_relative_angle,dynamic,1,0.191732,0.03061,82500
nut_thread,1,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,1,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,1,phase,dynamic,1,0.0,0.0,82500
nut_thread,2,nut_mass,static,1,-0.022124,0.0114,82500
nut_thread,2,nut_static_friction,static,1,-0.023769,0.004898,82500
nut_thread,2,nut_dynamic_friction,static,1,-0.023769,0.004898,82500
nut_thread,2,bolt_static_friction,static,1,-0.01154,0.009709,82500
nut_thread,2,bolt_dynamic_friction,static,1,-0.01154,0.009709,82500
nut_thread,2,ee_velocity,dynamic,3,0.646994,0.006112,82500
nut_thread,2,nut_velocity,dynamic,3,0.377512,0.015976,82500
nut_thread,2,axial_progress,dynamic,1,0.769573,0.016172,82500
nut_thread,2,nut_bolt_relative_angle,dynamic,1,0.218823,0.034852,82500
nut_thread,2,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,2,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,2,phase,dynamic,1,0.0,0.0,82500
nut_thread,3,nut_mass,static,1,-0.01944,0.008043,82500
nut_thread,3,nut_static_friction,static,1,-0.020083,0.005088,82500
nut_thread,3,nut_dynamic_friction,static,1,-0.020083,0.005088,82500
nut_thread,3,bolt_static_friction,static,1,-0.008658,0.006236,82500
nut_thread,3,bolt_dynamic_friction,static,1,-0.008658,0.006236,82500
nut_thread,3,ee_velocity,dynamic,3,0.683372,0.005923,82500
nut_thread,3,nut_velocity,dynamic,3,0.398331,0.014593,82500
nut_thread,3,axial_progress,dynamic,1,0.783167,0.013507,82500
nut_thread,3,nut_bolt_relative_angle,dynamic,1,0.235771,0.032841,82500
nut_thread,3,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,3,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,3,phase,dynamic,1,0.0,0.0,82500
nut_thread,4,nut_mass,static,1,-0.021319,0.006977,82500
nut_thread,4,nut_static_friction,static,1,-0.019055,0.004574,82500
nut_thread,4,nut_dynamic_friction,static,1,-0.019055,0.004574,82500
nut_thread,4,bolt_static_friction,static,1,-0.004244,0.008223,82500
nut_thread,4,bolt_dynamic_friction,static,1,-0.004244,0.008223,82500
nut_thread,4,ee_velocity,dynamic,3,0.696633,0.006002,82500
nut_thread,4,nut_velocity,dynamic,3,0.407217,0.01561,82500
nut_thread,4,axial_progress,dynamic,1,0.800681,0.01198,82500
nut_thread,4,nut_bolt_relative_angle,dynamic,1,0.241788,0.033365,82500
nut_thread,4,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,4,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,4,phase,dynamic,1,0.0,0.0,82500
nut_thread,5,nut_mass,static,1,-0.025078,0.005843,82500
nut_thread,5,nut_static_friction,static,1,-0.020747,0.007774,82500
nut_thread,5,nut_dynamic_friction,static,1,-0.020747,0.007774,82500
nut_thread,5,bolt_static_friction,static,1,-0.005917,0.007417,82500
nut_thread,5,bolt_dynamic_friction,static,1,-0.005917,0.007417,82500
nut_thread,5,ee_velocity,dynamic,3,0.727805,0.004858,82500
nut_thread,5,nut_velocity,dynamic,3,0.426279,0.013245,82500
nut_thread,5,axial_progress,dynamic,1,0.820175,0.012039,82500
nut_thread,5,nut_bolt_relative_angle,dynamic,1,0.254819,0.037529,82500
nut_thread,5,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,5,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,5,phase,dynamic,1,0.0,0.0,82500
nut_thread,6,nut_mass,static,1,-0.029188,0.009913,82500
