representation,model,layer,probe_seed,split,episode_id,n_windows,r2
vjepa_pez,large,11,42,iid,11,68,0.9336621121619822
vjepa_pez,large,11,42,iid,35,68,0.8857003598527908
vjepa_pez,large,11,42,iid,40,68,0.673412945844009
vjepa_pez,large,11,42,iid,44,68,0.9234429559990731
vjepa_pez,large,11,42,iid,48,68,0.8154528628215796
vjepa_pez,large,11,42,iid,62,68,0.9088108894444349
vjepa_pez,large,11,42,iid,64,68,0.7475287102178483
vjepa_pez,large,11,42,iid,77,68,0.7292553357151252
vjepa_pez,large,11,42,iid,91,68,0.8751464718300357
vjepa_pez,large,11,42,iid,96,68,0.9041873660324468
vjepa_pez,large,11,42,iid,100,68,0.9255866366067634
vjepa_pez,large,11,42,iid,110,68,0.9443121960634551
vjepa_pez,large,11,42,iid,111,68,0.7183919342769944
vjepa_pez,large,11,42,iid,121,68,0.8315641916982395
vjepa_pez,large,11,42,iid,126,68,0.9096236330767312
vjepa_pez,large,11,42,iid,128,68,0.8383643563075452
vjepa_pez,large,11,42,iid,132,68,0.9306334967111597
vjepa_pez,large,11,42,iid,137,68,0.9246969737305704
vjepa_pez,large,11,42,iid,138,68,0.9127832037979978
vjepa_pez,large,11,42,iid,154,68,0.9165384145592709
vjepa_pez,large,11,42,iid,174,68,0.8850974487995652
vjepa_pez,large,11,42,iid,197,68,0.7324741272325757
vjepa_pez,large,11,42,iid,202,68,0.7916311652297037
vjepa_pez,large,11,42,iid,217,68,0.7624166448910284
vjepa_pez,large,11,42,iid,221,68,0.859357316018197
vjepa_pez,large,11,42,iid,224,68,0.8876022039250892
vjepa_pez,large,11,42,iid,225,68,0.8957273449149352
vjepa_pez,large,11,42,iid,234,68,0.8865158803583966
vjepa_pez,large,11,42,iid,260,68,0.8964950814003847
vjepa_pez,large,11,42,iid,271,68,0.5974945596406597
vjepa_pez,large,11,42,iid,287,68,0.9205115725520636
vjepa_pez,large,11,42,iid,290,68,0.8244390228462412
vjepa_pez,large,11,42,iid,291,68,0.9048835307764658
vjepa_pez,large,11,42,iid,298,68,0.9501844254197573
vjepa_pez,large,11,42,iid,301,68,0.9026059844642558
vjepa_pez,large,11,42,iid,303,68,0.8174812544913364
vjepa_pez,large,11,42,iid,304,68,0.9342492955610207
vjepa_pez,large,11,42,iid,307,68,0.8648107238970596
vjepa_pez,large,11,42,iid,317,68,0.7656059406759593
vjepa_pez,large,11,42,iid,319,68,0.8738364398329058
vjepa_pez,large,11,42,iid,324,68,0.8886772798462668
vjepa_pez,large,11,42,iid,340,68,0.9368982332769408
