pair,layer,cka_mean,cka_ci_lo,cka_ci_hi,n_common
push-push,0,1.0,1.0,1.0,600
strike-strike,0,1.0,1.0,1.0,600
push-strike,0,0.5614310947991756,0.5252092814010377,0.5929293112850617,600
strike-push,0,0.5614310947991756,0.5252092814010377,0.5929293112850617,600
push-push,1,1.0,1.0,1.0,600
strike-strike,1,1.0,1.0,1.0,600
push-strike,1,0.6040048116829186,0.5629195259070398,0.6408656433063014,600
strike-push,1,0.6040048116829186,0.5629195259070398,0.6408656433063014,600
push-push,2,1.0,1.0,1.0,600
strike-strike,2,1.0,1.0,1.0,600
push-strike,2,0.6265221634660809,0.5876563969092308,0.6653202645299704,600
strike-push,2,0.6265221634660809,0.5876563969092308,0.6653202645299704,600
push-push,3,1.0,1.0,1.0,600
strike-strike,3,1.0,1.0,1.0,600
push-strike,3,0.6458968063856737,0.6058238204796262,0.686015061288475,600
strike-push,3,0.6458968063856737,0.6058238204796262,0.686015061288475,600
push-push,4,1.0,1.0,1.0,600
strike-strike,4,1.0,1.0,1.0,600
push-strike,4,0.6410777604297692,0.6005836483049563,0.6790220325036989,600
strike-push,4,0.6410777604297692,0.6005836483049563,0.6790220325036989,600
push-push,5,1.0,1.0,1.0,600
strike-strike,5,1.0,1.0,1.0,600
push-strike,5,0.6268650845723197,0.5896878991730706,0.6649586600589705,600
strike-push,5,0.6268650845723197,0.5896878991730706,0.6649586600589705,600
push-push,6,1.0,1.0,1.0,600
strike-strike,6,1.0,1.0,1.0,600
push-strike,6,0.6312774998330442,0.5973197616552558,0.6663479826211964,600
strike-push,6,0.6312774998330442,0.5973197616552558,0.6663479826211964,600
push-push,7,1.0,1.0,1.0,600
strike-strike,7,1.0,1.0,1.0,600
push-strike,7,0.5965233598639661,0.5604153493750864,0.630531876120109,600
strike-push,7,0.5965233598639661,0.5604153493750864,0.630531876120109,600
push-push,8,1.0,1.0,1.0,600
strike-strike,8,1.0,1.0,1.0,600
push-strike,8,0.5661498261334134,0.5309395066087899,0.6015431687922526,600
strike-push,8,0.5661498261334134,0.5309395066087899,0.6015431687922526,600
push-push,9,1.0,1.0,1.0,600
strike-strike,9,1.0,1.0,1.0,600
push-strike,9,0.5657023050719859,0.5321293240970926,0.5982855612838256,600
strike-push,9,0.5657023050719859,0.5321293240970926,0.5982855612838256,600
push-push,10,1.0,1.0,1.0,600
strike-strike,10,1.0,1.0,1.0,600
push-strike,10,0.5667525298974642,0.5337623621789063,0.5999255816780564,600
strike-push,10,0.5667525298974642,0.5337623621789063,0.5999255816780564,600
push-push,11,1.0,1.0,1.0,600
strike-strike,11,1.0,1.0,1.0,600
push-strike,11,0.556652287134497,0.5224990185266651,0.5916190031140042,600
strike-push,11,0.556652287134497,0.5224990185266651,0.5916190031140042,600
push-push,12,1.0,1.0,1.0,600
strike-strike,12,1.0,1.0,1.0,600
push-strike,12,0.5622280872353296,0.5293968880762719,0.5952274547264091,600
strike-push,12,0.5622280872353296,0.5293968880762719,0.5952274547264091,600
push-push,13,1.0,1.0,1.0,600
strike-strike,13,1.0,1.0,1.0,600
push-strike,13,0.569286732325729,0.5327071013188359,0.6019517455955115,600
strike-push,13,0.569286732325729,0.5327071013188359,0.6019517455955115,600
push-push,14,1.0,1.0,1.0,600
strike-strike,14,1.0,1.0,1.0,600
push-strike,14,0.5775656156437134,0.5443656384631612,0.612530336079293,600
strike-push,14,0.5775656156437134,0.5443656384631612,0.612530336079293,600
push-push,15,1.0,1.0,1.0,600
strike-strike,15,1.0,1.0,1.0,600
push-strike,15,0.5834208684199621,0.5490945602757109,0.6168523426544471,600
strike-push,15,0.5834208684199621,0.5490945602757109,0.6168523426544471,600
push-push,16,1.0,1.0,1.0,600
strike-strike,16,1.0,1.0,1.0,600
push-strike,16,0.5743325139574929,0.5398402879440692,0.6097959989483309,600
strike-push,16,0.5743325139574929,0.5398402879440692,0.6097959989483309,600
push-push,17,1.0,1.0,1.0,600
strike-strike,17,1.0,1.0,1.0,600
push-strike,17,0.5793151911088725,0.5439859852181333,0.6136178876570771,600
strike-push,17,0.5793151911088725,0.5439859852181333,0.6136178876570771,600
push-push,18,1.0,1.0,1.0,600
strike-strike,18,1.0,1.0,1.0,600
push-strike,18,0.5741800656431439,0.5389632939881981,0.6082638405494737,600
strike-push,18,0.5741800656431439,0.5389632939881981,0.6082638405494737,600
push-push,19,1.0,1.0,1.0,600
strike-strike,19,1.0,1.0,1.0,600
push-strike,19,0.5721217135767064,0.5374284738710612,0.6066507673251037,600
strike-push,19,0.5721217135767064,0.5374284738710612,0.6066507673251037,600
push-push,20,1.0,1.0,1.0,600
strike-strike,20,1.0,1.0,1.0,600
push-strike,20,0.5710574712223538,0.5396057871446502,0.602693878243182,600
strike-push,20,0.5710574712223538,0.5396057871446502,0.602693878243182,600
push-push,21,1.0,1.0,1.0,600
strike-strike,21,1.0,1.0,1.0,600
push-strike,21,0.5749583231059139,0.5441224636321423,0.6050940487768532,600
strike-push,21,0.5749583231059139,0.5441224636321423,0.6050940487768532,600
push-push,22,1.0,1.0,1.0,600
strike-strike,22,1.0,1.0,1.0,600
push-strike,22,0.5611812826520551,0.5335526321316904,0.5891331162667278,600
strike-push,22,0.5611812826520551,0.5335526321316904,0.5891331162667278,600
push-push,23,1.0,1.0,1.0,600
strike-strike,23,1.0,1.0,1.0,600
push-strike,23,0.5610156779368265,0.5304175534957051,0.5897853438414842,600
strike-push,23,0.5610156779368265,0.5304175534957051,0.5897853438414842,600
