task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_native,large,2024,0,0.2647142536054036,0.05255966668037752,0.4701303813797869,0.05372444629563361,0.005,0.8,"[0.2987338412496673, 0.19295346276698877, 0.3275160345887421, 0.2924801766188684, 0.21188775280275152]","[0.5330029040801164, 0.3711141423645885, 0.47136675888375545, 0.49322413804883225, 0.48194396352164204]"
strike,contact_force_native,large,2024,1,0.28937291302681495,0.06491594287238439,0.5282385961099247,0.06309621551738645,0.005,0.8,"[0.3705438259932161, 0.2335194635411335, 0.34858856451538345, 0.2933808415975757, 0.20083186948676623]","[0.5095850598805134, 0.4181775517425812, 0.5494709856149881, 0.5573093745017512, 0.6066500088097905]"
strike,contact_force_native,large,2024,2,0.34015135607693414,0.06182616353914742,0.5733841560583108,0.060744617633574645,0.005,0.8,"[0.3990534264478043, 0.2989011732074903, 0.40155276992095235, 0.3599816559671336, 0.24126775484129004]","[0.5945739040028506, 0.4550914347947501, 0.5911606291070659, 0.596539533545265, 0.6295552788416225]"
strike,contact_force_native,large,2024,3,0.38119728114045237,0.059184593802987816,0.6494429685012455,0.041649060212477954,0.005,0.8,"[0.4389208597362586, 0.28846720096083667, 0.4414891505764692, 0.39708893607385887, 0.3400202583548383]","[0.6560842203205591, 0.5764613520557427, 0.6365991350738766, 0.6902110459258881, 0.687859089130161]"
strike,contact_force_native,large,2024,4,0.393420566156314,0.05526716781310935,0.6628452860516866,0.023975425926490504,0.005,0.8,"[0.43887094664949866, 0.2905948584096091, 0.4211582824216753, 0.43493076570976685, 0.38154797759102]","[0.6706053854711589, 0.6872580259470331, 0.6180103239441099, 0.6771627648422403, 0.6611899300538908]"
strike,contact_force_native,large,2024,5,0.4358384340964886,0.048138367504359326,0.6652348335878212,0.03823114712900676,0.005,0.8,"[0.4824303820952758, 0.34816416404092776, 0.43217493891262715, 0.47711120521099315, 0.4393114802226191]","[0.5897989710287269, 0.689559628432402, 0.6846568731090976, 0.6725199909138817, 0.6896387044549976]"
strike,contact_force_native,large,2024,6,0.4555421980732672,0.05148177755916557,0.6567068477492131,0.03760837648735106,0.005,0.8,"[0.5201095232084969, 0.3687050821452824, 0.4485143380461465, 0.49325263592797786, 0.4471294110384323]","[0.655821459799248, 0.6832962711387189, 0.6164172317924341, 0.6158615770341795, 0.7121376989814848]"
strike,contact_force_native,large,2024,7,0.44865794914423257,0.047876206829309244,0.6982045117844746,0.03864982244705022,0.003,0.8,"[0.4576173945496347, 0.35783251296473817, 0.4611155085661882, 0.5002021236164576, 0.4665222060241442]","[0.6522132936569099, 0.739504839661483, 0.650762680524094, 0.7198835630608882, 0.7286581820189983]"
strike,contact_force_native,large,2024,8,0.45852459518736816,0.030128110088524344,0.6577095895854275,0.048479602845283874,0.005,0.4,"[0.44788236183625674, 0.41365553697379376, 0.5073751647001798, 0.46053874555266505, 0.46317116687394533]","[0.6427226653778693, 0.6924558150959099, 0.6181497317317278, 0.6021941281551119, 0.733025607566519]"
strike,contact_force_native,large,2024,9,0.47288657230936676,0.04230420134268792,0.7110373146643337,0.030699997689733884,0.005,0.8,"[0.4539225557985189, 0.41029132442119254, 0.538839106222585, 0.47071731181966336, 0.4906625632848739]","[0.7161007469872793, 0.7179542248683806, 0.6868273807835634, 0.6725535400376975, 0.7617506806447479]"
strike,contact_force_native,large,2024,10,0.45696058069026535,0.04800973642625936,0.6859427235526433,0.02432909149826892,0.005,0.8,"[0.448693626206324, 0.398652669295505, 0.5335127521391012, 0.4192113523288762, 0.4847325034815203]","[0.722030185321503, 0.6831728341174749, 0.688977006421754, 0.645635249231896, 0.6898983426705887]"
strike,contact_force_native,large,2024,11,0.466521998970134,0.04216928012365842,0.6965492430290353,0.022146293366174546,0.0003,0.8,"[0.44702236146982455, 0.4041907750954711, 0.5160752114549516, 0.453943412129743, 0.5113782347006799]","[0.7346588450285498, 0.6873964963695481, 0.671321968570707, 0.7063636381324947, 0.6830052670438769]"
strike,contact_force_native,large,2024,12,0.4935106507954054,0.03962117211682677,0.6878433775788001,0.04326168863488429,0.005,0.8,"[0.4959118997587524, 0.4314336588013977, 0.5564301816429316, 0.4883013465274816, 0.4954761672464637]","[0.7052411450974161, 0.7236769633071614, 0.6075070519189816, 0.7231889286414301, 0.6796027989290114]"
strike,contact_force_native,large,2024,13,0.4871212173816889,0.031195490508666445,0.7128160101320828,0.024432547178185837,0.005,0.8,"[0.48956643030592173, 0.44331150644750317, 0.5308966162842488, 0.508513682009176, 0.4633178518615946]","[0.6680287519509726, 0.7234149542766393, 0.7092091120105768, 0.7233690985313661, 0.7400581338908597]"
strike,contact_force_native,large,2024,14,0.515690837737403,0.052329403963496945,0.7441810014881721,0.017907393268315818,0.005,0.8,"[0.5245676377999193, 0.42466140175616385, 0.5648866935440999, 0.5665448724799691, 0.4977935831068624]","[0.7621870149347594, 0.7418019867607475, 0.7138130292725435, 0.7625659230997488, 0.7405370533730613]"
strike,contact_force_native,large,2024,15,0.5402197412556669,0.044725942270753716,0.7773913045270813,0.03182942449136656,0.003,0.4,"[0.5405207863191501, 0.4598879846976981, 0.5975557908769009, 0.5529493520618827, 0.5501847923227022]","[0.8024836567467495, 0.8094559799890478, 0.7964572488294809, 0.7309338373561003, 0.7476257997140277]"
strike,contact_force_native,large,2024,16,0.5653756467492188,0.04223472336444566,0.7501171046586699,0.02923265335342859,0.005,0.8,"[0.5780813133799287, 0.4865761928034824, 0.6026563843524744, 0.5605062530979357, 0.5990580901122728]","[0.7873833726501611, 0.7488204496675673, 0.7222951859514126, 0.713832758877896, 0.7782537561463115]"
strike,contact_force_native,large,2024,17,0.567424336791797,0.03587299513940268,0.754129194854429,0.03055274574551924,0.003,0.4,"[0.575373373300726, 0.5042859636223511, 0.6033172364454995, 0.5984061094684288, 0.5557390011219796]","[0.7887028629405856, 0.7199021528662659, 0.7907450188954099, 0.7238859014204415, 0.747410038149442]"
strike,contact_force_native,large,2024,18,0.5525724523293144,0.0520282741130779,0.7151614968561153,0.049958276977980984,0.005,0.8,"[0.5583061859786194, 0.45617423653992406, 0.6100369579797917, 0.5825127216408692, 0.5558321595073676]","[0.6973989765750681, 0.6428783233618025, 0.7613063742187169, 0.693261065000776, 0.7809627451242134]"
strike,contact_force_native,large,2024,19,0.5483887604319024,0.04875556635627988,0.7265303086108101,0.03931640286751603,0.005,0.4,"[0.5784973702732238, 0.4511354806471294, 0.5718836308027841, 0.5673732374478513, 0.5730540829885237]","[0.6554241246036325, 0.739373570359565, 0.7156600808629312, 0.7610765168902993, 0.761117250337622]"
strike,contact_force_native,large,2024,20,0.5438834137911871,0.053879517941214004,0.711450020662908,0.02098953686871007,0.005,0.8,"[0.5923961712107778, 0.44002881455398213, 0.5557698654651135, 0.5535638342117075, 0.5776583835143546]","[0.7358728697671912, 0.7160741086354458, 0.7171194017512402, 0.7158885618635107, 0.6722951612971517]"
strike,contact_force_native,large,2024,21,0.5279863401946063,0.04426208071138837,0.7208002652453296,0.02482044204043746,0.003,0.4,"[0.5690906279421734, 0.4447748528448314, 0.5590521456908584, 0.5246779834115753, 0.5423360910835926]","[0.7341500358454489, 0.6926802578019263, 0.6888587425658493, 0.7443369927060194, 0.7439752973074039]"
strike,contact_force_native,large,2024,22,0.5210783052333792,0.04552037171367458,0.7081614449318108,0.03145929404455723,0.003,0.01,"[0.5684103435816654, 0.4366642102879792, 0.5422881433890225, 0.514546535698308, 0.5434822932099206]","[0.6808415423412577, 0.6872346915093863, 0.6817647785973272, 0.7336185993007516, 0.7573476129103306]"
strike,contact_force_native,large,2024,23,0.5278867975375756,0.058547938613274,0.7221642633534715,0.02916510921017885,0.005,0.1,"[0.6046442318460562, 0.4305202933587734, 0.5626900244383067, 0.5358788553808799, 0.5057005826638621]","[0.7154201389080338, 0.7594133173088767, 0.6739083484172936, 0.7439599084064614, 0.7181196037266921]"
