task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_native,videomae_large,42,0,0.1911401412081259,0.02054878064834649,0.4961280938365434,0.03894885467776284,0.003,0.8,"[0.21825705704829867, 0.1902824493994688, 0.19171216822982973, 0.1551977101013452, 0.200251321261687]","[0.47201201645192714, 0.4833140319323824, 0.5732456065336573, 0.4825404726608986, 0.46952834160385115]"
strike,contact_force_native,videomae_large,42,1,0.23388733265401468,0.017945381304973827,0.5119582794623333,0.02376771268544314,0.005,0.8,"[0.22970448666912724, 0.2388665772936045, 0.21904605301907054, 0.26589978666067016, 0.21591975962760102]","[0.5033234517754575, 0.5503024156005334, 0.4875168907473042, 0.5276058790822167, 0.49104276010615455]"
strike,contact_force_native,videomae_large,42,2,0.2625480254710596,0.01616537350134173,0.5618189609178197,0.03775373306287689,0.005,0.8,"[0.27238742359091184, 0.2848807191874798, 0.25763221925009905, 0.26147806395336903, 0.2363617013734386]","[0.5903639019793894, 0.6221639842207073, 0.5357071894470629, 0.527428952739518, 0.5334307762024211]"
strike,contact_force_native,videomae_large,42,3,0.2956222534007672,0.015292051568924816,0.6237222701870951,0.0349879056752367,0.003,0.8,"[0.28295200007145604, 0.3133946468621125, 0.3126223744013671, 0.2935036988777001, 0.27563854679120037]","[0.6337739714387587, 0.6426278020892982, 0.6609507990795389, 0.5583333292586089, 0.622925449069271]"
strike,contact_force_native,videomae_large,42,4,0.3415236805495249,0.01822064938508467,0.6977703708381364,0.006160415199253507,0.005,0.8,"[0.31436851975980784, 0.3340706143206438, 0.3634636484284969, 0.3602150909893105, 0.3355005292493657]","[0.7042751109512237, 0.7058392447227011, 0.6941474348378347, 0.69014434963734, 0.6944457140415826]"
strike,contact_force_native,videomae_large,42,5,0.357635822625846,0.016120050165064657,0.6869605589761989,0.01941186612126702,0.005,0.8,"[0.33016446262974053, 0.3632423410665573, 0.37835407951817246, 0.35175667663112964, 0.3646615532836298]","[0.7083920969355664, 0.6902855542286477, 0.6897934319769659, 0.6958056823025173, 0.6505260294372972]"
strike,contact_force_native,videomae_large,42,6,0.39881668793084596,0.033766843840046565,0.6700518979941291,0.031747606098964466,0.003,0.8,"[0.3758781914151036, 0.4337887767309634, 0.43472148140917943, 0.34733769236339884, 0.4023572977355846]","[0.711989303128669, 0.6660515476115968, 0.6970712699621329, 0.6229947861021352, 0.6521525831661117]"
strike,contact_force_native,videomae_large,42,7,0.3901677379126261,0.027859007740987277,0.6835160285860541,0.017682717430269786,0.003,0.8,"[0.3664139768015784, 0.4182666780016484, 0.41972434531710245, 0.34999431945721216, 0.39643936998558904]","[0.6922632851285301, 0.6620907726822134, 0.6991091037829924, 0.6623044586321492, 0.7018125227043848]"
strike,contact_force_native,videomae_large,42,8,0.44928293334743563,0.025244005831428013,0.7103010328994543,0.04930449470074868,0.005,0.8,"[0.4628480060882333, 0.4491589147570939, 0.48896160673773237, 0.41980564571376533, 0.42564049344035326]","[0.772235944269856, 0.6710794433461993, 0.7688906428301232, 0.67426334572171, 0.665035788329383]"
strike,contact_force_native,videomae_large,42,9,0.4498540721602037,0.02726070688762685,0.708958982697833,0.016888416726708988,0.003,0.8,"[0.4596295863958689, 0.484685352624617, 0.4690717012631168, 0.41859612223764153, 0.41728759827977446]","[0.7200557787501058, 0.6833725061922639, 0.7225452073007912, 0.6941907759996147, 0.724630645246389]"
