task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,dinov2_large,42,0,-0.05392720985021635,0.05057213229796133,0.17247734400363463,0.07912374893151758,0.0001,0.8,"[-0.12598866520216268, -0.04553449911285523, -0.0966106004238878, 0.0041043558870353936, -0.005606640399211438]","[0.13749861336964053, 0.28823243490535877, 0.22583094076719135, 0.15459598361558324, 0.05622874736039929]"
strike,contact_force_proxy,dinov2_large,42,1,-0.018079187029837174,0.06738998453214128,0.21090979010595112,0.07494176445990555,0.0001,0.8,"[-0.060422478224402276, -0.008514762530028142, -0.12206749880641188, 0.06842094176729518, 0.03218786264436124]","[0.13599829581147316, 0.3246609719901494, 0.2705953254771656, 0.18525124641089719, 0.13804311084007026]"
strike,contact_force_proxy,dinov2_large,42,2,-0.0042262997426972815,0.06896665525064331,0.3072210094512407,0.02805382209549618,0.0001,0.8,"[-0.046949214814893114, -0.004701472338899615, -0.10313480694097943, 0.09904880298262764, 0.03460519239865811]","[0.3539634594694253, 0.3251248476957955, 0.28939533876948864, 0.280996365690255, 0.286625035631239]"
strike,contact_force_proxy,dinov2_large,42,3,0.01174287123374267,0.0545747153881957,0.3089599375543433,0.05511274513609256,0.0001,0.8,"[-0.005531687579360067, 0.05102612329345024, -0.081657223876485, 0.07725861263595535, 0.017618531695152817]","[0.2510801697169923, 0.32322476229273267, 0.24015149713381934, 0.3481508981551821, 0.3821923604729902]"
strike,contact_force_proxy,dinov2_large,42,4,0.03968456887650347,0.04933351572917163,0.2845593336840767,0.06957341325839023,0.0001,0.8,"[0.04183233640584516, 0.07053506278852417, -0.056136135594787806, 0.06572569209034118, 0.07646588869259463]","[0.21427761899766573, 0.30039395050224504, 0.298886800005703, 0.3994926861896002, 0.20974561272516978]"
strike,contact_force_proxy,dinov2_large,42,5,0.0327233272361976,0.04010939088087163,0.3589654506154287,0.09044841384183655,0.001,0.8,"[-0.030352878098148794, 0.05660258557942455, 0.0016282255894333186, 0.07323582751668212, 0.0625028755935968]","[0.3441203330471294, 0.329674613831613, 0.2396938795792246, 0.3624083359084356, 0.518930090710741]"
strike,contact_force_proxy,dinov2_large,42,6,0.018704108884650995,0.029733075902896217,0.3543656614942599,0.1471714105886734,0.0001,0.8,"[0.0025611298254661907, 0.041027159776210076, 0.05661558673095557, -0.028362178641281988, 0.02167884673190512]","[0.24709214620882347, 0.38303167631273216, 0.14232072745901103, 0.43349029230294367, 0.5658934651877892]"
strike,contact_force_proxy,dinov2_large,42,7,0.05715179690560288,0.03849772079567114,0.3322904407078001,0.11384270291484233,0.0003,0.8,"[0.0222675184967579, 0.0990210154842458, 0.07583009054253831, 0.0009482492755660266, 0.08769211072890637]","[0.2989020104872483, 0.3676165976805561, 0.12763382851526783, 0.4318781294213654, 0.43542163743456297]"
strike,contact_force_proxy,dinov2_large,42,8,0.05547661765271741,0.053108155775640105,0.3239237441962003,0.04279666964311699,0.001,0.8,"[0.09195778234760243, 0.06483889476512306, 0.06390568523429796, -0.04629224258797415, 0.10297296850453774]","[0.3630975043552429, 0.3603523617712934, 0.3478293798918809, 0.2545006600640487, 0.2938388148985356]"
strike,contact_force_proxy,dinov2_large,42,9,0.05425315946326552,0.058162322452020555,0.36046455912985753,0.13363057588790642,0.005,0.8,"[0.07708587470380335, 0.060211642316688185, 0.07239754952798261, -0.055605458067331526, 0.11717618883518499]","[0.3476757086089268, 0.5334170725573733, 0.36044404773520367, 0.12809949606514015, 0.43268647068264365]"
strike,contact_force_proxy,dinov2_large,42,10,0.04990100785865592,0.04805192822481017,0.2829224499651688,0.1300226464081516,0.003,0.8,"[0.03065373839775798, 0.10337098325920224, 0.003534786907928744, 0.0007827098473166538, 0.11116282088107399]","[0.26230514985087916, 0.1667909202147595, 0.1487986981510777, 0.5076410992953903, 0.32907638231373726]"
strike,contact_force_proxy,dinov2_large,42,11,0.0710394978778758,0.051221534947173,0.2926278886128972,0.09078410143465115,0.0001,0.8,"[0.07214543105130478, 0.1343704398334412, 0.03330330577622098, -0.0028323831203560523, 0.11821069584876809]","[0.3199288978489945, 0.121290795107725, 0.35238227615281037, 0.2901328118815857, 0.3794046620733704]"
strike,contact_force_proxy,dinov2_large,42,12,0.08842276454691211,0.03897993008320432,0.31518101767670376,0.09336104028985963,0.001,0.8,"[0.10125924862559876, 0.125862814409188, 0.03258945899090859, 0.053136434247751274, 0.12926586646111393]","[0.28425643354533037, 0.15506645908107886, 0.33737972873380306, 0.3661192309862795, 0.43308323603702703]"
