task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,dinov2_large,42,0,-0.05392722152200069,0.0505721261364443,0.17247734350205454,0.07912375119600072,0.0001,0.8,"[-0.12598864875416393, -0.04553451470952097, -0.09661063032818373, 0.004104345365265494, -0.005606659183400309]","[0.13749862556192327, 0.2882324313453475, 0.22583094238195656, 0.15459598529840712, 0.0562287329226383]"
strike,contact_force_proxy,dinov2_large,42,1,-0.018079194949660194,0.06738998623428794,0.21075481680795383,0.07481888767186011,0.0001,0.8,"[-0.060422427009803714, -0.00851475177077532, -0.12206755299111349, 0.06842092484121842, 0.03218783218217314]","[0.1359982765192813, 0.3246609708374728, 0.2698204824679896, 0.18525124568460216, 0.13804310853042334]"
strike,contact_force_proxy,dinov2_large,42,2,-0.0042262878701734286,0.06896663707706759,0.30722101679176717,0.02805382305284036,0.0001,0.8,"[-0.046949190376929906, -0.004701470273883901, -0.10313476243778164, 0.09904879727329563, 0.03460518646443267]","[0.3539634676732317, 0.32512485606922126, 0.2893953412240635, 0.28099636416138174, 0.2866250548309375]"
strike,contact_force_proxy,dinov2_large,42,3,0.011742897008412134,0.05457468689069318,0.30903806696389285,0.05521666519537649,0.0001,0.8,"[-0.005531698834561727, 0.0510260853898622, -0.08165717648379256, 0.07725856530546804, 0.01761870966508472]","[0.25108018561970114, 0.323224776979553, 0.24015151248555844, 0.3481509075968996, 0.3825829521377522]"
strike,contact_force_proxy,dinov2_large,42,4,0.039684575732030346,0.049333510740381614,0.2845593354275609,0.0695734057229012,0.0001,0.8,"[0.04183231065308135, 0.07053508362764593, -0.05613611379467276, 0.06572572644053443, 0.07646587173356278]","[0.21427761383458088, 0.3003939362961374, 0.29888679322957745, 0.39949268590514087, 0.20974564787236794]"
strike,contact_force_proxy,dinov2_large,42,5,0.03272335156677879,0.04010939943312534,0.35896544632248206,0.09044842446477809,0.001,0.8,"[-0.030352867167438458, 0.05660258129239126, 0.0016282500305001557, 0.07323588061344644, 0.06250291306499456]","[0.34412034341545805, 0.32967458984446774, 0.23969386083362876, 0.3624083341446145, 0.5189301033742413]"
strike,contact_force_proxy,dinov2_large,42,6,0.018704076216306452,0.029733056017568635,0.3542387494462367,0.1471469079434828,0.0001,0.8,"[0.002561157049665086, 0.04102695707193649, 0.05661562662064645, -0.028362190200903026, 0.021678830540187266]","[0.24709215404950513, 0.3823971221626159, 0.14232072002542207, 0.43349028647465815, 0.5658934645189821]"
strike,contact_force_proxy,dinov2_large,42,7,0.05715180838350764,0.038497729368557644,0.33229043294406785,0.11384270016040623,0.0003,0.8,"[0.02226752850050684, 0.09902103576252552, 0.07583012842503789, 0.0009482403802754114, 0.08769210884919254]","[0.29890200367678743, 0.36761658737853964, 0.12763382603093631, 0.4318781173949854, 0.43542163023909053]"
strike,contact_force_proxy,dinov2_large,42,8,0.05547662843173373,0.05310814578118277,0.3239237404070391,0.04279667004482185,0.001,0.8,"[0.09195780285288013, 0.06483890976939621, 0.0639056765676197, -0.04629221073664014, 0.10297296370541276]","[0.3630975303521139, 0.36035234740996824, 0.34782936241517237, 0.25450066986967224, 0.29383879198826834]"
strike,contact_force_proxy,dinov2_large,42,9,0.05425314202326235,0.05816231887190814,0.36046456408010297,0.13363057474971018,0.005,0.8,"[0.07708588127590332, 0.06021162170982308, 0.07239753506633828, -0.05560547478087985, 0.1171761468451269]","[0.34767571540701403, 0.5334170822979779, 0.3604440504386892, 0.12809950511355772, 0.43268646714327585]"
strike,contact_force_proxy,dinov2_large,42,10,0.049901009462090265,0.048051936012948666,0.2829224416938242,0.1300226531049617,0.003,0.8,"[0.030653724267010296, 0.10337097134758522, 0.003534765948355223, 0.0007827289293483863, 0.11116285681815219]","[0.26230514461158594, 0.16679089796770397, 0.14879868485820846, 0.507641098768101, 0.32907638226352154]"
strike,contact_force_proxy,dinov2_large,42,11,0.07103948968808207,0.051221521553519625,0.29262789059630884,0.09078410169336744,0.0001,0.8,"[0.07214547420202777, 0.134370433140508, 0.03330328790761283, -0.002832375520750885, 0.11821062871101262]","[0.31992890802183127, 0.12129079641383789, 0.35238228320560006, 0.2901328075172478, 0.37940465782302724]"
strike,contact_force_proxy,dinov2_large,42,12,0.08842275920042093,0.03897993673333192,0.3151810179469827,0.09336104467736753,0.001,0.8,"[0.10125921761242196, 0.12586282066519017, 0.03258946708772803, 0.053136403728284654, 0.12926588690847984]","[0.2842564301882793, 0.1550664538144625, 0.33737971959604185, 0.3661192451664911, 0.433083240969639]"
strike,contact_force_proxy,dinov2_large,42,13,0.09774486550494114,0.047518014497088035,0.4015600245292642,0.10815670311912913,0.003,0.8,"[0.12275210899315103, 0.10231645534316713, 0.06821737537234662, 0.02782043549055102, 0.16761795232548993]","[0.22150127580474233, 0.5087402044114417, 0.3580759289500145, 0.5141454778715948, 0.40533723560852775]"
strike,contact_force_proxy,dinov2_large,42,14,0.10623750229809112,0.03273334325549933,0.41627674488682337,0.04871532986930912,0.0001,0.8,"[0.11576180159731997, 0.10704429555189188, 0.09607574996561541, 0.0553457457608485, 0.15695991861477987]","[0.3207615362932277, 0.45431070454586264, 0.44677835666944044, 0.4287967878207366, 0.43073633910484943]"
strike,contact_force_proxy,dinov2_large,42,15,0.10204169844906648,0.04612888880328554,0.44250839324661195,0.062113176057844506,0.005,0.8,"[0.09990121851557587, 0.12668134682523524, 0.0831979638341026, 0.030694521841505895, 0.16973344122891276]","[0.4848322428025529, 0.5020309999000749, 0.4900047188319181, 0.3512772608852338, 0.38439674381328026]"
strike,contact_force_proxy,dinov2_large,42,16,0.1370132749116225,0.07005153444313933,0.33928313885996975,0.1102779936620312,0.0001,0.8,"[0.11234590155571411, 0.14876472367586224, 0.13160664677543277, 0.03756418819767193, 0.2547849143534314]","[0.28460820338799553, 0.4232801419850316, 0.1806073338840053, 0.3111776585446481, 0.4967423564981681]"
strike,contact_force_proxy,dinov2_large,42,17,0.15119816645193745,0.050791092574831775,0.3652462609893735,0.11219871069024875,0.005,0.8,"[0.18462915537868585, 0.15668622297273627, 0.12675330848127897, 0.06963535876816296, 0.21828678665882317]","[0.22128492294812863, 0.42472768135937766, 0.4218371307143768, 0.24673622454835253, 0.5116453453766318]"
strike,contact_force_proxy,dinov2_large,42,18,0.15367049537351757,0.06219218356938351,0.3098561795462698,0.10070304799823511,0.005,0.8,"[0.2385904721314448, 0.15214198221395514, 0.1389813655689437, 0.05021859110059523, 0.18842006585264892]","[0.18765311847148936, 0.41569340258159526, 0.3827613256671535, 0.18762667648820197, 0.37554637452290884]"
strike,contact_force_proxy,dinov2_large,42,19,0.13333073330042713,0.0555351548999703,0.3259448153278181,0.1458440595257558,0.001,0.8,"[0.1806750302432798, 0.1450309464488746, 0.11924398053243512, 0.03393191855985689, 0.18777179071768924]","[0.25807701016709517, 0.4907118593162967, 0.5051206927783463, 0.1410804445781363, 0.23473406979921607]"
