task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening_native,dinov2_large,123,0,0.9971921469759737,0.002323705262396398,0.9998682040339528,0.00019123347332007456,0.9886117194594306,0.0020779834396019692,0.005,0.01,"[0.9998671484748645, 0.9986845284437166, 0.9940401084592875, 0.9985771430105507, 0.9947918064914495]","[0.999508376063787, 1.0, 0.9998326441059765, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,1,0.9971489719600957,0.0020038595003330547,0.9994758257220491,0.0010475119769640074,0.9906789167245339,0.0031159405912725402,0.001,0.01,"[0.9999734296949729, 0.9980670622030121, 0.9941474938924534, 0.9977717522618057, 0.9957851217482347]","[0.9973808021691857, 1.0, 1.0, 1.0, 0.9999983264410598]"
strike,contact_happening_native,dinov2_large,123,2,0.9970898547612016,0.0021156293049113964,0.9995252628481353,0.0006181107219827162,0.9927487847871375,0.0025432387844687163,0.005,0.01,"[1.0, 0.9983086794276356, 0.9948186528497409, 0.9978254449783887, 0.994496496550243]","[0.9984815028591372, 0.9991448113815397, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,3,0.9978093371634138,0.0015931996152299872,0.9991326528622808,0.0011421121205170573,0.9917125153570856,0.0034413471932852116,0.005,0.01,"[1.0, 0.9982818330693441, 0.9951408091492389, 0.9983355257859271, 0.9972885178125587]","[0.9984949260382828, 0.9971683382731215, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,4,0.9980939085613036,0.0016936626804035042,0.998763570967971,0.0015173706265318024,0.9932642487046632,0.003877365167641404,0.0001,0.01,"[1.0, 0.9982281403527611, 0.9949797309994899, 0.999087223818089, 0.9981744476361781]","[0.9967566243389084, 0.9970612305009464, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,5,0.9984697575773847,0.001363097240171398,0.9994127359123735,0.0011745281752530534,0.9937850542171892,0.0026456483797075853,0.001,0.01,"[1.0, 0.9988724529517571, 0.9959461998979838, 0.9991140701763805, 0.9984160648608016]","[0.9970636795618674, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,6,0.9987865446052243,0.0016309157138142028,0.9994164272866385,0.001167145426722893,0.9937850542171892,0.002077214365418162,0.005,0.01,"[1.0, 0.9997046900587935, 0.9955703508819028, 0.9994899191924616, 0.9991677628929635]","[0.9970821364331928, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,7,0.9988992993100485,0.001335751341426577,0.9994852210797605,0.0010295578404789561,0.994300518134715,0.0034369168811973177,0.003,0.01,"[1.0, 0.9987382211602995, 0.9963757416306478, 0.9998657682085424, 0.9995167655507531]","[0.9974261053988026, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,8,0.9992160863378882,0.0010013943549088578,0.9995895862976187,0.0008208274047625696,0.9943031889322151,0.0030239702952519153,0.001,0.01,"[1.0, 0.9992214556095466, 0.9972885178125587, 0.9999194609251255, 0.9996509973422105]","[0.9979479314880936, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,9,0.999087223818089,0.0012781799005730514,0.9995993259117147,0.0007938385952769195,0.9943031889322151,0.0030239702952519153,0.005,0.01,"[1.0, 0.999838921850251, 0.9965905124969797, 0.9998120754919595, 0.9991946092512551]","[0.9980116915890359, 1.0, 1.0, 1.0, 0.9999849379695379]"
strike,contact_happening_native,dinov2_large,123,10,0.9991248087196972,0.0012006776759396387,0.9995373703909927,0.0008018768916340157,0.9943031889322151,0.0030239702952519153,0.005,0.01,"[1.0, 0.9999731536417085, 0.9967784370050202, 0.9993288410427126, 0.9995436119090445]","[0.9979462535907003, 1.0, 1.0, 1.0, 0.9997405983642635]"
strike,contact_happening_native,dinov2_large,123,11,0.9995328733657279,0.000778192531075606,0.9994839614092349,0.0007020896289800515,0.9948213236472411,0.002320159158323625,0.0001,0.01,"[1.0, 1.0, 0.9979865231281376, 0.9999194609251255, 0.9997583827753764]","[0.9982264624553678, 1.0, 1.0, 1.0, 0.9991933445908064]"
strike,contact_happening_native,dinov2_large,123,12,0.9995275040940695,0.0005067067889029797,0.9996808639158099,0.0006382721683803716,0.9943031889322151,0.0030239702952519153,0.003,0.01,"[1.0, 0.9999731536417085, 0.998711374802008, 0.9991677628929636, 0.999785229133668]","[0.9984043195790491, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,13,0.9997261671454266,0.00026706392365853394,0.999695294701082,0.0006085741635332121,0.9948213236472411,0.002320159158323625,0.001,0.01,"[1.0, 0.9999731536417085, 0.9995436119090445, 0.999301994684421, 0.9998120754919595]","[0.9984781470643507, 1.0, 1.0, 1.0, 0.9999983264410598]"
strike,contact_happening_native,dinov2_large,123,14,0.9998818760235174,0.00010272021514515991,0.9997499932884104,0.0005000134231791797,0.9948213236472411,0.002320159158323625,0.001,0.01,"[1.0, 1.0, 0.999785229133668, 0.9997583827753765, 0.9998657682085424]","[0.998749966442052, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,15,0.9998711374802008,0.00017097568609188233,0.9998010109137608,0.0003888389708504522,0.995339458362267,0.001941543034974982,0.001,0.01,"[1.0, 1.0, 0.9995436119090445, 0.9999463072834169, 0.9998657682085424]","[0.9990234637171467, 0.9999815908516575, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,16,0.9998657682085424,0.00018907156553637895,0.9999953070934426,5.846257974939046e-06,0.995339458362267,0.001941543034974982,0.001,0.01,"[1.0, 1.0, 0.999516765550753, 1.0, 0.9998120754919595]","[0.9999865768208542, 0.9999899586463585, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,17,0.9997691213186931,0.0003862891513566767,0.9999939595693844,1.2080861231167361e-05,0.9953367875647668,0.0030212185983654514,0.003,0.01,"[1.0, 1.0, 0.9990066847432145, 1.0, 0.999838921850251]","[0.9999697978469221, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,dinov2_large,123,18,0.9999033531101507,0.00014566468862253505,0.9998442989311247,0.0003039271110242356,0.9943031889322151,0.0030239702952519153,0.001,0.01,"[1.0, 1.0, 0.999624150983919, 1.0, 0.999892614566834]","[0.9992365566860856, 0.9999849379695378, 1.0, 1.0, 1.0]"
