task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
nut_thread,large,nut_bolt_relative_angle,0,42,0.13734067018113133,0.0602335967130282,0.27730086280774147,0.043066952453952874,0.003,0.8,"[0.1289892132765087, 0.0899025031954781, 0.2343392222001458, 0.16947375143793186, 0.06399866079559213]","[0.28213490398557195, 0.2600140554519953, 0.3117540792028757, 0.3276299792936799, 0.20497129610458442]",1,2500
nut_thread,large,nut_bolt_relative_angle,1,42,0.17369974207673317,0.05454886336212418,0.3163827992000881,0.025562355077920762,0.001,0.8,"[0.19580231597358444, 0.16716246545319535, 0.24428084408898265, 0.1837976797914629, 0.07745540507644044]","[0.3240228528798519, 0.2931852988734934, 0.36168414732463294, 0.2921269909240214, 0.31089470599844093]",1,2500
nut_thread,large,nut_bolt_relative_angle,2,42,0.1859149075417438,0.05755183376192868,0.3127422777765199,0.04074627745115864,0.001,0.8,"[0.18836372953742742, 0.19357451423488425, 0.2589111947023579, 0.20647030559605062, 0.08225479363799881]","[0.24335265280687535, 0.29059866424542424, 0.33856270803553934, 0.3548251317759652, 0.3363722320187955]",1,2500
nut_thread,large,nut_bolt_relative_angle,3,42,0.19958906925307318,0.05592984552886584,0.32211652422581155,0.03670644613316764,0.0001,0.8,"[0.22084548314619112, 0.20467897619816022, 0.26854987748546233, 0.20609119842677126, 0.09777981100878097]","[0.31450397899872096, 0.2551235961261855, 0.3592424105432396, 0.3482766116057521, 0.3334360238551597]",1,2500
nut_thread,large,nut_bolt_relative_angle,4,42,0.21367631357806074,0.05236465944439224,0.35121948700060496,0.019205718161079032,0.005,0.8,"[0.2116853827263041, 0.21437656074697475, 0.2818007012912316, 0.23870400554854443, 0.12181491757724872]","[0.33275929634025436, 0.3519994465683829, 0.3803331487142523, 0.3283280212113855, 0.3626775221687497]",1,2500
nut_thread,large,nut_bolt_relative_angle,5,42,0.25416325674163465,0.05172540245232866,0.3889039165544308,0.024356862819685906,0.005,0.4,"[0.26152223992205414, 0.248113862015502, 0.3150836170997806, 0.2848514493801143, 0.16124511529072216]","[0.4148823408140866, 0.36312160402589666, 0.40704758451737055, 0.40349650994241315, 0.35597154347238713]",1,2500
nut_thread,large,nut_bolt_relative_angle,6,42,0.2736345349007324,0.053439838083282946,0.4195845564450666,0.02870279719089398,0.005,0.4,"[0.2819709365444273, 0.27186751294238587, 0.34215494749955777, 0.2939350280196654, 0.17824424949762596]","[0.4441264810550175, 0.3729477273101619, 0.4303232261494846, 0.4011571571017052, 0.4493681906089635]",1,2500
nut_thread,large,nut_bolt_relative_angle,7,42,0.27316093678335857,0.04779685984265933,0.4471897479292394,0.03748444274854563,0.003,0.4,"[0.2995949469393808, 0.2647758155996096, 0.3196697654676022, 0.29748027273112476, 0.1842838831790754]","[0.43469113141100435, 0.3997961932562045, 0.5145944363024443, 0.43836191021851856, 0.4485050684580252]",1,2500
nut_thread,large,nut_bolt_relative_angle,8,42,0.2916874551441271,0.04196805848015701,0.4294744127352712,0.02157760604661361,0.003,0.4,"[0.3154516504880579, 0.31124955034494994, 0.3311274934974894, 0.28824192299486207, 0.21236665839527613]","[0.425804028705125, 0.4396254656908195, 0.43453879316840294, 0.39115071459818407, 0.4562530615138246]",1,2500
nut_thread,large,nut_bolt_relative_angle,9,42,0.3274501934572778,0.0441707215462096,0.4866338192893684,0.02056315858374995,0.003,0.4,"[0.3633117520446635, 0.32635184083239854, 0.3638065127339205, 0.3399384800191876, 0.24384238165621885]","[0.4703694154228969, 0.5251814716883072, 0.47157935238948445, 0.47556957946401446, 0.490469277482139]",1,2500
nut_thread,large,nut_bolt_relative_angle,10,42,0.3440660194839997,0.046639221009205714,0.5040054944508351,0.015706990589684357,0.001,0.4,"[0.3705942621902477, 0.35850791754251476, 0.3792885555712776, 0.35991631927461953, 0.2520230428413388]","[0.48143533953270135, 0.5258365262758693, 0.5110828095773217, 0.49141920153638297, 0.5102535953319003]",1,2500
nut_thread,large,nut_bolt_relative_angle,11,42,0.3530017940901816,0.04369378137437185,0.5253527544517953,0.029399837327706277,0.003,0.1,"[0.3598402441718286, 0.3714327012608938, 0.3854225992980189, 0.38091974608874357, 0.26739367963142313]","[0.5034025510305383, 0.5551229115722385, 0.5653927716320806, 0.4912939214177362, 0.5115516166063832]",1,2500
nut_thread,large,nut_bolt_relative_angle,12,42,0.3733625921833371,0.05226446613557764,0.49130248354584066,0.014151569533405605,0.005,0.4,"[0.40240318086732185, 0.40476995583630637, 0.40918658714404865, 0.37958924947826544, 0.27086398759074326]","[0.490873794234839, 0.5015697557370529, 0.5066136531929192, 0.465592787023306, 0.49186242754108633]",1,2500
nut_thread,large,nut_bolt_relative_angle,13,42,0.40652645148885325,0.05708806543772442,0.5291079953465523,0.014900240690405485,0.005,0.4,"[0.43410151731932545, 0.4456223251188438, 0.43545500200121245, 0.42430060455031093, 0.2931528084545738]","[0.5294376944499259, 0.5517414153109607, 0.5315399163226834, 0.5280151552711931, 0.5048057953779985]",1,2500
nut_thread,large,nut_bolt_relative_angle,14,42,0.4241743579363243,0.059337069702772895,0.5533557859881892,0.013691888346506396,0.005,0.4,"[0.4540183065724672, 0.4674219826604966, 0.4520511794678258, 0.44065655253846103, 0.3067237684423708]","[0.5447083845166325, 0.5424987015376757, 0.5708624062792056, 0.5395863791892499, 0.5691230584181823]",1,2500
nut_thread,large,nut_bolt_relative_angle,15,42,0.4281762310897924,0.05681187521930509,0.5562198775599814,0.030057968229550848,0.003,0.4,"[0.45357490975316184, 0.449204779137201, 0.47078648256452427, 0.4517426714683612, 0.3155723125257137]","[0.5873533294892146, 0.5449020882007871, 0.5808167564078706, 0.5037747269215528, 0.5642524867804819]",1,2500
nut_thread,large,nut_bolt_relative_angle,16,42,0.43896972764101216,0.061097191451267206,0.5988451427444317,0.011866188038126082,0.003,0.1,"[0.47647299766640483, 0.45609240998309664, 0.4829580475322891, 0.4609622860045266, 0.3183628970187433]","[0.595730022562351, 0.591727920366828, 0.5979382182554749, 0.5873735157895414, 0.621456036747963]",1,2500
nut_thread,large,nut_bolt_relative_angle,17,42,0.43043617302212145,0.06599545217195654,0.5842737159595357,0.026322303106444817,0.003,0.1,"[0.433173506750241, 0.45485056676148294, 0.4829077904385116, 0.47794641581274766, 0.3033025853476242]","[0.534686309927602, 0.5959213610714849, 0.5925834632996665, 0.5856403217798299, 0.6125371237190953]",1,2500
nut_thread,large,nut_bolt_relative_angle,18,42,0.4354865097819854,0.059974992400931175,0.552355604667912,0.023175494204076105,0.001,0.4,"[0.4440447508355154, 0.46771852565167604, 0.4812862429976593, 0.4664421829645835, 0.3179408464604927]","[0.5830967901839571, 0.5249452650929503, 0.5723474653981679, 0.5280942188566375, 0.5532942838078478]",1,2500
nut_thread,large,nut_bolt_relative_angle,19,42,0.4500228048801844,0.05847054332487363,0.5887660043329417,0.009951814063782888,0.003,0.1,"[0.4525671938914162, 0.4878338833833049, 0.48498896295595284, 0.48851501158918287, 0.33620897258106486]","[0.5900205482144347, 0.5807213407982104, 0.5824902118046718, 0.5829669305494705, 0.6076309902979212]",1,2500
nut_thread,large,nut_bolt_relative_angle,20,42,0.4562916836185047,0.03959996336257867,0.5853027994422202,0.004960262592639214,0.003,0.1,"[0.4469607931090228, 0.48999859954967084, 0.48033792058477964, 0.48141099197595616, 0.382750112873094]","[0.5855599803507943, 0.5801094998049843, 0.5847171437585421, 0.5817234763645109, 0.5944038969322696]",1,2500
nut_thread,large,nut_bolt_relative_angle,21,42,0.4592513533141912,0.04227955618719879,0.5769624613485088,0.0306337020696037,0.003,0.01,"[0.44122214286940564, 0.5046763600786514, 0.48782847648643746, 0.47690580099289015, 0.38562398614357163]","[0.5242120717389007, 0.5605766226327641, 0.5976411719258461, 0.5967558727856495, 0.6056265676593839]",1,2500
nut_thread,large,nut_bolt_relative_angle,22,42,0.46021316867183126,0.03974850019585219,0.5733888121350892,0.019991163334928567,0.003,0.1,"[0.4562595700659614, 0.5006551196225069, 0.4812960921763253, 0.47696223419142636, 0.3858928273029363]","[0.5633371055153218, 0.5515969823941766, 0.58984391577742, 0.5583548516937731, 0.6038112052947546]",1,2500
nut_thread,large,nut_bolt_relative_angle,23,42,0.4547705949949326,0.041776593642559576,0.5658421979363768,0.019583584897162644,0.003,0.1,"[0.4472362713370065, 0.49061961391902253, 0.48516428928102917, 0.4740856232288777, 0.37674717720872686]","[0.55697063916466, 0.5458681383858381, 0.5780180152575765, 0.5501695504883242, 0.598184646385485]",1,2500
