task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
peg_insert,large,insertion_depth,0,42,0.4998151103952143,0.05961528566882927,0.6586014862630449,0.012394628517773265,0.003,0.01,"[0.45778786484777345, 0.5650100600066528, 0.4262361733061417, 0.47467822789833736, 0.5753632259171664]","[0.6670002599319031, 0.6388996468092181, 0.6718252942191101, 0.665787233313152, 0.6494949970418411]",1,2500
peg_insert,large,insertion_depth,1,42,0.5623679937213829,0.031688897625851364,0.7045775654895389,0.010626104306470725,0.003,0.01,"[0.5625953225720344, 0.6123023739292229, 0.5292288075913045, 0.5285155764254782, 0.5791978880888746]","[0.7131347009255055, 0.6920881938332437, 0.691771832045019, 0.716902234151508, 0.7089908664924183]",1,2500
peg_insert,large,insertion_depth,2,42,0.5734784238068144,0.05068378464353005,0.7453834225134548,0.010982371438250975,0.001,0.01,"[0.5099650122528308, 0.6489266934828808, 0.5283424589071875, 0.5738090169686338, 0.6063489374225388]","[0.7369059185634669, 0.7380750195524903, 0.7349193167088537, 0.7619546217636431, 0.7550622359788197]",1,2500
peg_insert,large,insertion_depth,3,42,0.5971584695544296,0.058526823010981166,0.7757181620105049,0.01612107006897351,0.001,0.01,"[0.5223084557835951, 0.6977282785302542, 0.568104179126607, 0.582086201067616, 0.6155652332640758]","[0.7976097518865334, 0.7679823986247301, 0.7625601721599877, 0.7923471481523144, 0.7580913392289588]",1,2500
peg_insert,large,insertion_depth,4,42,0.6065744615272785,0.06555554145187355,0.7850638503866807,0.013083774570611838,0.003,0.1,"[0.5332270621877258, 0.7175369063719921, 0.56093408917023, 0.5816052910307478, 0.6395689588756966]","[0.7818942835726298, 0.7863930566459151, 0.7783902080363658, 0.8088571157739195, 0.7697845879045734]",1,2500
peg_insert,large,insertion_depth,5,42,0.6527691053995796,0.0642375257029161,0.8147950068236784,0.023252160671419147,0.003,0.01,"[0.5775452238469454, 0.7661565078428103, 0.6282871303326921, 0.6192449696725053, 0.6726116953029451]","[0.8417471752711705, 0.8058716157912649, 0.7946641291934895, 0.8431389767190585, 0.7885531371434087]",1,2500
peg_insert,large,insertion_depth,6,42,0.662407146735417,0.05701009077717166,0.8280618558735388,0.021694326250825055,0.005,0.01,"[0.5993976243621373, 0.7662264411429435, 0.6315929912502597, 0.6415562930474572, 0.6732623838742874]","[0.8547695714013486, 0.8231163640060971, 0.8090409530392193, 0.8516902637860795, 0.8016921271349491]",1,2500
peg_insert,large,insertion_depth,7,42,0.7251900396004515,0.0441043545762152,0.8627577460359122,0.016236905386018668,0.005,0.01,"[0.685108326093564, 0.8079034053234943, 0.7084979067645369, 0.6940149344784287, 0.7304256253422333]","[0.878511225974215, 0.850019003520295, 0.8373226664905935, 0.8761426181803962, 0.8717932160140613]",1,2500
peg_insert,large,insertion_depth,8,42,0.74284217065829,0.032657835341157765,0.8524309266162262,0.007862466303290995,0.003,0.01,"[0.7281643215101083, 0.8020329642179022, 0.7308238524721453, 0.7049004872017821, 0.7482892278895118]","[0.8560835236410073, 0.8375893281639935, 0.8525622130200501, 0.8606359385814922, 0.855283629674588]",1,2500
peg_insert,large,insertion_depth,9,42,0.7783010966635198,0.025309366529370075,0.8692394340812207,0.010133785253352522,0.003,0.01,"[0.7647620133599938, 0.824897646188172, 0.7688388529616512, 0.7510055234806796, 0.7820014473271026]","[0.8753682319431952, 0.8633147005313092, 0.8520299391529307, 0.8775932601243955, 0.8778910386542735]",1,2500
