task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
peg_insert,large,peg_hole_lateral_error,0,42,0.2988666053302237,0.08170843827388599,0.4234668510470908,0.07900904266199757,0.003,0.01,"[0.1864725256036318, 0.40706470421163454, 0.22271234375534876, 0.3363459537240856, 0.34173749935641795]","[0.5589964153927144, 0.429998737206452, 0.31253011740484915, 0.4056815562456497, 0.4101274289857889]",1,2500
peg_insert,large,peg_hole_lateral_error,1,42,0.32978840783908103,0.07019997174195212,0.4598613950888337,0.07420494623273195,0.003,0.1,"[0.23862981770107128, 0.41212676062275155, 0.25318949236830623, 0.3766859182170653, 0.3683100502862108]","[0.586307712750576, 0.46534466459237434, 0.3852181464375797, 0.4775898544045015, 0.38484659725913706]",1,2500
peg_insert,large,peg_hole_lateral_error,2,42,0.3425483677247122,0.06499484619610076,0.4877554480873013,0.0965910001038722,0.001,0.8,"[0.25400010870691625, 0.4201081516229892, 0.28733052787299285, 0.4074688789494335, 0.3438341714712294]","[0.6607136472104085, 0.4397479373721054, 0.41287755152233696, 0.5242393949025443, 0.4011987094291115]",1,2500
peg_insert,large,peg_hole_lateral_error,3,42,0.3633554080210846,0.09354463047373668,0.5149127842813324,0.09907722740833932,0.001,0.8,"[0.21897014621068878, 0.47796348811433764, 0.29577404241343563, 0.4272709747961455, 0.3967983885708156]","[0.6948924219202259, 0.4601481452823809, 0.4452395136237135, 0.5475275265533569, 0.4267563140269851]",1,2500
peg_insert,large,peg_hole_lateral_error,4,42,0.3753134575886801,0.08311931247736355,0.5524464725319348,0.0913615284922536,0.003,0.1,"[0.2463613255950312, 0.463633561631547, 0.30901093020957815, 0.4296417553001949, 0.4279197152070491]","[0.7105720285223235, 0.5511811038479804, 0.4430387852782607, 0.5713432205007811, 0.4860972245103288]",1,2500
peg_insert,large,peg_hole_lateral_error,5,42,0.3891685768620852,0.09425412879321547,0.541240431699286,0.1005363855159507,0.003,0.4,"[0.2319762710890001, 0.4985019548374737, 0.3372569029149053, 0.4325697794623534, 0.4455379760066934]","[0.7372005027870658, 0.526407232464262, 0.4553694154555443, 0.4917712600013592, 0.4954537477881994]",1,2500
peg_insert,large,peg_hole_lateral_error,6,42,0.40070836873192084,0.09156947751927803,0.5650304555311138,0.10404745817579196,0.003,0.4,"[0.258105608591203, 0.49394807622143433, 0.32813697654064655, 0.47155092479778193, 0.45180025750853847]","[0.756517524738407, 0.49439535590958217, 0.46976519360768665, 0.5914158131274257, 0.513058390272467]",1,2500
peg_insert,large,peg_hole_lateral_error,7,42,0.4530262438172861,0.09675064089592489,0.5968816876908052,0.10007156580195621,0.005,0.4,"[0.2848424850437816, 0.5526364140681396, 0.4077013207086587, 0.5047464602584568, 0.5152045390073938]","[0.7831412906767654, 0.5149687260321036, 0.5350320467398593, 0.6200226164910676, 0.53124375851423]",1,2500
peg_insert,large,peg_hole_lateral_error,8,42,0.4696885776068346,0.0984835403107422,0.5937157456056624,0.07910578376377514,0.003,0.1,"[0.2916378125149881, 0.5701624375929393, 0.446130159570471, 0.5429365303630063, 0.49757594799276794]","[0.7418355558919875, 0.5822061249627808, 0.5299947368069695, 0.5926257323507018, 0.5219165780158728]",1,2500
peg_insert,large,peg_hole_lateral_error,9,42,0.5075791142900636,0.10109428383674646,0.6219566922298021,0.0742296373862733,0.003,0.1,"[0.3147388984390813, 0.5987838318322921, 0.5101627362398642, 0.575575428256432, 0.5386346766826482]","[0.7626240746383011, 0.6160831120968572, 0.5630375294107222, 0.6102723314931238, 0.5577664135100067]",1,2500
