task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,dinov2_large,ee_direction_3d,0,42,-1.4553772381768326,3.606588854662925,0.17490049825597537,1.650098365805,0.0001,0.8,"[0.5679588746934523, 0.6407742508865035, -8.60845056421121, 0.68667419510156, -0.5638429473544675]","[0.9999504007920883, 0.9999480730960199, -3.125296233353219, 0.9999488709381406, 0.9999513798068471]",3,1500
push,dinov2_large,ee_direction_3d,1,42,0.6056591745737221,0.06097337678557333,0.9986430626571934,0.0013675325843630747,0.0001,0.8,"[0.6179525580828509, 0.6476293618522742, 0.5453921084412011, 0.6893640797013458, 0.5279577647909385]","[0.9973054484314625, 0.9997672420664274, 0.9999091253080513, 0.999555638654273, 0.9966778588257532]",3,1500
push,dinov2_large,ee_direction_3d,2,42,0.6361593941815672,0.052779105523973434,0.9992612890030262,0.0008185231694275624,0.0001,0.8,"[0.643794506094284, 0.6755685408258632, 0.5705633644941657, 0.7080526531730507, 0.5828179063204726]","[0.9998178328141216, 0.9998865961534706, 0.9991247139642822, 0.9997594833564055, 0.9977178187268511]",3,1500
push,dinov2_large,ee_direction_3d,3,42,0.6425067109429916,0.04832103517820918,0.9986841710963968,0.001436977527270078,0.0001,0.8,"[0.6508687218711263, 0.693934587848908, 0.5896482305226021, 0.6944568050601412, 0.5836252094121805]","[0.9961145741566384, 0.9998750487032676, 0.9996761420388922, 0.9996664402949184, 0.9980886502882678]",3,1500
push,dinov2_large,ee_direction_3d,4,42,0.6357396438519333,0.07327851909412235,0.991686301297132,0.015092505471831018,0.0001,0.8,"[0.6362879206559383, 0.7158028447741461, 0.5204608669105779, 0.710292970246614, 0.5958536166723899]","[0.9980753698529535, 0.9999164077408966, 0.9615322575287693, 0.9999181323781473, 0.998989338984893]",3,1500
push,dinov2_large,ee_direction_3d,5,42,0.6493524474585044,0.05589635631746543,0.9987872403118636,0.0011235225212389757,0.0001,0.8,"[0.651726497793141, 0.7111840891930172, 0.5791180376723489, 0.7108568917016411, 0.5938767209323739]","[0.9998729960848514, 0.9997389779674074, 0.9994711859266238, 0.9975937740083849, 0.9972592675720509]",3,1500
push,dinov2_large,ee_direction_3d,6,42,0.6648403114414094,0.050580456683217444,0.9987988015429735,0.0012314899629679965,0.0001,0.8,"[0.6681863197982647, 0.7183013357961039, 0.6027987444207639, 0.722502014651489, 0.612413142540426]","[0.9980174688449882, 0.9998915245035567, 0.9998160812259508, 0.9995238501610983, 0.9967450829792738]",3,1500
push,dinov2_large,ee_direction_3d,7,42,0.6779882683774681,0.05329792590494615,0.999816387926816,0.00010744126373216704,0.0001,0.8,"[0.6682299671737184, 0.7546686028789849, 0.6103154621343555, 0.7210740508467387, 0.6356532588535424]","[0.9998796481735435, 0.9998672478261461, 0.999601776209004, 0.9998633118030877, 0.9998699556222991]",3,1500
push,dinov2_large,ee_direction_3d,8,42,0.7004610835422775,0.047612564192544095,0.9989046738061269,0.001230014259177232,0.0001,0.8,"[0.6926961390162152, 0.771655545994511, 0.635443378828576, 0.7326977627291692, 0.6698125911429165]","[0.9964929087934873, 0.9997813715963535, 0.9993165451228382, 0.9997654735257621, 0.9991670699921936]",3,1500
push,dinov2_large,ee_direction_3d,9,42,0.7251633754451199,0.03630087873776874,0.9978605136405971,0.0013579574358508443,0.0001,0.8,"[0.7092560432873968, 0.7833946090250312, 0.6873076818545356, 0.750331946829544, 0.6955265962290922]","[0.9967331515480924, 0.9968449881793776, 0.9993015476021383, 0.9997272119608911, 0.9966956689124862]",3,1500
