task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,giant,ee_direction_3d,0,123,0.5527512606481795,0.09951249022542684,0.9897610176151543,0.02013166076241128,0.0001,0.8,"[0.6078382826948193, 0.6481939752991372, 0.4790300386529879, 0.6347322063714365, 0.39396180022251615]","[0.9998289142302204, 0.9998339185438047, 0.9998101075273756, 0.9998344477870723, 0.9494976999872989]",3,1500
push,giant,ee_direction_3d,1,123,0.555254913232587,0.10783484015074098,0.999810559730569,7.267690387021662e-06,0.0001,0.8,"[0.59406759834657, 0.6579091291452573, 0.5192468478127225, 0.6425970617840848, 0.36245392907430063]","[0.9998046175773558, 0.9998182395287113, 0.999805617416956, 0.9998205360340703, 0.9998037880957521]",3,1500
push,giant,ee_direction_3d,2,123,0.581499599152058,0.08902968941749538,0.9998057132153756,8.165735395413643e-06,0.0001,0.8,"[0.6143506626105332, 0.6733179851405912, 0.5489690908332088, 0.6468271514507873, 0.42403310572516895]","[0.9997949660837323, 0.9998108098873079, 0.9997967845764858, 0.9998147237555197, 0.999811281773832]",3,1500
push,giant,ee_direction_3d,3,123,0.6678420800367558,0.054884209485513494,0.997039643514215,0.004055324621010699,0.0001,0.8,"[0.6711179683696376, 0.7307114804665287, 0.6740434647916458, 0.6966403199175988, 0.5666971666383686]","[0.9965279799130008, 0.9997843780923534, 0.9997644739613155, 0.9997912676813636, 0.9893301179230415]",3,1500
push,giant,ee_direction_3d,4,123,0.6972976357139735,0.03689903411593011,0.9997762583130541,1.3865320938100184e-05,0.0001,0.8,"[0.6950815493437071, 0.7517818627355697, 0.6919440494227451, 0.7106174095910731, 0.6370633074767725]","[0.9997800286177769, 0.9997839085570817, 0.9997742695316975, 0.99979203706064, 0.9997510477980746]",3,1500
push,giant,ee_direction_3d,5,123,0.7385969443891507,0.019927703476782375,0.9997925797707549,9.55349690959898e-06,0.0001,0.8,"[0.731702277917637, 0.7724723842572706, 0.7381442279468218, 0.7401385081362186, 0.7105273236878058]","[0.9997827345943665, 0.9997900025744973, 0.9997911610422194, 0.9998107913851955, 0.9997882092574955]",3,1500
push,giant,ee_direction_3d,6,123,0.7572014470106444,0.016364445836273833,0.9997826633883573,1.1811732113825824e-05,0.0001,0.8,"[0.7547186362985017, 0.7868106490209175, 0.757769818502297, 0.749365856354814, 0.737342274876692]","[0.999792133379242, 0.9997855765205268, 0.9997627982435088, 0.9997958066252232, 0.9997770021732858]",3,1500
push,giant,ee_direction_3d,7,123,0.7611126749739567,0.015249759156509718,0.99756011098071,0.004480323563020476,0.0001,0.8,"[0.7508564029452509, 0.7903843585610932, 0.7574800434801239, 0.7593052556620825, 0.7475373142212332]","[0.9885995153075776, 0.9998129820681548, 0.9997866199714982, 0.9998207724902216, 0.9997806650660974]",3,1500
push,giant,ee_direction_3d,8,123,0.7761977354765378,0.01565889445655119,0.9998105091706811,9.529676039229637e-06,0.0001,0.8,"[0.7789254833219235, 0.8056810829110691, 0.7643274423858079, 0.7668986893165463, 0.7651559794473424]","[0.999810628134396, 0.999808696085769, 0.9998028110774062, 0.9998283848968683, 0.9998020256589666]",3,1500
push,giant,ee_direction_3d,9,123,0.7846019699072931,0.015012657500000602,0.9998068418167689,1.2050784361313277e-05,0.0001,0.8,"[0.7756729906554436, 0.8142167576314391, 0.7810022021566332, 0.7736912099064344, 0.7784266891865157]","[0.9997877889025258, 0.9998067895770999, 0.9998060885118403, 0.9998258634629856, 0.9998076786293931]",3,1500
