task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_direction_3d,0,123,0.6533696972822755,0.0480437552929699,0.999879575924153,1.2970791538586125e-05,0.0001,0.8,"[0.6534996345711894, 0.7067672984338838, 0.5856808573823824, 0.7052144024770315, 0.6156862935468901]","[0.9998885394830593, 0.9998865720692566, 0.9998766032037489, 0.9998906714600792, 0.9998554934046208]",3,1500
push,large,ee_direction_3d,1,123,0.6786082760672627,0.05109703144396154,0.9966297411762397,0.0064984695244023295,0.0001,0.8,"[0.6575927686826472, 0.7429682829068243, 0.6348140454727718, 0.7360722686328776, 0.6215940146411928]","[0.9998782186719097, 0.9998805211326754, 0.9998762706226583, 0.9998808928970483, 0.9836328025569067]",3,1500
push,large,ee_direction_3d,2,123,0.7066959159304407,0.03637900464530465,0.9999001005302839,3.402517664369801e-06,0.0001,0.8,"[0.692749364847258, 0.7581665325242593, 0.6771636874263922, 0.7405770484307992, 0.6648229464234949]","[0.9998993337130564, 0.9998972667540302, 0.9998977013236849, 0.9999066720086137, 0.9998995288520337]",3,1500
push,large,ee_direction_3d,3,123,0.7356701228901009,0.02793554161753463,0.9985611280143563,0.0016017624563138815,0.0001,0.8,"[0.7251921639060152, 0.77605029931447, 0.7130389997226423, 0.7605216255571245, 0.703547525950253]","[0.999860231918159, 0.9965426409324233, 0.9998675368025352, 0.9998780887925084, 0.996657141626155]",3,1500
push,large,ee_direction_3d,4,123,0.7668053008632905,0.022188074737008814,0.9998556818644797,7.470732585083719e-05,0.0001,0.8,"[0.7534603604685527, 0.8058846861850467, 0.7510854445397105, 0.7769473899834796, 0.7466486231396628]","[0.9997065266464501, 0.9998892319950681, 0.9998894344326023, 0.9999012920880943, 0.999891924160184]",3,1500
push,large,ee_direction_3d,5,123,0.7821249086617715,0.02191539591167305,0.9977511487918518,0.00423057808873585,0.0001,0.8,"[0.7565359814475474, 0.821237360778254, 0.7795728098785994, 0.7853036771085142, 0.7679747140959429]","[0.9892899967680276, 0.9998625200272928, 0.9998662308142944, 0.9998741541256863, 0.9998628422239576]",3,1500
push,large,ee_direction_3d,6,123,0.7924486314909711,0.01901038461520001,0.9994856013571477,0.00023228570953319009,0.0001,0.8,"[0.7864421985264174, 0.8287305879800759, 0.7858426275604999, 0.7886994652286539, 0.7725282781592078]","[0.9996196275947047, 0.9993725329232076, 0.99916027297795, 0.9998462050620804, 0.9994293682277959]",3,1500
push,large,ee_direction_3d,7,123,0.7913451295203953,0.025000757100657158,0.9982980531263317,0.0016631707023628053,0.0001,0.8,"[0.7665737869051604, 0.8325496301671791, 0.8024671022441686, 0.7900258564971926, 0.7651092717882755]","[0.996408114170154, 0.9994475843885294, 0.9998188316285043, 0.9996855257311521, 0.9961302097133186]",3,1500
push,large,ee_direction_3d,8,123,0.8060778444064727,0.024534572951001046,0.9989264085184202,0.0010968725473685863,0.001,0.8,"[0.78710817856281, 0.8448535413905575, 0.8220833084898129, 0.7993281932224268, 0.7770160003667564]","[0.9995549714011287, 0.9985710665728992, 0.9998433204165795, 0.9997358619863691, 0.9969268222151244]",3,1500
push,large,ee_direction_3d,9,123,0.8134306628779953,0.025543785068994584,0.9981452465444992,0.0022343929405294837,0.0001,0.8,"[0.780797728738047, 0.8567251265491869, 0.823664661660067, 0.8031554099947393, 0.8028103874479362]","[0.9938844226217144, 0.999212745641914, 0.9997888192911165, 0.9998598531604934, 0.9979803920072582]",3,1500
push,large,ee_direction_3d,10,123,0.8142886679765194,0.018930166656006803,0.998372260681532,0.000747748074025178,0.0001,0.8,"[0.8007901309928963, 0.8461886600554522, 0.8258782074367303, 0.7973071255491833, 0.8012792158483344]","[0.9971152788719374, 0.9982540228454244, 0.9982251073034274, 0.999236375632188, 0.9990305187546825]",3,1500
push,large,ee_direction_3d,11,123,0.8122006912147952,0.02580907291742515,0.9996081149485041,8.461651849802349e-05,0.0001,0.8,"[0.7758087546546453, 0.8516219616308935, 0.8279130803189869, 0.7989810406167768, 0.806678618852674]","[0.9995745915815601, 0.9995438011211808, 0.9997260792386263, 0.9996886647764093, 0.999507438024744]",3,1500
push,large,ee_direction_3d,12,123,0.8158261838913352,0.020422973701925223,0.9986278862146744,0.0016399756916062997,0.0001,0.8,"[0.7952720168118926, 0.8442270674290393, 0.8364334703417095, 0.7979297200454891, 0.805268644828546]","[0.9954268942248693, 0.9995324232459136, 0.9996715736700398, 0.9997587834312058, 0.998749756501343]",3,1500
push,large,ee_direction_3d,13,123,0.816457730719339,0.016249331357739115,0.9989780377953164,0.0006757365159586219,0.0001,0.8,"[0.8006027165704432, 0.8418589439173021, 0.8294644701975222, 0.8049489337586474, 0.8054135891527796]","[0.998239228971438, 0.999616500099288, 0.9991029113902651, 0.9997762470826778, 0.998155301432913]",3,1500
push,large,ee_direction_3d,14,123,0.8080614673659682,0.021901830566186994,0.9991422306041692,0.001161744934261394,0.0001,0.8,"[0.7886882344727354, 0.8407906671361884, 0.8277806785186083, 0.7943608883165243, 0.7886868683857847]","[0.9968242430492782, 0.9996639458939851, 0.9998639990453158, 0.9996306235522681, 0.9997283414799981]",3,1500
push,large,ee_direction_3d,15,123,0.7997966462126171,0.025097755355885643,0.9997457829506446,0.00011716275604417922,0.0001,0.8,"[0.7767988015690526, 0.8381737660516817, 0.8190141139114314, 0.7919852147337891, 0.7730113347971308]","[0.9996960476008894, 0.9997985627421744, 0.9998333474336769, 0.999861108059451, 0.9995398489170314]",3,1500
push,large,ee_direction_3d,16,123,0.8026508998238132,0.02149627402496761,0.9995820828950294,0.00031159676259196503,0.0001,0.8,"[0.7818580269409545, 0.8361019961362972, 0.8188793566619693, 0.7944744017079679, 0.7819407176718772]","[0.999800237644262, 0.9992412947463916, 0.9998668848679758, 0.999838247157928, 0.9991637500585897]",3,1500
push,large,ee_direction_3d,17,123,0.7988584554529531,0.019296426493561166,0.9998732074246064,3.2555403634301864e-06,0.0001,0.8,"[0.7807114209250475, 0.831854843097291, 0.8095448525950697, 0.7847776517532482, 0.7874035088941089]","[0.99987531460743, 0.9998668264504907, 0.9998753380074279, 0.9998749859979854, 0.999873572059697]",3,1500
push,large,ee_direction_3d,18,123,0.8005737041531426,0.02129265869618904,0.9981677956088941,0.003433571116057087,0.0001,0.8,"[0.7734298842769515, 0.836494673230352, 0.809542638662963, 0.790731109548374, 0.7926702150470728]","[0.9913006570744883, 0.999877785606563, 0.999885932753717, 0.999887883104816, 0.9998867195048861]",3,1500
push,large,ee_direction_3d,19,123,0.8038742584561589,0.01714775022608832,0.999601883561858,0.0004912208120292604,0.0001,0.8,"[0.8012390732065754, 0.8340667481610577, 0.8072661522038788, 0.7939343081827206, 0.7828650105265621]","[0.9998794990759027, 0.9997630118312498, 0.9998557479603645, 0.9998877015154091, 0.9986234574263645]",3,1500
push,large,ee_direction_3d,20,123,0.8058057375408636,0.01763765287380741,0.9994896392271142,0.0005712689732338172,0.0001,0.8,"[0.8020396823375724, 0.8369573679508581, 0.8085034828662854, 0.7982154472337213, 0.7833127073158812]","[0.999783631881768, 0.9983720382163377, 0.9998805440900085, 0.9998638749980289, 0.9995481069494278]",3,1500
push,large,ee_direction_3d,21,123,0.8117215081626602,0.013953103625526507,0.9981427811491166,0.0015742127827510371,0.0001,0.8,"[0.8063626359818525, 0.8347731362214019, 0.8198968044774733, 0.8012305236906023, 0.7963444404419715]","[0.9963842769488713, 0.9963407242107517, 0.9998504681819661, 0.9999113039955575, 0.9982271324084359]",3,1500
push,large,ee_direction_3d,22,123,0.8112180951081248,0.020658752909555406,0.9996203936629385,0.00012299459810344968,0.0001,0.8,"[0.8027828318875504, 0.8463673131458639, 0.8188732451192439, 0.8034696478116655, 0.7845974375763004]","[0.9997621932772565, 0.9994631286026049, 0.9994888444755782, 0.9997305553523682, 0.9996572466068849]",3,1500
push,large,ee_direction_3d,23,123,0.8104543086760716,0.0199669100750152,0.9991981092669195,0.0008098316761949505,0.0001,0.8,"[0.8082724248286897, 0.8407796707615706, 0.8231011917819443, 0.7962691539862439, 0.7838491020219093]","[0.9983441368629901, 0.9998223680255499, 0.9998415004589849, 0.9980800482176712, 0.9999024927694025]",3,1500
