task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_direction_3d,0,123,0.6034490113342693,0.03967413746550899,0.9994311969373264,0.0008879092174647568,0.0001,0.8,"[0.5922568251519924, 0.6540101689641304, 0.557222400610587, 0.6457884791199058, 0.5679671828247308]","[0.9998756668692201, 0.9976554002232668, 0.9998669740208298, 0.999878743337637, 0.9998792002356783]",3,1500
push,large,ee_direction_3d,1,123,0.5940467865987291,0.05641772356738423,0.9978113270916461,0.0040587712223776155,0.0001,0.8,"[0.5751859046600305, 0.6651501084244416, 0.5483072211302447, 0.6555646742407211, 0.526026024538208]","[0.9998387976222926, 0.9998428687809993, 0.9998296608411843, 0.9998515113921598, 0.989693796821595]",3,1500
push,large,ee_direction_3d,2,123,0.6443130273398184,0.04032038118512813,0.9997863517378034,0.0002116125553602723,0.0001,0.8,"[0.6296846846928095, 0.6990486263661784, 0.6162897873494739, 0.6833286365900717, 0.5932134017005584]","[0.9998933632420502, 0.9993631925219556, 0.9998909888283583, 0.9998978902915734, 0.9998863238050799]",3,1500
push,large,ee_direction_3d,3,123,0.6609752759438933,0.038702274406421364,0.99986741418789,5.53304374383767e-06,0.0001,0.8,"[0.6674016781745604, 0.7032433811045151, 0.6234244758002214, 0.7011706877212951, 0.609636156918874]","[0.9998730541545717, 0.9998664517099102, 0.999861922549054, 0.9998745237908384, 0.9998611187350759]",3,1500
push,large,ee_direction_3d,4,123,0.6722140403007222,0.03678155680849509,0.999542441111978,0.0006274905678585907,0.0001,0.8,"[0.6638988854425418, 0.7219935220094488, 0.648135705474542, 0.7052725319233557, 0.6217695566537225]","[0.9998571216346079, 0.9982874651900435, 0.9998526985640914, 0.9998576521234087, 0.9998572680477387]",3,1500
push,large,ee_direction_3d,5,123,0.6809281566108896,0.03565844189362676,0.9984816944988706,0.0026707750557458006,0.0001,0.8,"[0.6679085460025198, 0.7330361553310425, 0.6417332811482256, 0.7120991176518524, 0.6498636829208078]","[0.9931401608510402, 0.999818595135388, 0.9998049936147073, 0.9998251623086338, 0.9998195605845834]",3,1500
push,large,ee_direction_3d,6,123,0.7047684478252618,0.027278906659350097,0.9992008297008175,0.0009571719006547291,0.0001,0.8,"[0.7001242040967777, 0.745860914853532, 0.6896725922307723, 0.7219731466427144, 0.6662113813025127]","[0.9998437689637133, 0.9994279382869888, 0.9995750999282612, 0.9998439174942934, 0.9973134238308307]",3,1500
push,large,ee_direction_3d,7,123,0.6989551480411993,0.026482824103862296,0.9977185012229548,0.004022094657972262,0.0001,0.8,"[0.698909387627507, 0.717018389688699, 0.6982632447067774, 0.7292143998573188, 0.6513703183256944]","[0.9998457517024629, 0.9896823281766768, 0.9998397378335374, 0.9993799349211872, 0.9998447534809087]",3,1500
push,large,ee_direction_3d,8,123,0.7190897260097439,0.023946397298684943,0.9998034904492368,4.364860940020998e-06,0.0001,0.8,"[0.7204358448801951, 0.7499525745409683, 0.7088856882603345, 0.7360746816753749, 0.6800998406918461]","[0.99980090134316, 0.9998055294929509, 0.9998018296343465, 0.9997983031702324, 0.9998108886054946]",3,1500
push,large,ee_direction_3d,9,123,0.7274832127098158,0.02636639668051489,0.9993787914058962,0.0004052257985031025,0.0001,0.8,"[0.7175781763034373, 0.7678865777799606, 0.7242971350225129, 0.7399255746934476, 0.6877285997497202]","[0.9997814160902807, 0.9987519045501688, 0.999077300186575, 0.9995059465051622, 0.9997773896972947]",3,1500
push,large,ee_direction_3d,10,123,0.7228061232614337,0.02613671482542269,0.999555226642096,0.00023937009792078713,0.0001,0.8,"[0.6993203098278216, 0.7580776945226523, 0.7275142809577659, 0.7415941499076786, 0.6875241810912505]","[0.9994213355667025, 0.9997986217942553, 0.9991769807939355, 0.9998123599146053, 0.9995668351409817]",3,1500
push,large,ee_direction_3d,11,123,0.72733760500416,0.024303925091102043,0.998511711382112,0.001165718349725538,0.0001,0.8,"[0.7010112956971656, 0.7566166032887984, 0.738820856521716, 0.7442754447976678, 0.6959638247154523]","[0.9968032759640344, 0.9994542036297385, 0.9994892363022942, 0.9994082963728452, 0.9974035446416479]",3,1500
push,large,ee_direction_3d,12,123,0.728559984365068,0.023034123973656177,0.9994927112499671,0.00034253144590407926,0.0001,0.8,"[0.7140811366454294, 0.7618531602369051, 0.7366610395896602, 0.7363970774646851, 0.69380750788866]","[0.9988102823297402, 0.999677448310519, 0.9996144005788512, 0.9997062536597919, 0.9996551713709331]",3,1500
push,large,ee_direction_3d,13,123,0.7342454568803989,0.024788885566352472,0.9996477930053199,0.0001771855943336282,0.0001,0.8,"[0.7178566770773517, 0.7683606268256531, 0.7381349199799262, 0.7498122988404649, 0.6970627616785985]","[0.9998064107559417, 0.9997381604277138, 0.9995591210710387, 0.9997945008093078, 0.9993407719625976]",3,1500
push,large,ee_direction_3d,14,123,0.7283564324927474,0.030644820905186408,0.9993775872016555,0.0007630707227531027,0.0001,0.8,"[0.7137440876651062, 0.7689825438559694, 0.7275761140833801, 0.7511836877964297, 0.6802957290628511]","[0.9997382415420695, 0.999780748455216, 0.9978517067574719, 0.9997653850565094, 0.99975185419701]",3,1500
push,large,ee_direction_3d,15,123,0.7220138118055999,0.029197786505329587,0.9993175908027911,0.0005861998069609917,0.0001,0.8,"[0.6975544095747614, 0.7587528869472563, 0.7195935918560803, 0.7507000771543444, 0.6834680934955569]","[0.9997925931604571, 0.9992783066417487, 0.9997854870926178, 0.9995229722977581, 0.9982085948213737]",3,1500
push,large,ee_direction_3d,16,123,0.720770828513305,0.025846212933063935,0.9989673469299266,0.0013035308901344137,0.0001,0.8,"[0.7084280053875496, 0.7547705222777229, 0.7062258142791444, 0.747172891451044, 0.6872569091710636]","[0.9994921427609116, 0.9993503745743507, 0.9963846241672929, 0.9997855301875044, 0.9998240629595735]",3,1500
push,large,ee_direction_3d,17,123,0.7261829127705647,0.026585349500517705,0.9998146372864747,9.240668918402593e-06,0.0001,0.8,"[0.7282474689482215, 0.75718307130099, 0.7128966879394223, 0.7494336264774475, 0.6831537091867417]","[0.9998146552503899, 0.9998140276115242, 0.9998123075176024, 0.9998016605329028, 0.9998305355199547]",3,1500
push,large,ee_direction_3d,18,123,0.7263168686591959,0.022962899889139656,0.9998223911965244,7.656231805355283e-06,0.0001,0.8,"[0.7267658655293034, 0.7496033550869897, 0.7137961102309522, 0.7513228806682481, 0.6900961317804857]","[0.9998213326011839, 0.9998165494596185, 0.9998205240945536, 0.9998163844638838, 0.9998371653633817]",3,1500
push,large,ee_direction_3d,19,123,0.7271303554965262,0.02642217249223914,0.9998357963598579,7.228637942785691e-06,0.0001,0.8,"[0.7215560929370087, 0.7513519708079828, 0.7175237214877741, 0.7596217660771705, 0.6855982261726948]","[0.9998341451067817, 0.9998354806368963, 0.9998313184552393, 0.9998285876007889, 0.9998494499995829]",3,1500
push,large,ee_direction_3d,20,123,0.7259053504135794,0.024511432506478782,0.9994275285517252,0.000507183210257865,0.0001,0.8,"[0.7311250795844749, 0.7505999156290375, 0.7118269011042896, 0.7499514292218261, 0.6860234265282694]","[0.9994846441890729, 0.9998374540747224, 0.9995018243052313, 0.9984630192530842, 0.9998507009365157]",3,1500
push,large,ee_direction_3d,21,123,0.7358049191208691,0.022174412438060575,0.9993612727344241,0.0006612206886839399,0.0001,0.8,"[0.7338782613809827, 0.7609935779477631, 0.7317166290684386, 0.754676916166098, 0.6977592110410631]","[0.9998618836665268, 0.9998498983404875, 0.9980892598030728, 0.9993635574341511, 0.9996417644278822]",3,1500
push,large,ee_direction_3d,22,123,0.7369030065415731,0.025546011583529402,0.998260828785696,0.001854367318096131,0.0001,0.8,"[0.7383381007653088, 0.7653210154666821, 0.7195373084502777, 0.7628603575646379, 0.6984582504609592]","[0.9995091940852384, 0.9998343293659218, 0.9979482565535058, 0.9947798517921187, 0.9992325121316951]",3,1500
push,large,ee_direction_3d,23,123,0.7303675901461648,0.02586521143809867,0.9984782974474562,0.0009604022039145756,0.0001,0.8,"[0.7266812407421257, 0.7664204951905293, 0.721071453940507, 0.747807407649019, 0.6898573532086434]","[0.9996684936282488, 0.9995469836962485, 0.9981211319322801, 0.9977696928888624, 0.9972851850916414]",3,1500
