task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,ee_direction,0,0.06584748458444996,0.08921004582648774,0.0001,0.8,1,1500
push,large,ee_direction,1,0.18812646464630084,0.07137217454915806,0.0001,0.8,1,1500
push,large,ee_direction,2,0.20132705348127972,0.06002845601460066,0.0001,0.8,1,1500
push,large,ee_direction,3,0.28225877220938556,0.06337786228356211,0.0001,0.8,1,1500
push,large,ee_direction,4,0.2903151850134705,0.0626014469147822,0.0001,0.8,1,1500
push,large,ee_direction,5,0.319671824627886,0.05848695488470104,0.0001,0.8,1,1500
push,large,ee_direction,6,0.3182079855458002,0.0611822785729587,0.0001,0.8,1,1500
push,large,ee_direction,7,0.35101377690471375,0.06345191713528575,0.0001,0.8,1,1500
push,large,ee_direction,8,0.3816481543637473,0.07254877476310637,0.0001,0.8,1,1500
push,large,ee_direction,9,0.3916621592134762,0.06608255710512136,0.0001,0.8,1,1500
push,large,ee_direction,10,0.39995542838214765,0.04354609551938052,0.0001,0.8,1,1500
push,large,ee_direction,11,0.42271459921535737,0.07057327369001022,0.0001,0.8,1,1500
push,large,ee_direction,12,0.4231335438540313,0.07484251590254189,0.0001,0.8,1,1500
push,large,ee_direction,13,0.4188863081181652,0.07362464751260027,0.0001,0.8,1,1500
push,large,ee_direction,14,0.4006647162660971,0.06585971790154307,0.0001,0.8,1,1500
push,large,ee_direction,15,0.4156211854868097,0.06180298504710495,0.0001,0.8,1,1500
push,large,ee_direction,16,0.4074031520648518,0.06379336245542702,0.0001,0.8,1,1500
push,large,ee_direction,17,0.40258832235876224,0.06856371849769465,0.0001,0.8,1,1500
push,large,ee_direction,18,0.4182635867310617,0.06888658724976413,0.0001,0.8,1,1500
push,large,ee_direction,19,0.41529394689291443,0.05143550817392075,0.0001,0.8,1,1500
push,large,ee_direction,20,0.4141673102168001,0.05307604240645039,0.0001,0.8,1,1500
push,large,ee_direction,21,0.4243221370698155,0.07247289232573623,0.0001,0.8,1,1500
push,large,ee_direction,22,0.43348710589081196,0.06772835561185078,0.0001,0.8,1,1500
push,large,ee_direction,23,0.4382693673751941,0.07667635420342014,0.0001,0.8,1,1500
