task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,ee_pos,0,0.9440112396790659,0.007209483050717437,0.0001,0.8,3,1500
push,large,ee_pos,1,0.930199941453324,0.010027239365669753,0.0001,0.8,3,1500
push,large,ee_pos,2,0.9349012148610892,0.007886386747480196,0.0001,0.8,3,1500
push,large,ee_pos,3,0.9456701118515929,0.007742646258737003,0.0001,0.8,3,1500
push,large,ee_pos,4,0.9446089688175332,0.00505345529908925,0.0001,0.8,3,1500
push,large,ee_pos,5,0.9498806718508697,0.0038167718439804025,0.0001,0.8,3,1500
push,large,ee_pos,6,0.9517432107641097,0.0051113569290312,0.0001,0.8,3,1500
push,large,ee_pos,7,0.9543430039345052,0.005750777267437953,0.0001,0.8,3,1500
push,large,ee_pos,8,0.959263864399165,0.0035696913838599307,0.0001,0.8,3,1500
push,large,ee_pos,9,0.9597448781006153,0.003856066371482565,0.0001,0.8,3,1500
push,large,ee_pos,10,0.9609963559984521,0.0025235308585756333,0.0001,0.8,3,1500
push,large,ee_pos,11,0.96192603643829,0.0037817067157551723,0.0001,0.8,3,1500
push,large,ee_pos,12,0.9625371629696089,0.004216347853331594,0.0001,0.8,3,1500
push,large,ee_pos,13,0.9588850868600766,0.004200147383786898,0.0001,0.8,3,1500
push,large,ee_pos,14,0.9588223554471,0.003538482582773483,0.0001,0.8,3,1500
push,large,ee_pos,15,0.9559048083042407,0.0024387603133954054,0.0001,0.8,3,1500
push,large,ee_pos,16,0.955492994504765,0.0034410102983969434,0.0001,0.8,3,1500
push,large,ee_pos,17,0.9512332128634405,0.0033736029473105406,0.0001,0.8,3,1500
push,large,ee_pos,18,0.9507264753009238,0.004809115470422676,0.0001,0.8,3,1500
push,large,ee_pos,19,0.9495581086597197,0.003955247283265442,0.0001,0.8,3,1500
push,large,ee_pos,20,0.9480454133930885,0.00439916487061288,0.0001,0.8,3,1500
push,large,ee_pos,21,0.9472487993447146,0.00525685463208842,0.0001,0.8,3,1500
push,large,ee_pos,22,0.948559274516333,0.008520817936276067,0.0001,0.8,3,1500
push,large,ee_pos,23,0.9508328309436189,0.005489575123402136,0.0001,0.8,3,1500
