task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_speed,0,2024,0.7127882439917661,0.06246984127803173,0.9936745705077312,0.007769719423549451,0.0003,0.8,"[0.6313072652527465, 0.724492052707189, 0.6742363719829139, 0.8188297290796074, 0.7150758009363736]","[0.9860238369063542, 0.9999824170551731, 0.9999759335558066, 0.9998993439003083, 0.9824913211210141]",1,1500
push,large,ee_speed,1,2024,0.8371910815625299,0.030604512504182058,0.999977743612833,1.0978312326922215e-06,0.0001,0.8,"[0.8003873879314801, 0.8314558204971046, 0.8116401962132384, 0.8839799205834051, 0.8584920825874208]","[0.9999758373231454, 0.9999771822870961, 0.9999783888129421, 0.9999786434593669, 0.9999786661816142]",1,1500
push,large,ee_speed,2,2024,0.8427881581740879,0.019499765158611772,0.9987815541651957,0.002405072953626572,0.0003,0.8,"[0.8303806541608886, 0.8498643939509869, 0.8182142448443421, 0.8757150052561943, 0.839766492658027]","[0.9999841974810089, 0.9999854254869177, 0.9999813540600353, 0.9939714091690591, 0.9999853846289574]",1,1500
push,large,ee_speed,3,2024,0.8817878748204123,0.01316407604764009,0.999961998410585,5.448835242330722e-05,0.0001,0.8,"[0.8787376550494764, 0.8912507325251305, 0.860806669949371, 0.8995907714392198, 0.8785535451388631]","[0.9999902387173332, 0.9998530311881509, 0.9999881035159808, 0.9999889320549608, 0.9999896865764998]",1,1500
push,large,ee_speed,4,2024,0.8926497234541857,0.009109438945599473,0.9989391824630312,0.0021061774431620694,0.0001,0.8,"[0.8807305660579066, 0.9040411318457378, 0.8893387877351185, 0.9024668137798217, 0.886671317852344]","[0.9999920097259157, 0.9999925403048419, 0.9999921499167463, 0.9947268275926977, 0.9999923847749547]",1,1500
push,large,ee_speed,5,2024,0.9075087230673239,0.011931459397975627,0.9955896262134584,0.008802630691867585,0.0001,0.8,"[0.8875162197305598, 0.9205918841373506, 0.9148563934696715, 0.9138791340030431, 0.900699983995994]","[0.9999910001810293, 0.9999909170562242, 0.9999909820018422, 0.9779843648299783, 0.9999908669982174]",1,1500
push,large,ee_speed,6,2024,0.9057784853893265,0.006323674862131333,0.9988997515975269,0.0021808751028458647,0.0001,0.8,"[0.895890344867469, 0.9122979238014427, 0.906813340823672, 0.9122308402466952, 0.9016599772073536]","[0.9999901937879019, 0.9999910212600469, 0.9999899369667213, 0.9945380014925161, 0.999989604480448]",1,1500
push,large,ee_speed,7,2024,0.9152110514825577,0.00906884131154951,0.9999894433175541,1.2455636241325994e-06,0.0001,0.8,"[0.9010157789790714, 0.9178439261317415, 0.915223606989526, 0.9292346706304172, 0.9127372746820321]","[0.9999894918088906, 0.9999905342892792, 0.9999881763057965, 0.9999910804831225, 0.9999879337006815]",1,1500
push,large,ee_speed,8,2024,0.9274907694634653,0.006142892509378496,0.9997961968171646,0.00022117798589099452,0.0001,0.8,"[0.9224318188115698, 0.9298909387537648, 0.9246674302282225, 0.9384270655739915, 0.9220365939497777]","[0.9999253449370289, 0.9998956166524057, 0.9998561574501457, 0.9993579807276421, 0.9999458843186011]",1,1500
push,large,ee_speed,9,2024,0.9224225408214387,0.010747620060390466,0.9999886375040609,1.0937447728698291e-06,0.0001,0.8,"[0.9176233950972017, 0.9177648744403187, 0.931326609400592, 0.9377554033617291, 0.9076424218073524]","[0.999989207816348, 0.9999898900038345, 0.99998784160113, 0.9999893337279028, 0.9999869143710888]",1,1500
push,large,ee_speed,10,2024,0.9252709436610325,0.009128832401827214,0.9982951307656615,0.0033705749924132842,0.0001,0.8,"[0.9127820823926471, 0.9332865905279436, 0.9301289577375914, 0.934373201387495, 0.9157838862594847]","[0.9999796576265768, 0.9999826947884066, 0.9999798825562415, 0.9915539811967697, 0.9999794376603123]",1,1500
push,large,ee_speed,11,2024,0.9320294794673798,0.009426026603328674,0.9999810661640727,1.8264253169974113e-06,0.0001,0.8,"[0.923215873965162, 0.9401209093998563, 0.9406940025149888, 0.9379194569279826, 0.9181971545289089]","[0.9999804401906786, 0.9999846348066368, 0.9999807465553735, 0.9999796849132696, 0.999979824354405]",1,1500
push,large,ee_speed,12,2024,0.9300413265745334,0.013163861453920836,0.9999762206637289,2.9303355349370273e-06,0.0001,0.8,"[0.9079272782879195, 0.9382907715183966, 0.9341030950408821, 0.9460063333829247, 0.9238791546425448]","[0.9999723118585129, 0.9999807976182382, 0.9999777669551685, 0.99997414799791, 0.9999760788888149]",1,1500
push,large,ee_speed,13,2024,0.9270350890046144,0.010329461430239075,0.9999870165794288,9.811638032193035e-07,0.0001,0.8,"[0.9183542033313863, 0.9279634017982962, 0.9349552006244046, 0.9409963743477133, 0.9129062649212716]","[0.9999868204185739, 0.9999887038748863, 0.9999869539068837, 0.9999856301180715, 0.9999869745787283]",1,1500
push,large,ee_speed,14,2024,0.9255357058233544,0.009527494795225917,0.9999877039131277,6.130124607319797e-06,0.0001,0.8,"[0.9079618741281117, 0.9303602229805611, 0.9319556728730932, 0.9342005596726836, 0.9232001994623228]","[0.9999913291427845, 0.9999754661947489, 0.999990749513758, 0.9999908169725641, 0.9999901577417827]",1,1500
push,large,ee_speed,15,2024,0.9236058856628968,0.012182942284686304,0.99998990107001,1.2723745551270808e-06,0.0001,0.8,"[0.9010963681027021, 0.930651953488836, 0.9299527209839943, 0.9353737806935927, 0.920954605045359]","[0.9999907397519383, 0.9999911530006925, 0.9999904362067815, 0.9999896105250008, 0.9999875658656366]",1,1500
push,large,ee_speed,16,2024,0.9245456283287762,0.009142832014573247,0.9991379341600382,0.0010393717433554539,0.0001,0.8,"[0.9105995872752448, 0.9359738605932492, 0.9330566812111206, 0.922658696312973, 0.9204393162512938]","[0.9999923798949064, 0.9996756969389915, 0.9999914345823667, 0.9972627052837396, 0.9987674541001865]",1,1500
push,large,ee_speed,17,2024,0.9170374811341906,0.00462078147093334,0.9990977339735891,0.0015376377813670797,0.0001,0.8,"[0.9084761246739316, 0.9190923244740472, 0.9207550424294249, 0.916030966283126, 0.9208329478104236]","[0.9999924342492035, 0.999463989618419, 0.9960497402299008, 0.9999912681796735, 0.9999912375907486]",1,1500
push,large,ee_speed,18,2024,0.9203186210348429,0.005778185007030491,0.9999421881199613,9.576895230711203e-05,0.0001,0.8,"[0.9160314535896893, 0.9250546947099725, 0.9263825276813891, 0.9112249386172403, 0.9228994905759236]","[0.9999934841006368, 0.9997507738306012, 0.9999925172072079, 0.9999905239629459, 0.9999836414984147]",1,1500
push,large,ee_speed,19,2024,0.9165297842028893,0.011627033352629759,0.9968274340311865,0.0063056884218012236,0.0001,0.8,"[0.8996930766049327, 0.9310724927966874, 0.9063702132763628, 0.9230820253958951, 0.9224311129405688]","[0.9999517484125147, 0.9999903685924728, 0.9842160918972955, 0.999991626297914, 0.9999873349557353]",1,1500
push,large,ee_speed,20,2024,0.9142467674977649,0.007267399315338069,0.9991451546992369,0.0016774000958992966,0.0001,0.8,"[0.9006256273029689, 0.9166928865546958, 0.920603980709238, 0.9198600987867075, 0.9134512441352144]","[0.9999901923503293, 0.9957904589582378, 0.9999915417997365, 0.9999583925557833, 0.9999951878320978]",1,1500
push,large,ee_speed,21,2024,0.9154719930195929,0.005407404572264025,0.9992892709700569,0.0014068560397880257,0.0001,0.8,"[0.9100656944817223, 0.9107453966133715, 0.925077615500311, 0.9146810316490094, 0.9167902268535504]","[0.9999930686389759, 0.9964755630861608, 0.9999882278077574, 0.9999954517086347, 0.999994043608756]",1,1500
push,large,ee_speed,22,2024,0.9154734365292818,0.008573407693305706,0.9979823896113913,0.003797740574065422,0.0001,0.8,"[0.9023495881481678, 0.925830889432364, 0.9148809308764679, 0.9235564876075457, 0.9107492865818635]","[0.99992645384618, 0.9997124036925895, 0.9903892080146038, 0.9999955175749247, 0.999888364928659]",1,1500
push,large,ee_speed,23,2024,0.914730478707462,0.009079925263302053,0.999994832488672,2.9241247713711573e-07,0.0001,0.8,"[0.8974150505939467, 0.9223715305245843, 0.9170524675096833, 0.9216926317801954, 0.9151207131289011]","[0.9999950494880547, 0.9999952561103463, 0.9999947651032748, 0.9999944191016107, 0.9999946726400729]",1,1500
