task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,object_direction_sincos,0,-0.22022200963033875,0.05884641416466225,0.0001,0.8,2,1500
push,large,object_direction_sincos,1,-0.10079618068469003,0.04643111664348578,0.0001,0.8,2,1500
push,large,object_direction_sincos,2,-0.0556288202838386,0.051873715871408946,0.0001,0.8,2,1500
push,large,object_direction_sincos,3,-0.007945154950611766,0.04541826534494205,0.0001,0.8,2,1500
push,large,object_direction_sincos,4,-0.011131537055078878,0.05992657599376111,0.0001,0.8,2,1500
push,large,object_direction_sincos,5,0.0075888794760682774,0.05193300426521498,0.0001,0.8,2,1500
push,large,object_direction_sincos,6,0.023303696338745673,0.05200599403342947,0.0001,0.8,2,1500
push,large,object_direction_sincos,7,0.04180025337091484,0.0446847112438116,0.0001,0.8,2,1500
push,large,object_direction_sincos,8,0.048253576789112886,0.041324302605713306,0.0001,0.8,2,1500
push,large,object_direction_sincos,9,0.048524108984570935,0.04829964910291433,0.0001,0.8,2,1500
push,large,object_direction_sincos,10,0.05214878962558147,0.04646478915662847,0.0001,0.8,2,1500
push,large,object_direction_sincos,11,0.062167222992914814,0.03412649456896186,0.0001,0.8,2,1500
push,large,object_direction_sincos,12,0.06606373978417313,0.02834901171135136,0.0001,0.8,2,1500
push,large,object_direction_sincos,13,0.03694432676616832,0.036365936620399,0.0001,0.8,2,1500
push,large,object_direction_sincos,14,0.04977000150849111,0.023159741076195235,0.0001,0.8,2,1500
push,large,object_direction_sincos,15,0.0404153048942433,0.02990900435639866,0.0001,0.8,2,1500
push,large,object_direction_sincos,16,0.04716514766408353,0.038031615355610365,0.0001,0.8,2,1500
push,large,object_direction_sincos,17,0.04958031780454224,0.03530105780532675,0.0001,0.8,2,1500
push,large,object_direction_sincos,18,0.04974602847015983,0.03120552534433653,0.0001,0.8,2,1500
push,large,object_direction_sincos,19,0.044360427185199794,0.04338031276057493,0.0001,0.8,2,1500
push,large,object_direction_sincos,20,0.051379319548154403,0.047647443502038034,0.0001,0.8,2,1500
push,large,object_direction_sincos,21,0.06073960001439729,0.04199921890905629,0.0001,0.8,2,1500
push,large,object_direction_sincos,22,0.05932466422969198,0.04608510469024356,0.0001,0.8,2,1500
push,large,object_direction_sincos,23,0.08406010881753101,0.0405851419028335,0.0001,0.8,2,1500
