task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,object_pos,0,0.37217884364663156,0.040567696923781336,0.003,0.01,3,1500
push,large,object_pos,1,0.3624711696074353,0.04777620493062248,0.003,0.01,3,1500
push,large,object_pos,2,0.4536511360761918,0.03860167981246777,0.003,0.01,3,1500
push,large,object_pos,3,0.4373742384173984,0.03792638990517612,0.003,0.01,3,1500
push,large,object_pos,4,0.5088560152690662,0.028804685635653995,0.003,0.01,3,1500
push,large,object_pos,5,0.5151767558202189,0.02857057563745016,0.003,0.01,3,1500
push,large,object_pos,6,0.4968524120480147,0.029437093829971266,0.003,0.01,3,1500
push,large,object_pos,7,0.49387230333139776,0.0270636590833312,0.003,0.01,3,1500
push,large,object_pos,8,0.41708786659254793,0.009989200616361953,0.003,0.01,3,1500
push,large,object_pos,9,0.4183360839421663,0.023009447078811914,0.003,0.01,3,1500
push,large,object_pos,10,0.4545487021548011,0.026489284948276258,0.003,0.01,3,1500
push,large,object_pos,11,0.4117141340825604,0.02208483970570857,0.003,0.01,3,1500
push,large,object_pos,12,0.4011154120913461,0.006092146707311668,0.003,0.01,3,1500
push,large,object_pos,13,0.38625902352718844,0.02176390738581064,0.003,0.01,3,1500
push,large,object_pos,14,0.33832374566216455,0.01656686624940854,0.003,0.01,3,1500
push,large,object_pos,15,0.3389366159568257,0.02776235951165234,0.003,0.01,3,1500
push,large,object_pos,16,0.29992229889166966,0.03624625916703252,0.003,0.01,3,1500
push,large,object_pos,17,0.29627291832464975,0.022941041681033753,0.003,0.01,3,1500
push,large,object_pos,18,0.2764161054965114,0.03371275446735421,0.003,0.01,3,1500
push,large,object_pos,19,0.2487102970947208,0.020478523201253904,0.003,0.01,3,1500
push,large,object_pos,20,0.19197720531648615,0.024503636347611164,0.003,0.01,3,1500
push,large,object_pos,21,0.13520468134211178,0.012201266921697132,0.003,0.01,3,1500
push,large,object_pos,22,0.07683646944532882,0.01983307961370473,0.003,0.01,3,1500
push,large,object_pos,23,0.046357087214060066,0.021818731140530283,0.003,0.01,3,1500
