task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
reach,large,ee_direction_sincos,0,0.302298001492968,0.10872939044077139,0.0001,0.8,2,600
reach,large,ee_direction_sincos,1,0.2883954046552669,0.11943506535750503,0.0001,0.8,2,600
reach,large,ee_direction_sincos,2,0.27354039735241764,0.13925676312495866,0.0001,0.8,2,600
reach,large,ee_direction_sincos,3,0.28860819020904743,0.11907359132421073,0.0001,0.8,2,600
reach,large,ee_direction_sincos,4,0.2918923591975351,0.09214451207588098,0.0001,0.8,2,600
reach,large,ee_direction_sincos,5,0.3494801048125896,0.0799063765304022,0.0001,0.8,2,600
reach,large,ee_direction_sincos,6,0.3392086809941158,0.08145728417478584,0.0001,0.8,2,600
reach,large,ee_direction_sincos,7,0.3341016561629314,0.0936133412647267,0.0001,0.8,2,600
reach,large,ee_direction_sincos,8,0.3532343171965781,0.08009931664101438,0.0001,0.8,2,600
reach,large,ee_direction_sincos,9,0.3699935042447196,0.07091947735265763,0.0001,0.8,2,600
reach,large,ee_direction_sincos,10,0.38327886746648654,0.08198906133106153,0.0003,0.8,2,600
reach,large,ee_direction_sincos,11,0.38523825376364323,0.06258412910228936,0.0001,0.8,2,600
reach,large,ee_direction_sincos,12,0.37909069801931145,0.04673978011176179,0.0003,0.8,2,600
reach,large,ee_direction_sincos,13,0.3844914268260027,0.04281274936179351,0.0001,0.8,2,600
reach,large,ee_direction_sincos,14,0.3559296388753836,0.0518907314661273,0.0001,0.8,2,600
reach,large,ee_direction_sincos,15,0.3591126913629874,0.026092427452344077,0.0001,0.8,2,600
reach,large,ee_direction_sincos,16,0.3268360773558644,0.036620252582517485,0.0001,0.8,2,600
reach,large,ee_direction_sincos,17,0.37679858415507755,0.04514687120802829,0.0001,0.8,2,600
reach,large,ee_direction_sincos,18,0.3630134415262735,0.045493388184486935,0.0003,0.8,2,600
reach,large,ee_direction_sincos,19,0.37514504260294257,0.03147464333274374,0.0001,0.8,2,600
reach,large,ee_direction_sincos,20,0.3961217488043516,0.034387830156574255,0.0003,0.8,2,600
reach,large,ee_direction_sincos,21,0.39305519191565785,0.031069629905145283,0.0003,0.8,2,600
reach,large,ee_direction_sincos,22,0.3913612720714849,0.021449435301418483,0.0003,0.8,2,600
reach,large,ee_direction_sincos,23,0.3951196097018646,0.031175575870004208,0.0001,0.8,2,600
