task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
strike,large,ee_direction_3d,0,42,0.6069375670672508,0.020925118235857264,0.9846049544409958,0.02715528740221553,0.0001,0.8,"[0.5744709810051072, 0.6388868648315957, 0.6144545774776734, 0.5993473192675919, 0.6075280927542858]","[0.9302945132334302, 0.9981370089345409, 0.9981173741325807, 0.9982912378213056, 0.9981846380831221]",3,3000
strike,large,ee_direction_3d,1,42,0.6044765647101137,0.019722691682893995,0.9840023297108725,0.01723586759248522,0.0001,0.8,"[0.5789696040969361, 0.635543092918835, 0.6166250499352228, 0.5991449920477301, 0.5921000845518443]","[0.9603853679021148, 0.9979764693089812, 0.9979330997569316, 0.998123019843631, 0.9655936917427038]",3,3000
strike,large,ee_direction_3d,2,42,0.6167784805934565,0.020705409393060654,0.986575604769191,0.014077702458860728,0.0001,0.8,"[0.5824764763587318, 0.6292648249570092, 0.6280425898110558, 0.6043273578057469, 0.6397811540347393]","[0.9655832169553619, 0.9736570496767023, 0.9977766460547294, 0.9979852323759809, 0.9978758787831803]",3,3000
strike,large,ee_direction_3d,3,42,0.6144826002661505,0.022225922128203002,0.9826933078538118,0.021040135565758594,0.0003,0.8,"[0.5862098448773079, 0.6512961281988043, 0.6246785900471069, 0.6008785256954614, 0.6093499125120719]","[0.94381217565379, 0.9976284418250744, 0.9975035663348689, 0.9976909722747231, 0.9768313831806029]",3,3000
strike,large,ee_direction_3d,4,42,0.6137113839913733,0.026456193493953874,0.9582858005394648,0.03792059268199614,0.0001,0.8,"[0.5905070276653017, 0.6465296870438001, 0.6352033747312827, 0.5764965551764349, 0.6198202753400464]","[0.9118693655330838, 0.9957471693241191, 0.9975084202516585, 0.9145553381242859, 0.971748709464177]",3,3000
strike,large,ee_direction_3d,5,42,0.6098227499498099,0.026077299749497115,0.9632058620041299,0.017238773033934732,0.0001,0.8,"[0.5924946292109734, 0.6504320920871891, 0.6144993809877686, 0.5730616625120941, 0.6186259849510245]","[0.9518205678019611, 0.997353802408778, 0.9566872061037875, 0.9578895071911315, 0.9522782265149914]",3,3000
strike,large,ee_direction_3d,6,42,0.6115970791435256,0.023163812579700443,0.9602061233033383,0.0250243285307688,0.0001,0.8,"[0.6007883548198292, 0.6497745103862231, 0.617327582082698, 0.5788017243427446, 0.6112932240861333]","[0.9225779700647071, 0.9973336939856468, 0.9748439458492352, 0.9564956311361476, 0.949779375480955]",3,3000
strike,large,ee_direction_3d,7,42,0.6122550852235167,0.02672244436997046,0.9665066431394729,0.02680322923566092,0.0001,0.8,"[0.5904744714630004, 0.651251722604085, 0.631469314163783, 0.5775696210873627, 0.610510296799352]","[0.9298424937301076, 0.997282905715288, 0.9972706921912637, 0.9588008373728316, 0.9493362866878738]",3,3000
strike,large,ee_direction_3d,8,42,0.613185999344702,0.02449851036438632,0.9599724395523541,0.031637750035767985,0.0001,0.8,"[0.5918604657910782, 0.6490926693300862, 0.630258919267146, 0.5821217883067831, 0.6125961540284162]","[0.9250689949411497, 0.9973357342721869, 0.997281262779929, 0.9298962453868941, 0.9502799603816104]",3,3000
strike,large,ee_direction_3d,9,42,0.6142624592639752,0.021776599947936463,0.9688896891526527,0.024763815614664175,0.0001,0.8,"[0.5913487861477951, 0.6533195277571718, 0.6173706514126587, 0.5967108266829956, 0.6125625043192547]","[0.9346667645217137, 0.9973442272054418, 0.9547100681018653, 0.997375045640101, 0.9603523402941414]",3,3000
