task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
strike,large,ee_speed,0,42,0.7708019972576541,0.04701935776127792,0.9848971434916326,0.014820312774021247,0.0001,0.8,"[0.7226903586608422, 0.8059018526521696, 0.717391964589702, 0.7690214062045473, 0.8390044041810096]","[0.9596029924314289, 0.9997123601234018, 0.9805879074731734, 0.9848410903186983, 0.9997413671114602]",1,3000
strike,large,ee_speed,1,42,0.7864870914670639,0.0336207022453159,0.9967865523979913,0.005920141896700275,0.0001,0.8,"[0.7594006256512376, 0.8120755726274552, 0.7489265842069117, 0.7736919155595451, 0.8383407592901699]","[0.9997344236459651, 0.9997465661883179, 0.9997501019719452, 0.9849462766399799, 0.9997553935437484]",1,3000
strike,large,ee_speed,2,42,0.8091755763018371,0.03187352829767543,0.9933260544411674,0.006207191987515911,0.0001,0.8,"[0.800994125121816, 0.8305129495244611, 0.7707413066581186, 0.7846616958571955, 0.8589678043475946]","[0.9974222862928435, 0.9995477800604832, 0.9885893450755827, 0.9834946351221747, 0.9975762256547531]",1,3000
strike,large,ee_speed,3,42,0.8125959692088902,0.03343323905924559,0.9985173425681305,0.002571822227555782,0.0003,0.8,"[0.784669043449576, 0.8270166121268463, 0.7675132452058502, 0.8212476605601872, 0.8625332847019911]","[0.9998013705943931, 0.9998525663041951, 0.9998280206110984, 0.9933743478997649, 0.999730407431201]",1,3000
strike,large,ee_speed,4,42,0.8169625150648395,0.02845574723030922,0.9946897637885475,0.005475841883019092,0.0001,0.8,"[0.8097613295336725, 0.8299339449483237, 0.7771804979005149, 0.8050934689918795, 0.8628433339498066]","[0.992951367284741, 0.9998446277905088, 0.9850682424660044, 0.9957301853064846, 0.9998543960949978]",1,3000
strike,large,ee_speed,5,42,0.7972163747949985,0.04202220345221078,0.9920621121347051,0.009732615619631846,0.0001,0.8,"[0.7457791365185193, 0.8194812133690822, 0.7695382934536088, 0.7849860461260765, 0.8662971845077055]","[0.9768548804763111, 0.9997830744638785, 0.999775304362302, 0.9840992303675519, 0.9997980710034822]",1,3000
strike,large,ee_speed,6,42,0.7960249073623196,0.04618697272118778,0.9921676111364512,0.009329436008451401,0.0001,0.8,"[0.783607576189274, 0.8175728426837605, 0.7239831212243228, 0.7895413941502242, 0.8654196025640161]","[0.9997476865300958, 0.9997780736283622, 0.9798174834123163, 0.9817125961761742, 0.9997822159353076]",1,3000
strike,large,ee_speed,7,42,0.7842817060655729,0.04982768936439948,0.9902003696687098,0.01209660800375632,0.0001,0.8,"[0.7393988786046997, 0.8149521757389688, 0.7215714120855756, 0.7869120462136481, 0.8585740176849724]","[0.9996783849970623, 0.9997478936552694, 0.9708751014748324, 0.9809390511942715, 0.9997614170221135]",1,3000
strike,large,ee_speed,8,42,0.7948835542508479,0.04565823669016242,0.9958393064434707,0.007865260582428132,0.0003,0.8,"[0.7493752940158116, 0.8178010610495307, 0.7484678997313425, 0.7888170412786448, 0.8699564751789097]","[0.9997366867919272, 0.999786021027199, 0.9997616461326976, 0.9801088496700048, 0.9998033285955248]",1,3000
strike,large,ee_speed,9,42,0.7925692614971549,0.04989876693272707,0.9855394449729058,0.012498519430435718,0.0001,0.8,"[0.7448770063586165, 0.8213194720426525, 0.7357995117215959, 0.7900558231185112, 0.8707944942443981]","[0.9793419713661051, 0.9997516723173484, 0.9676772032640755, 0.9811593546405497, 0.9997670232764508]",1,3000
strike,large,ee_speed,10,42,0.7973610858476745,0.040730558688917104,0.9904015032007566,0.012131605249523293,0.0001,0.8,"[0.7494176124538583, 0.8176020552525972, 0.7664576101155481, 0.7884916816898262, 0.8648364697265428]","[0.9827681896864177, 0.9997366758133922, 0.9997336650153074, 0.9700099800825701, 0.9997590054060954]",1,3000
strike,large,ee_speed,11,42,0.7917275654089309,0.04373427019519433,0.9876183244427047,0.010295479235815377,0.0001,0.8,"[0.7584688793648696, 0.8167130410774728, 0.738029876577928, 0.7837939978371212, 0.8616320321872627]","[0.976936931537104, 0.9996932223791083, 0.9768241900056689, 0.984923035923782, 0.9997142423678607]",1,3000
strike,large,ee_speed,12,42,0.790045855815192,0.04454837073357137,0.9875717156123717,0.010276683347443548,0.0001,0.8,"[0.7585414537700168, 0.8141526327926494, 0.7316591996976545, 0.7856798751958229, 0.8601961176198167]","[0.977296535127205, 0.9996845663842834, 0.9766778329064937, 0.9844818679236426, 0.9997177757202336]",1,3000
strike,large,ee_speed,13,42,0.7918514840946738,0.04601387676407682,0.9886615857309945,0.009404083057993876,0.0001,0.8,"[0.7636504283085757, 0.8154399222424954, 0.7323778288894978, 0.7812095559993633, 0.8665796850334365]","[0.982657953102314, 0.9996915579309971, 0.9765650999397397, 0.9846746395957175, 0.9997186780862035]",1,3000
strike,large,ee_speed,14,42,0.7954782780552556,0.042943161867720576,0.9860072520655219,0.01118965910138383,0.0001,0.8,"[0.7752352219850369, 0.8178361498900022, 0.7380884691398111, 0.7813445680245057, 0.8648869812369224]","[0.9761060798143775, 0.9996779712841951, 0.9763862717301783, 0.9781756995959402, 0.9996902379029186]",1,3000
strike,large,ee_speed,15,42,0.7966805517395612,0.04375386425163903,0.9856993720618819,0.011409535093426895,0.0001,0.8,"[0.7769022177864281, 0.8195266246119479, 0.7376384358109387, 0.7822039865772659, 0.8671314939112251]","[0.9768428520903255, 0.9996542691554968, 0.9756483873907453, 0.9766773302442557, 0.999674021428586]",1,3000
strike,large,ee_speed,16,42,0.7975124219178558,0.04541897886340568,0.9859933465369928,0.011189008149907698,0.0001,0.8,"[0.7830545930045059, 0.8197564952167145, 0.7325772820927926, 0.7827220216494373, 0.8694517176258291]","[0.9773897503178507, 0.9996537184636374, 0.975553337857873, 0.977688179220622, 0.9996817468249811]",1,3000
strike,large,ee_speed,17,42,0.7971137398914074,0.04351177044418105,0.9850106641266174,0.012021350839843431,0.0001,0.8,"[0.7854938426255363, 0.8180084202286269, 0.7353929022429515, 0.7802670270095583, 0.8664065073503641]","[0.9769612257414716, 0.9996615721147608, 0.9752432316995697, 0.9735034312477849, 0.9996838598295]",1,3000
strike,large,ee_speed,18,42,0.8057328274417108,0.03378815276519976,0.9932101300729125,0.007987750274797424,0.0001,0.8,"[0.7866597672146779, 0.8158010217036197, 0.7776768998164068, 0.7808514753167857, 0.8676749731570637]","[0.982669266098387, 0.9997122967310038, 0.9997122533987537, 0.9842220988022007, 0.9997347353342173]",1,3000
strike,large,ee_speed,19,42,0.8082333792009436,0.04078461804081537,0.9952846493870631,0.008839377918197024,0.0001,0.8,"[0.81211492334595, 0.8179449755072656, 0.7428659770563433, 0.7981041283176376, 0.8701368917775216]","[0.999685840823195, 0.9996958865214108, 0.9776059224007134, 0.999702000919633, 0.9997335962703637]",1,3000
strike,large,ee_speed,20,42,0.803438220620442,0.04490631661482917,0.9905949989039277,0.011152803383455666,0.0001,0.8,"[0.7836245217994331, 0.8164652750178029, 0.7362807877369415, 0.8066714427831388, 0.8741490757648944]","[0.9772868281099678, 0.9996754593405104, 0.9765898464778098, 0.9997134062613046, 0.9997094543300455]",1,3000
strike,large,ee_speed,21,42,0.7971319048099623,0.04527281345269911,0.9876536004977774,0.010266765455978334,0.0001,0.8,"[0.7809840205786756, 0.8143084379153215, 0.7346250127355594, 0.7837379776561191, 0.872004075164136]","[0.9774759709751315, 0.9996901519107656, 0.9764420428962438, 0.9849429456717876, 0.9997168910349584]",1,3000
strike,large,ee_speed,22,42,0.802026172202245,0.04421308709878585,0.9907340346011082,0.011001110397231097,0.0001,0.8,"[0.781372191534645, 0.8195811507760054, 0.735212739125239, 0.8043380026086527, 0.8696267769666832]","[0.9776822638780407, 0.9996856700784283, 0.9768465028421714, 0.9997319080793171, 0.9997238281275836]",1,3000
strike,large,ee_speed,23,42,0.801632066926792,0.04364726019750027,0.9904299076941427,0.011363466560806817,0.0001,0.8,"[0.7789272627858503, 0.8205406897522146, 0.7372441600814238, 0.8026935571334721, 0.8687546648809993]","[0.9769995730115073, 0.9996814754349423, 0.9760355826666469, 0.9997168979976243, 0.9997160093599935]",1,3000
