task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
strike,large,object_direction_3d,0,42,0.49613554997852916,0.09841560273086736,0.9961597262672435,8.679576972144249e-05,0.0001,0.8,"[0.3008270957482454, 0.5270377488629683, 0.536449515932089, 0.556926282298368, 0.5594371070509754]","[0.9960986732196149, 0.9960433496098761, 0.9961546981846385, 0.9962941166222112, 0.9962077936998761]",3,3000
strike,large,object_direction_3d,1,42,0.4965452631666687,0.09694950810002145,0.9959084970474621,9.936997234641158e-05,0.0001,0.8,"[0.30393426001670587, 0.53965971316328, 0.5265726194195643, 0.5564973974496594, 0.556062325784134]","[0.995756743232938, 0.9959073276217151, 0.9958497827204823, 0.9960301077136977, 0.9959985239484777]",3,3000
strike,large,object_direction_3d,2,42,0.5141856321937599,0.08383650358195067,0.9954301925370496,0.0014007498562386461,0.0001,0.8,"[0.3469072073229086, 0.549080569408406, 0.5508285974319489, 0.5649916961771833, 0.5591200906283529]","[0.9964310869986489, 0.994603370699538, 0.9964854569544491, 0.9930469286763396, 0.996584119356272]",3,3000
strike,large,object_direction_3d,3,42,0.5060414059965231,0.08576573507081758,0.9886335041006735,0.014936184165291128,0.0001,0.8,"[0.337200565670826, 0.5495384170907975, 0.5525884479853336, 0.5689822428574183, 0.5218973563782402]","[0.9958025257248155, 0.9960532727392721, 0.9961408407907397, 0.9964072448957045, 0.9587636363528348]",3,3000
strike,large,object_direction_3d,4,42,0.5005718912553494,0.10244670852987771,0.981272120025098,0.023984161614278045,0.0001,0.8,"[0.2966662790290303, 0.5429404441159804, 0.5537032925555185, 0.5690086290925414, 0.540540811483676]","[0.9336872135526637, 0.9922138562948942, 0.99615623927296, 0.9962680741791494, 0.9880352168258217]",3,3000
strike,large,object_direction_3d,5,42,0.5005625516944965,0.10923088587899914,0.9845903011971199,0.022582692007539665,0.0001,0.8,"[0.28243073730581025, 0.5508343780871228, 0.5489180491988579, 0.5662000076192214, 0.5544295862614701]","[0.9394255137922694, 0.995853723445814, 0.9956809300675789, 0.9959835085590555, 0.9960078301208816]",3,3000
strike,large,object_direction_3d,6,42,0.5034855019110756,0.10469782174108393,0.9815994424521616,0.028494284164680646,0.0001,0.8,"[0.29441832682956026, 0.5553114789372422, 0.5472761612309648, 0.5656888905730343, 0.5547326519845763]","[0.9246113222513669, 0.9958060666570578, 0.995658696526477, 0.995939123480924, 0.9959820033449818]",3,3000
strike,large,object_direction_3d,7,42,0.49670141067696905,0.11826491028876737,0.9818369182746209,0.0277964360114569,0.0001,0.8,"[0.2607725533797177, 0.5553032004800245, 0.5476780181649892, 0.5711796418626831, 0.548573639497431]","[0.9262444765907266, 0.9956906352407348, 0.995556222874605, 0.9958247426671791, 0.995868513999859]",3,3000
strike,large,object_direction_3d,8,42,0.4928303115972426,0.11858202957012944,0.9752633058089616,0.0271314141582636,0.0001,0.8,"[0.2570515221275188, 0.5328519301398553, 0.5471941792014113, 0.5725729003883349, 0.5544810261290929]","[0.928643841705047, 0.9600322678984482, 0.995706116444537, 0.9959335165216676, 0.9960007864751079]",3,3000
strike,large,object_direction_3d,9,42,0.4979118082929048,0.12331004634014207,0.9781154605737943,0.030377598004966446,0.0001,0.8,"[0.2514202931453776, 0.556451252005524, 0.5549516579172962, 0.5664787693454094, 0.560257069050917]","[0.9174883805413353, 0.9957504464065361, 0.9900090214565997, 0.9925829309323393, 0.9947465235321604]",3,3000
