task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_native,dinov2_large,42,0,-0.07394988784749898,0.01937290272964685,0.19075527949066867,0.053009577793279965,0.0001,0.8,"[-0.07217582413487889, -0.10001711306470162, -0.046780144193221185, -0.09041427182119843, -0.0603620860234948]","[0.12502016127101379, 0.28619682092002363, 0.1955477986478159, 0.1725502092128106, 0.17446140740167937]"
strike,contact_force_native,dinov2_large,42,1,-0.06271756190471925,0.020133819318239873,0.1809199431136493,0.08581735238338241,0.0001,0.8,"[-0.06163533261611098, -0.08876214280003714, -0.0376236762634663, -0.08172600877826208, -0.04384064906571972]","[0.09169466100955304, 0.3315446356722769, 0.17383520877813707, 0.10555002685109327, 0.20197518325718633]"
strike,contact_force_native,dinov2_large,42,2,-0.054384982674458994,0.03035905367953137,0.2619724043891776,0.09365449445632412,0.0001,0.8,"[-0.037606939728288324, -0.09974167057423111, -0.024418530465760258, -0.0812578623780269, -0.028899910225988368]","[0.10280788046156564, 0.389854797021565, 0.23793730855762396, 0.2841135005429424, 0.2951485353621913]"
strike,contact_force_native,dinov2_large,42,3,-0.021775034367914548,0.02486373130474981,0.4015961336222986,0.0633481925357361,0.001,0.8,"[-0.019467625139717892, -0.05710920361573879, 0.013875728689798694, -0.03986169557984787, -0.006312376194066882]","[0.36865883980703074, 0.43580815029175046, 0.3471184739640695, 0.510132174809971, 0.3462630292386716]"
strike,contact_force_native,dinov2_large,42,4,0.03026020487567207,0.04802194451045862,0.4397398703582366,0.0718851847306875,0.005,0.8,"[0.03421334975239254, -0.000815800195317351, 0.11667093322832944, -0.02512135436027818, 0.026353895953233897]","[0.49838216661305, 0.4338973181272048, 0.3315023157812149, 0.5349580384157695, 0.3999595128539435]"
strike,contact_force_native,dinov2_large,42,5,-0.006318669451720127,0.05237195841301601,0.3705427647639663,0.07966202374596472,0.0003,0.8,"[0.020802982217567045, -0.02467160454842454, 0.08162992985150919, -0.065392275117651, -0.043962379661601325]","[0.41940227807312, 0.3262463235112314, 0.32199015049638346, 0.5022094719422243, 0.2828655997968722]"
strike,contact_force_native,dinov2_large,42,6,0.013835696929283926,0.05735366217980114,0.45236099412638514,0.09858660570321644,0.003,0.8,"[0.071815669998607, 0.042176523176685965, 0.05988911545158526, -0.025894380922556248, -0.07880844305790236]","[0.46253070544690467, 0.32817405110430853, 0.477145095380097, 0.3776560465892367, 0.6162990721113786]"
strike,contact_force_native,dinov2_large,42,7,-4.131714802020347e-05,0.03835405936105971,0.36131561348606916,0.16939389841102415,0.0001,0.8,"[-0.012630203258216621, -0.0013573412490350822, 0.07325623113366664, -0.02432080769063205, -0.0351544646758839]","[0.25101495119470385, 0.6113353415558125, 0.4600204464510911, 0.3658569302768937, 0.11835039795184477]"
strike,contact_force_native,dinov2_large,42,8,0.0325325391312693,0.054376828791812916,0.48998536491519307,0.10589211353235278,0.005,0.8,"[-0.0006825513799328942, -0.019385197762064932, 0.11671680215631497, 0.07715466315511088, -0.011141020513081523]","[0.5699872480232622, 0.5757140242130587, 0.5737346921974545, 0.4109725648263244, 0.31951829531586573]"
strike,contact_force_native,dinov2_large,42,9,0.031393972608493505,0.04446527643258028,0.39925108921958563,0.13906764760013143,0.005,0.8,"[0.0046479955641082205, -0.009851004656316276, 0.11675903732979331, 0.02665561796830629, 0.01875821683657597]","[0.5756931709958439, 0.2462097808404734, 0.44523505505701977, 0.5017154850566063, 0.2274019541479846]"
strike,contact_force_native,dinov2_large,42,10,0.068052827207757,0.04609668096092086,0.33745545553512224,0.0676423129244192,0.0001,0.8,"[-0.007547133048211752, 0.0783176012331741, 0.13719033049558116, 0.06903066444082118, 0.06327267291742034]","[0.21598504796387696, 0.3141092341289279, 0.39960981703344944, 0.3665878878336468, 0.3909852907157101]"
