task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_native,large,123,0,0.25506249005517584,0.06614411575400461,0.5112816238063935,0.014744134603381526,0.005,0.8,"[0.29882113417779244, 0.15423905040943708, 0.32734881673769567, 0.29464216204643967, 0.2002612869045145]","[0.533135582122773, 0.5229617758871787, 0.49575627768198693, 0.4963725015533653, 0.5081819817866642]"
strike,contact_force_native,large,123,1,0.28050049015288037,0.07027957865311268,0.5547000100281773,0.032474384582477415,0.003,0.8,"[0.35957803986308345, 0.2125733277793479, 0.3497663774526788, 0.29413279240089096, 0.18645191326840072]","[0.596048656055683, 0.4983868618071179, 0.5478536248432974, 0.558280268226188, 0.5729306392086004]"
strike,contact_force_native,large,123,2,0.3328514469506291,0.06911562587219983,0.5768610316314863,0.04244162206369335,0.0001,0.8,"[0.3989093152946679, 0.26783410593729706, 0.38931135460443633, 0.37639604570389085, 0.23180641321285345]","[0.6173191960243892, 0.5278588175424168, 0.6207854321757666, 0.5244351484337956, 0.593906563981063]"
strike,contact_force_native,large,123,3,0.3754399882691729,0.046835674004097425,0.6002711736912225,0.06103411764199987,0.005,0.8,"[0.42486487944532136, 0.3064959247141602, 0.4067198017112672, 0.40646640805526557, 0.3326529274198504]","[0.6766408213315629, 0.5510071380484836, 0.6164005337474376, 0.5109345558288484, 0.6463728194997802]"
strike,contact_force_native,large,123,4,0.39769046845305045,0.045693994388024066,0.6425201367937172,0.038357146789573825,0.003,0.8,"[0.4388707826803391, 0.3176563581874706, 0.4125444853977134, 0.43993760590887976, 0.3794431100908494]","[0.6706052810358687, 0.5701523610990348, 0.6683780084925585, 0.6360462512083509, 0.6674187821327732]"
strike,contact_force_native,large,123,5,0.43780763686709256,0.04955740908007636,0.676610361901221,0.015497747000172523,0.005,0.8,"[0.4867236996566169, 0.34778462102055163, 0.4331675841275109, 0.4795866288308963, 0.4417756506998872]","[0.6496719284889376, 0.6960896725654931, 0.6728352823716737, 0.6852625244794583, 0.6791924016005425]"
strike,contact_force_native,large,123,6,0.4509048901979643,0.06266784888037934,0.6847097427701824,0.0330227588787706,0.005,0.8,"[0.532586381816867, 0.3502821121404608, 0.4255943945178797, 0.49772648510899387, 0.44833507740561973]","[0.6315826104061315, 0.714413155234107, 0.7148999204087984, 0.6611598481678131, 0.7014931796340613]"
strike,contact_force_native,large,123,7,0.44621900889883526,0.048301794894883156,0.7264405483554277,0.012512757283938294,0.005,0.8,"[0.44792804735101, 0.35893591174788686, 0.4493288112737194, 0.5052585713693347, 0.46964370275222533]","[0.7285544353699247, 0.7415833159963816, 0.7287132414010058, 0.7033865799487204, 0.7299651690611064]"
strike,contact_force_native,large,123,8,0.45543290563061695,0.028338248887150246,0.634205750099124,0.108122941376827,0.003,0.8,"[0.44642263269787064, 0.4127191460162377, 0.500792983989127, 0.45462459413352974, 0.46260517131631995]","[0.6508549970689126, 0.6860149107624921, 0.6759225425098898, 0.42471302130033417, 0.7335232788539914]"
strike,contact_force_native,large,123,9,0.47148358909281407,0.041543159039519724,0.7063804576268644,0.034898259386145096,0.005,0.8,"[0.4612569667785381, 0.41024124743030577, 0.5366004855355928, 0.4586349931397572, 0.4906842525798767]","[0.6490103221916508, 0.7183174792349973, 0.6993488928158835, 0.7078145766448636, 0.7574110172469266]"
strike,contact_force_native,large,123,10,0.4509588105940054,0.04812274351092064,0.7049853817168124,0.03893522735647802,0.003,0.8,"[0.4500263960573383, 0.38761442637350707, 0.5226121801222395, 0.412599214712421, 0.48194183570452087]","[0.702643145697136, 0.733973177670576, 0.630442337115537, 0.7328220055766851, 0.7250462425241282]"
strike,contact_force_native,large,123,11,0.46740239591913746,0.043434124630413115,0.7114076106874603,0.02745450285920255,0.005,0.8,"[0.44186633111471874, 0.3993489087958637, 0.5107256741501293, 0.47007453741596217, 0.5149965281190133]","[0.7471108852437819, 0.7268380929989056, 0.7112959158685284, 0.6640529632702412, 0.7077401960558445]"
strike,contact_force_native,large,123,12,0.48923308143085065,0.03675356297092232,0.6891050490932253,0.04855760151945394,0.005,0.8,"[0.4844495516271833, 0.42352438996499264, 0.5346065235638491, 0.5062299184691414, 0.49735502352908645]","[0.7073157751998542, 0.725355137137303, 0.5942956764424625, 0.6962278213588307, 0.7223308353276765]"
strike,contact_force_native,large,123,13,0.48303719520756233,0.02854551155549035,0.7293623410314687,0.009653570211134378,0.005,0.8,"[0.49105848470778624, 0.4402777485824412, 0.5216518448703849, 0.4995775179187639, 0.46262037995843575]","[0.7113340924033548, 0.7288269972800175, 0.7322026991011843, 0.7351055784952398, 0.739342337877547]"
strike,contact_force_native,large,123,14,0.5120775345118479,0.05415601096064692,0.758141807846679,0.021993519149084255,0.005,0.8,"[0.5174103851857013, 0.41707364191919294, 0.5637394447998059, 0.5643904228121668, 0.49777377784237287]","[0.7792992889846273, 0.7532332469715467, 0.7301718891165838, 0.7874099360560933, 0.740594678104544]"
strike,contact_force_native,large,123,15,0.5402418226358149,0.04523957831783817,0.7666303973628457,0.034519681164348046,0.003,0.8,"[0.5405263227933613, 0.4586706992396551, 0.5975280646770751, 0.5544151956254703, 0.5500688308435124]","[0.8024812463726968, 0.8137374789881325, 0.7387989163162549, 0.73013332219215, 0.7480010229449944]"
strike,contact_force_native,large,123,16,0.5644272318952966,0.04209139290325859,0.7556836960628095,0.01935938269646642,0.005,0.4,"[0.5868323513783116, 0.48796716265722373, 0.6004453572891333, 0.550529205190923, 0.5963620829608917]","[0.7592705909991272, 0.749694507878396, 0.7327844652259049, 0.7461902267107126, 0.7904786894999072]"
strike,contact_force_native,large,123,17,0.5632667829607257,0.03940051323992371,0.7644819297850326,0.015382399287468462,0.005,0.8,"[0.6017332554750893, 0.4957248518208017, 0.6032721575687616, 0.5632908466863893, 0.5523128032525868]","[0.7718401449647887, 0.7598364011705441, 0.7907179328213612, 0.7501207271711163, 0.7498944427973527]"
strike,contact_force_native,large,123,18,0.5487101208651515,0.055887216728211335,0.7307193474553284,0.014238976385368867,0.005,0.8,"[0.5609764875077364, 0.44255759736630196, 0.6080178321675868, 0.5724353324531823, 0.55956335483095]","[0.7267171143621334, 0.7400310800620405, 0.7166819208620421, 0.7167001895555948, 0.7534664324348312]"
strike,contact_force_native,large,123,19,0.5511223886765266,0.04059133132864847,0.7365603206329933,0.029057544527423554,0.005,0.8,"[0.5770136901810494, 0.4702354890650081, 0.5695909675224101, 0.5664677738956555, 0.5723040227185108]","[0.7413160778088299, 0.6982618154995532, 0.7081277716717543, 0.7688581586820843, 0.7662377795027449]"
strike,contact_force_native,large,123,20,0.5438891897632185,0.04334977187961492,0.7125842185523313,0.046749473979744986,0.001,0.8,"[0.5880633197659472, 0.4633031355009929, 0.5496766298004996, 0.5442327357404375, 0.5741701280082157]","[0.7478267927278904, 0.6215964660133635, 0.7227571221208081, 0.7238626985362286, 0.7468780133633658]"
strike,contact_force_native,large,123,21,0.5351554920825631,0.04777493493658034,0.6990444122825596,0.04320903941303683,0.003,0.8,"[0.5866544706154626, 0.4481262133531019, 0.5614391977022144, 0.5247388598809117, 0.5548187188611251]","[0.6950203088390763, 0.6959246215573531, 0.6228191450332212, 0.7441698524255114, 0.737288133557636]"
strike,contact_force_native,large,123,22,0.5220494473462561,0.050099918432186606,0.7110481302860773,0.03206278629462294,0.003,0.01,"[0.5784882894878343, 0.4353483778324677, 0.541984604290237, 0.5007851931783012, 0.5536407719424403]","[0.6846373700032591, 0.6867575354422868, 0.6841228784101274, 0.7422905744456629, 0.7574322931290506]"
strike,contact_force_native,large,123,23,0.5324983281880212,0.05719778544899041,0.706251341189126,0.020929105245326703,0.005,0.8,"[0.6028857597598027, 0.4366315071236234, 0.5709554117697444, 0.5440363756005191, 0.5079825866864164]","[0.7156664290106736, 0.6885813301637304, 0.6789084408560762, 0.7383335884332192, 0.7097669174819308]"
