task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,dinov2_large,123,0,-0.06798430799114655,0.0401100853925155,0.22271059326130122,0.021695705581949627,0.0001,0.8,"[-0.08553853231790187, -0.026282537092358282, -0.11710051729265736, -0.015047614595456116, -0.09595233865735908]","[0.18804248925344724, 0.21736992938921962, 0.21625689436559814, 0.24492020085554356, 0.24696345244269746]"
strike,contact_force_proxy,dinov2_large,123,1,-0.04530605594985058,0.03745246944219958,0.28167230612931116,0.03030322843862716,0.0001,0.8,"[-0.06071280534994039, 0.014561494469111591, -0.08920717403320433, -0.020441504157008072, -0.07073029067821168]","[0.2521511276775954, 0.2697573069011677, 0.2625262376182391, 0.28573096013556, 0.33819589831399366]"
strike,contact_force_proxy,dinov2_large,123,2,-0.011530615797303523,0.04880996972038726,0.3332824650083601,0.02250013405101043,0.0001,0.8,"[-0.002495959004555015, 0.004068398137703433, -0.08870278619305383, 0.06084405998714815, -0.03136679191376035]","[0.3304200231266563, 0.3291771938004042, 0.2970338757179256, 0.3435229270071135, 0.36625830538970106]"
strike,contact_force_proxy,dinov2_large,123,3,0.011010914875672118,0.06063220079801352,0.3182373129497071,0.08391975182150115,0.0003,0.8,"[0.011783799438275344, 0.015531503727557072, -0.08567186610523625, 0.1058824071451101, 0.007528730172654319]","[0.3113849022515265, 0.25170347370008184, 0.2461139606306444, 0.3045322496789874, 0.4774519784872955]"
strike,contact_force_proxy,dinov2_large,123,4,0.045713159706330456,0.06046962897040764,0.3099645076936096,0.10748440002199715,0.0001,0.8,"[0.05548594107695026, 0.05431150927158812, -0.058510249791368985, 0.13086260602065625, 0.04641599195382662]","[0.2616086069293446, 0.25667398721139434, 0.17324556265400415, 0.3767772821420494, 0.48151709953125543]"
strike,contact_force_proxy,dinov2_large,123,5,0.059115242233679435,0.05224134680997636,0.3165778956940244,0.13244329402547442,0.001,0.8,"[0.08372791017712455, 0.08176993919687126, -0.04170813705615917, 0.10742573320076798, 0.06436076564979254]","[0.1496589905274336, 0.22184165123098343, 0.31596610196629393, 0.35694544682968266, 0.5384772879157285]"
strike,contact_force_proxy,dinov2_large,123,6,0.0473323402975653,0.04821482514856674,0.3397257037368597,0.07316498575044061,0.0001,0.8,"[0.12138959934854021, 0.05760176386089089, -0.029858331244415615, 0.048741635332699706, 0.038787034190111314]","[0.2342545466333099, 0.3473754601616975, 0.29831054987965766, 0.36365881975601566, 0.45502914225361757]"
strike,contact_force_proxy,dinov2_large,123,7,0.05836819552173038,0.03707455561792465,0.30820883837043433,0.05962636308333089,0.0003,0.8,"[0.062396989044566586, 0.10474049325008628, -0.008931926184597705, 0.07093457852879004, 0.06270084296980671]","[0.3083860132933177, 0.29738088614677594, 0.3578963304248095, 0.20375385604189644, 0.37362710594537196]"
strike,contact_force_proxy,dinov2_large,123,8,0.06173419761648362,0.020493643263538523,0.3375006499817541,0.07801629061904133,0.0003,0.8,"[0.06861622227848885, 0.09182929123558303, 0.04081594319057524, 0.03667019458644527, 0.07073933679132571]","[0.3326119276547693, 0.3660838641098947, 0.3104372331811581, 0.21907327934847398, 0.45929694561447443]"
strike,contact_force_proxy,dinov2_large,123,9,0.07434351558790282,0.0306842052135502,0.3356321638580787,0.1112055741592065,0.001,0.8,"[0.09915949681347458, 0.08209008831596243, 0.0660456360548013, 0.019382928835984692, 0.1050394279192911]","[0.19875341709177086, 0.47256359521863034, 0.38967261377879847, 0.20867567071440518, 0.4084955224867882]"
strike,contact_force_proxy,dinov2_large,123,10,0.0549806689357832,0.06441408483509074,0.3710672949711637,0.03676602702712063,0.001,0.8,"[0.026702754297761477, 0.0984694254897629, -0.002690328473740289, -0.006938465214921807, 0.1593599585800537]","[0.34337901883021216, 0.36056520497414757, 0.4279257457791147, 0.32655771379219123, 0.3969087914801527]"
strike,contact_force_proxy,dinov2_large,123,11,0.06454056115975755,0.045998234214890917,0.34648868956660783,0.03638083015705488,0.0001,0.8,"[0.07467699474362932, 0.1031637623875511, 0.027690076711437972, -0.0028787057574666264, 0.12005067771363598]","[0.2936532720172519, 0.39690047988303667, 0.3522028777094298, 0.3198751470337988, 0.36981167118952196]"
strike,contact_force_proxy,dinov2_large,123,12,0.06617092891604344,0.05079502604270443,0.3257524985408059,0.10525171624077105,0.0001,0.8,"[0.1121328493829955, 0.05595353031893879, -0.007395779796754098, 0.03735121233670535, 0.13281283233833163]","[0.19449428910187572, 0.4822066467482653, 0.2225971267150939, 0.3659839107000584, 0.36348051943873627]"
strike,contact_force_proxy,dinov2_large,123,13,0.09301760800572981,0.0414767408889256,0.308044321257484,0.07021654982770663,0.005,0.8,"[0.1130807912934767, 0.08319608578235693, 0.040762783545063686, 0.0666454659836413, 0.1614029134241104]","[0.24452787237350138, 0.21105979321129476, 0.34001718496371947, 0.4033686372963339, 0.3412481184425704]"
strike,contact_force_proxy,dinov2_large,123,14,0.13515514036422335,0.04305253670136075,0.3996569004423848,0.029641696357000025,0.0001,0.8,"[0.0977788332190892, 0.13263601964422744, 0.16382381959163284, 0.08169501315333949, 0.19984201621282782]","[0.3884083309095535, 0.4502855133323238, 0.414497530714554, 0.3699795591841213, 0.3751135680713711]"
strike,contact_force_proxy,dinov2_large,123,15,0.11147787522730546,0.04912179148200758,0.4133919259910397,0.04249829444185901,0.0001,0.8,"[0.12107879618902817, 0.12429333422407085, 0.08807821124229231, 0.036935156374867883, 0.18700387810626806]","[0.38212889188895127, 0.4973235994785482, 0.39620044902009655, 0.3891818445822025, 0.4021248449854]"
strike,contact_force_proxy,dinov2_large,123,16,0.1303991521888618,0.08294093050489264,0.410863942164619,0.05383038454945764,0.0001,0.8,"[0.1323981950478984, 0.14498226399776704, 0.13309489939957353, -0.009597461814932151, 0.2511178643140022]","[0.35240682140755386, 0.4041569814354059, 0.39116853974537646, 0.39397312135255214, 0.5126142468822064]"
strike,contact_force_proxy,dinov2_large,123,17,0.14370165682658986,0.07853081682000587,0.3708426351931016,0.08040857639911131,0.005,0.8,"[0.20143011549985013, 0.1462700971522667, 0.15225116071128075, -0.002643987659298075, 0.22120089842884982]","[0.23976145482504152, 0.43012368036312487, 0.38960370327380955, 0.3271032595883827, 0.4676210779151496]"
strike,contact_force_proxy,dinov2_large,123,18,0.14220066724765087,0.048893438893534674,0.3349348114665595,0.11169069001741574,0.003,0.8,"[0.178393688916743, 0.14234525963008948, 0.16063449303708888, 0.048470675286089615, 0.18115921936824342]","[0.20307190369340045, 0.48929423330076927, 0.36262630380231475, 0.2120319209249708, 0.40764969561134223]"
strike,contact_force_proxy,dinov2_large,123,19,0.1217914725864001,0.05889860919967888,0.33450988383530095,0.096854515654316,0.0003,0.8,"[0.13226906763553858, 0.1462636794706329, 0.13714125299912672, 0.009647652395063933, 0.1836357104316384]","[0.2685229814041096, 0.46868520927623836, 0.4104609021377348, 0.19767114932441554, 0.32720917703400654]"
strike,contact_force_proxy,dinov2_large,123,20,0.14625765516712158,0.05689200824642303,0.3774944883010516,0.0388779534352919,0.005,0.8,"[0.10593230590222102, 0.15886978756816883, 0.16490129293095135, 0.06709779293781448, 0.23448709649645216]","[0.3879170823021636, 0.4392647885222768, 0.3827803306991393, 0.32137900970335953, 0.3561312302783187]"
strike,contact_force_proxy,dinov2_large,123,21,0.12783361683647593,0.06351370715748014,0.3689054742797603,0.07337587432993507,0.005,0.8,"[0.1417772817515438, 0.09039859150086926, 0.1519380651994493, 0.03267736094689355, 0.22237678478362366]","[0.36916989235616904, 0.3003368746089855, 0.27638538773158317, 0.4302626501510315, 0.4683725665510322]"
strike,contact_force_proxy,dinov2_large,123,22,0.13538453221494148,0.05916999994917003,0.2528153647556467,0.07053035264243707,0.0001,0.8,"[0.19363308742887098, 0.08919146017846835, 0.14597330278082254, 0.047871043610614006, 0.20025376707593157]","[0.21785630022327185, 0.3361744429429351, 0.13576509901543554, 0.2691879443970472, 0.3050930371995437]"
strike,contact_force_proxy,dinov2_large,123,23,0.1543702611927642,0.0648209841307122,0.31478885639955556,0.05140867603303431,0.005,0.8,"[0.21653549354314472, 0.10734184737364849, 0.180924440806025, 0.05179833438511494, 0.21525118985588787]","[0.28725016057583863, 0.3436076026070476, 0.26409973812597365, 0.2769020760489379, 0.40208470463998003]"
