task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,large,42,0,-0.7377685500055615,0.9245566541001278,0.4668903355845119,0.4960375250016851,0.005,0.8,"[-0.09841398334040252, -0.04516321695588599, -0.9152170560671553, -0.15579770025498108, -2.4742507934093827]","[0.3860687696492848, 0.9982691149894672, 0.32680974510844174, -0.3492375883991403, 0.9725416365745062]"
strike,contact_force_proxy,large,42,1,-0.531795453243626,0.854176546993119,0.03458590791123051,0.1261819768264384,0.001,0.8,"[0.011555758196822863, -0.26307780004214143, -0.09234577419526335, -0.08415293683950087, -2.230956513338047]","[0.1708780918092343, -0.06291806373252773, 0.13089891309785862, -0.16165912193161258, 0.09572972031319993]"
strike,contact_force_proxy,large,42,2,-0.5461023589323947,1.1851266332632062,0.07757122608530753,0.16015900375496203,0.0001,0.1,"[0.18266358537318217, -0.11330311123540615, 0.035467655628946715, 0.07342474268270449, -2.9087646671114005]","[-0.052954102017488625, 0.06543162513989598, 0.35442921241299696, -0.1022552194510209, 0.12320461434215424]"
strike,contact_force_proxy,large,42,3,-0.39514728211725225,0.9186565445839648,0.244874791500497,0.14972609104376394,0.001,0.01,"[-0.2574749579043678, 0.01502312211625445, 0.35869958685767456, 0.09789882290608531, -2.189882984561908]","[0.3806522978473622, 0.08870803108603731, 0.41312522515403005, 0.04841614212680834, 0.2934722612882471]"
strike,contact_force_proxy,large,42,4,-0.5019956084456432,0.715446252293169,0.2076023115419051,0.1384133955267562,0.0001,0.8,"[-0.6879055489728971, 0.047464009026481735, -0.19287520886994725, 0.13661816862370735, -1.8132794620355606]","[0.25082057036198246, 0.22622541995550827, 0.3466832427068579, -0.057249092589390704, 0.27153141727456753]"
strike,contact_force_proxy,large,42,5,-0.6878172894918977,1.4746576310693678,0.15564363233558487,0.17457939512775006,0.0001,0.8,"[0.23340451656862937, 0.1971055737909443, -0.42456273988110405, 0.15242683789869582, -3.5974606358366543]","[0.14489819429495854, -0.04875486134646745, 0.19552926426876704, 0.02700094182985857, 0.45954462263080764]"
strike,contact_force_proxy,large,42,6,-0.9053712875580219,1.192515178378239,0.05016524346149744,0.0776057430518826,0.0001,0.8,"[-1.0771401703786991, 0.16704325616927596, -0.61245215190099, 0.09984267320361817, -3.1041500448833146]","[0.032426051307068104, 0.0020114849131568358, 0.13126974403527625, -0.05938698245315899, 0.14450591950514502]"
strike,contact_force_proxy,large,42,7,-0.2695916723939477,0.5503748276188327,0.33427732521385495,0.1146997882029889,0.0001,0.8,"[0.3339235224337289, -0.17847363759741475, -0.41846888646700187, 0.1542870666955256, -1.2392264270345765]","[0.3943253936521407, 0.27607091122249616, 0.3426075983929038, 0.15792355588988016, 0.5004591669118539]"
strike,contact_force_proxy,large,42,8,-0.12629406306452276,0.31202308028873577,0.2296223832276479,0.380390861037658,0.0001,0.01,"[-0.20388555753506443, -0.03456667313563999, 0.15242403230873325, 0.14667860319427095, -0.6921207201549135]","[-0.08858071502743825, -0.06112145735260088, 0.23212208739790663, 0.953444069084619, 0.112247932035753]"
strike,contact_force_proxy,large,42,9,-0.46095600749930304,0.6123685201689691,0.01151181984324554,0.1425753761475498,0.0001,0.8,"[-0.34794546880007715, -0.0461568874973346, -0.28342391680202694, 0.025978738229462506, -1.653232502626539]","[-0.17319681943688314, -0.1341375198639072, 0.11774279082026884, 0.1939535903149976, 0.05319705738175162]"
strike,contact_force_proxy,large,42,10,-0.5088368025032004,0.6278845400964091,0.4268853230159405,0.21854845381871088,0.005,0.01,"[-0.10337963543205264, -0.24415162367781051, -0.4890746050598729, 0.01176466082340788, -1.7193428091696736]","[0.40810152963655955, 0.7271543099631506, 0.2527360875548187, 0.6100869048539004, 0.1363477830712735]"
strike,contact_force_proxy,large,42,11,-0.3005902142724457,0.32625032328928644,0.5722370943473487,0.40632615697808144,0.005,0.01,"[-0.2505446631903696, -0.0244138550220534, -0.6961601254049894, 0.11784041567229242, -0.6496728434171084]","[-0.1201534419787309, 0.6813811840659512, 0.38381008026817265, 0.9797871559598741, 0.9363604934214768]"
strike,contact_force_proxy,large,42,12,-0.29642233261300294,0.40344389766536853,0.528276048095473,0.4085017909127442,0.0001,0.8,"[-0.545001482579702, 0.19132245980558116, -0.8689193312538361, 0.12601727547176889, -0.3855305845088264]","[0.6748911785926679, 0.7161794556495311, 0.502805596697123, 0.9775569298098474, -0.23005292027180446]"
strike,contact_force_proxy,large,42,13,-0.33290355389262977,0.4588000457549274,0.027294499812482886,0.3704793685743343,0.005,0.4,"[-0.3276514296463, -0.252423220414282, -1.1940082128218017, 0.09883071470702287, 0.010734378712212167]","[0.1908382406516832, 0.48350927469870986, 0.27074450364135116, -0.5032136482203386, -0.30540587170899114]"
strike,contact_force_proxy,large,42,14,-0.0937694126151167,0.28229411796113574,0.12499962731673189,0.5346294220369954,0.005,0.8,"[-0.43528130634079076, 0.11335179315343469, -0.43123228521075996, 0.2249710019810408, 0.05934373334149168]","[0.744730105963963, 0.5880642853872383, 0.28486751287333656, -0.6247548500753817, -0.3679089175654968]"
strike,contact_force_proxy,large,42,15,-0.3236881891247619,0.3857315097335183,-0.02436392534343166,0.49812889741517874,0.005,0.8,"[-0.9414340555068408, 0.0009340634985176566, -0.574973292904918, 0.09954563105561098, -0.20251329176617916]","[0.536431658611427, 0.4670490038366445, 0.059956076984316486, -0.7185750810699965, -0.46668128507954987]"
strike,contact_force_proxy,large,42,16,-0.11129645890183706,0.35005846469162516,0.21590830196197075,0.33052352084704417,0.005,0.8,"[-0.5832733614546826, -0.12271347194733861, -0.40042320209716586, 0.2124189225823815, 0.33750881840762026]","[0.5886737513784972, 0.45041637043137805, 0.3295432827680437, 0.05484491763201671, -0.3439368124000821]"
strike,contact_force_proxy,large,42,17,-0.022977799497404593,0.2883046642948658,0.18586315222216027,0.31257168643391803,0.005,0.4,"[-0.5002983497667124, 0.31468037031256857, -0.17105137221635847, 0.19309882480306428, 0.048681529380415034]","[0.4986300264241572, 0.4174552104236884, 0.35825065538654877, -0.0136593194450354, -0.3313608116785576]"
strike,contact_force_proxy,large,42,18,-0.46954045003477435,0.270816439526871,0.0881168770793688,0.2727424911888674,0.005,0.4,"[-0.7820749517485492, -0.47803296772753656, -0.42024844054195354, 0.005154534596898075, -0.6725004247527306]","[-0.06923482987313534, 0.16052537313268533, 0.4083170498273403, -0.3548873196267839, 0.29586411193673756]"
strike,contact_force_proxy,large,42,19,-0.3075141241250078,0.3809967265052406,-0.3047367425746975,0.4328987938532408,0.001,0.01,"[-0.39249569946773244, -0.46955073071350806, -0.8867786703523712, 0.19336494585518427, 0.017889534053388556]","[-0.03348700462577203, -0.3622999905565103, 0.35186059242388346, -0.5812913724389821, -0.8984659376761064]"
strike,contact_force_proxy,large,42,20,-0.24534995728564152,0.48919126811432734,-0.04216313742856683,0.45464773862043706,0.005,0.8,"[-0.6941539933924683, -0.1932382392097156, -0.8859482382691242, 0.12489093020978803, 0.4216997542333125]","[0.06295060540563269, 0.4075073140522921, 0.38396992437995237, -0.25192468744271657, -0.8133188435379948]"
strike,contact_force_proxy,large,42,21,-0.7440027983353854,0.8106818291478091,0.2966462278068315,0.3582960796895302,0.005,0.8,"[-0.49789887694714885, -0.19540837108870068, -0.7582631452125297, 0.010277449373620628, -2.2787210478021684]","[0.27115608188472995, 0.822364072214278, 0.30008687932265377, -0.3001507442151021, 0.389774849827598]"
strike,contact_force_proxy,large,42,22,-0.3072664718172808,0.3463337673168547,0.028780838332307247,0.16686639709290244,0.0001,0.4,"[-0.1559786125476892, -0.08079659935869876, -0.9927071826577125, -0.08863533597985662, -0.2182146285424469]","[0.04471986342148959, -0.11192559734681118, 0.34148963851640435, -0.10832825095069398, -0.02205146197885255]"
strike,contact_force_proxy,large,42,23,-0.42454936559082146,0.33279796343842116,0.06338479053642965,0.19052333051752876,0.0001,0.8,"[-0.2368978607293657, -0.2430059793319248, -1.0260427324690533, -0.08837084255367889, -0.5284294128700844]","[0.02165610804447593, 0.31722222131071287, 0.2276177053167412, -0.031159123985838644, -0.21841295800394311]"
