task,target,model,probe_seed,layer,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s
strike,contact_force_proxy,videomae_large,2024,0,-0.0026814639692313456,0.07867129328617256,0.23510102103864772,0.08393766505416501,0.0001,0.8,"[0.03966436870188961, 0.014123014493099606, -0.1578027665225823, 0.05536553741049677, 0.035242526070939584]","[0.13234197166803274, 0.3752608793354979, 0.16947380133204892, 0.2366016757512055, 0.2618267771064535]"
strike,contact_force_proxy,videomae_large,2024,1,0.07073471788537278,0.07712347305569942,0.33911451228426515,0.11512061281828134,0.0001,0.8,"[0.1447313586702551, 0.07453314515603415, -0.07522549492854846, 0.08717370249112255, 0.12246087803800054]","[0.13066740154497614, 0.399909502593609, 0.4434888445279408, 0.3003917300026022, 0.42111508275219744]"
strike,contact_force_proxy,videomae_large,2024,2,0.08734209280688392,0.05468516845363509,0.33867511766310565,0.10747578022701608,0.0001,0.8,"[0.16124850539790325, 0.0829732188422343, -0.0005136092299671269, 0.06835253843091493, 0.12464981059333424]","[0.1425560918771107, 0.3905559437339029, 0.3327340216280801, 0.36234143800158625, 0.46518809307484854]"
strike,contact_force_proxy,videomae_large,2024,3,0.10745232830244214,0.04995324889444823,0.348808526768918,0.08535927569509248,0.0001,0.8,"[0.17542120920664228, 0.10057011751437439, 0.032424853455081726, 0.08214884975326442, 0.14669661158284786]","[0.18607426424326645, 0.36442628046042425, 0.3861909846981286, 0.36986397002692717, 0.4374871344158435]"
strike,contact_force_proxy,videomae_large,2024,4,0.12808464082999688,0.06526369859800857,0.3915900097138718,0.0865261201930446,0.001,0.8,"[0.23905851609730977, 0.10850731485476506, 0.04369149346868184, 0.09764271020317294, 0.1515231695260547]","[0.22421506901961064, 0.4320987863879233, 0.3978730899472299, 0.46719328686621153, 0.43656981634838365]"
strike,contact_force_proxy,videomae_large,2024,5,0.1282058080285128,0.052776657374237104,0.45567067926305604,0.09995329540918409,0.0001,0.8,"[0.19422876597987704, 0.12387351588100137, 0.06487166787309107, 0.07641331579394506, 0.18164177461464948]","[0.2928208188595772, 0.5598834537794718, 0.3960977168560508, 0.5466910704074068, 0.48286033641277337]"
strike,contact_force_proxy,videomae_large,2024,6,0.16406566048051746,0.0530588207404875,0.4601095953315843,0.08694214442050573,0.001,0.8,"[0.23796448421741945, 0.16229811742702427, 0.09737754262562293, 0.11579238941650583, 0.2068957687160149]","[0.3520729181985952, 0.5603071523290544, 0.36997052757014703, 0.4693602056697461, 0.5488371728903788]"
strike,contact_force_proxy,videomae_large,2024,7,0.1412701497934779,0.04681666515581233,0.363588523355275,0.06272470576278164,0.0003,0.8,"[0.1946324466357049, 0.11367222693698131, 0.10396620530977319, 0.09276445488059093, 0.20131541520433927]","[0.3251045296036581, 0.30995141648199664, 0.46023732479327806, 0.30672272380952514, 0.41592662208791664]"
strike,contact_force_proxy,videomae_large,2024,8,0.16165187591164182,0.04335568332266486,0.3775946069632982,0.07545946881149349,0.001,0.8,"[0.19115060906797465, 0.14689050676737714, 0.11978892210291459, 0.1195815089704072, 0.23084783264953557]","[0.398202324847474, 0.38526182846195034, 0.49534894056646483, 0.26299370183553583, 0.34616623910506605]"
strike,contact_force_proxy,videomae_large,2024,9,0.15761417169892158,0.04032291085138049,0.4353412583583962,0.07339951672700847,0.003,0.8,"[0.15976267901295105, 0.16169218876575386, 0.11136961913101973, 0.12678442371776444, 0.22846194786711882]","[0.37530174379185177, 0.3812714554299814, 0.5327643056255364, 0.5170965601574498, 0.3702722267871619]"
strike,contact_force_proxy,videomae_large,2024,10,0.15663993656717654,0.04987240151935098,0.3771313105874943,0.07315745201867552,0.005,0.8,"[0.17261933091355064, 0.15703651374340077, 0.07910526624817149, 0.14085677131889218, 0.23358180061186762]","[0.33593729415427853, 0.3447221882928442, 0.5002084421487762, 0.4142042948968828, 0.2905843334446897]"
strike,contact_force_proxy,videomae_large,2024,11,0.18591149692234915,0.04217799675621688,0.31007440558873645,0.08386271039160915,0.005,0.8,"[0.2247323697204745, 0.15779091319726246, 0.12078496494685931, 0.19221389704937641, 0.23403533969777301]","[0.3236251706527047, 0.23336674443027827, 0.4604965287196253, 0.22995441476787626, 0.302929169373198]"
strike,contact_force_proxy,videomae_large,2024,12,0.17920925769196722,0.04380274472470282,0.3745304841777396,0.042556432667837193,0.003,0.8,"[0.22550094538977328, 0.15966524036881613, 0.13767919872371248, 0.1354413474233246, 0.23775955655420955]","[0.4270855845884225, 0.35158098005099314, 0.41332056439064824, 0.371339716764579, 0.30932557509405545]"
strike,contact_force_proxy,videomae_large,2024,13,0.1777850787443216,0.038636561105904466,0.35766735216567763,0.04155721993432977,0.005,0.8,"[0.2108697245111697, 0.16118053884595462, 0.1554927978229368, 0.12787176518747623, 0.2335105673540706]","[0.3425652907450998, 0.3139072184891054, 0.4323056686003245, 0.32982096237870495, 0.3697376206151535]"
strike,contact_force_proxy,videomae_large,2024,14,0.1688867469608926,0.045266654522124514,0.334531429466265,0.02511881596292591,0.0003,0.8,"[0.20142056978702938, 0.14222448003789934, 0.13902829632975233, 0.12047816075178497, 0.24128222789799691]","[0.3017424419864102, 0.31466285298374774, 0.3331084097107687, 0.37207212114243915, 0.35107132150795894]"
