task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening,large,42,0,0.9607339052044142,0.0028739689926054806,0.9834244534218763,0.000589626238635311,0.8982964824120604,0.013482170915795138,0.005,0.01,"[0.9557500000000001, 0.959675, 0.9614750000000001, 0.9639908083129214, 0.9627787177091488]","[0.9828974064233265, 0.9832083341185043, 0.9842840183164677, 0.9827882475121436, 0.9839442607389399]"
strike,contact_happening,large,42,1,0.9682906807908891,0.005201975314482089,0.9867700313768897,0.0011303791146604512,0.9158341708542714,0.0036836056085082364,0.005,0.01,"[0.9632749999999999, 0.9690249999999999, 0.96395, 0.9777783389308352, 0.9674250650236105]","[0.9878188579217467, 0.9861056149144791, 0.9878000138190086, 0.9848825424772204, 0.9872431277519929]"
strike,contact_happening,large,42,2,0.9808014109492185,0.004929903128942139,0.9956691160800609,0.00040138990068274815,0.9348944723618091,0.016379417219541337,0.005,0.01,"[0.9751000000000001, 0.9799, 0.978375, 0.9898739930809828, 0.9807580616651095]","[0.9960977003913293, 0.9952355826910635, 0.9960160426127975, 0.9951409850548479, 0.9958552696502668]"
strike,contact_happening,large,42,3,0.9822465998333374,0.0055528805342420105,0.9971675259062206,0.0015126265355164608,0.9363819095477386,0.010995868818904152,0.005,0.01,"[0.9731, 0.981675, 0.983225, 0.9905557940456049, 0.9826772051210828]","[0.9980747608369295, 0.9978894604933387, 0.9982302246845183, 0.9941870391807031, 0.9974561443356136]"
strike,contact_happening,large,42,4,0.9862221664856948,0.004254096885255978,0.9977906002514082,0.0014060337210001325,0.9494095477386935,0.006127192366888052,0.005,0.01,"[0.98005, 0.983275, 0.98675, 0.9923234261761067, 0.9887124062523673]","[0.9986275211839122, 0.9984076733186349, 0.9989478709304589, 0.9950610979619393, 0.9979088378620959]"
strike,contact_happening,large,42,5,0.990367972399687,0.0058946354839310875,0.9991090027396569,0.00020186373313879323,0.9584346733668341,0.009765024870136045,0.005,0.01,"[0.9798, 0.989875, 0.9907, 0.9971717885911973, 0.9942930734072372]","[0.9988489393910842, 0.9991645781119465, 0.999439387943543, 0.9991353397002825, 0.9989567685514277]"
strike,contact_happening,large,42,6,0.992877808641196,0.005515908355956746,0.9996438790629647,0.0003442120301875537,0.9664497487437187,0.012376376900539682,0.005,0.01,"[0.98255, 0.994675, 0.993275, 0.999065680159592, 0.9948233630463877]","[0.9998288327334627, 0.9998021369212504, 0.9999057794863098, 0.9989661670329464, 0.9997164791408535]"
strike,contact_happening,large,42,7,0.9939768514683973,0.0029801363969610105,0.9998118033134016,7.759786371970441e-05,0.9724547738693466,0.00722160382666114,0.005,0.01,"[0.988825, 0.994475, 0.993175, 0.9977273301179264, 0.99568192722406]","[0.9997895741860918, 0.9998084182888298, 0.9999481787174704, 0.9998057647152807, 0.9997070806593348]"
strike,contact_happening,large,42,8,0.9933359069215424,0.0018098652733157575,0.999627233242587,0.00016328778725880946,0.9649371859296483,0.007562555296996899,0.003,0.01,"[0.9907, 0.993425, 0.992125, 0.9958839423246888, 0.9945455922830232]","[0.9997079164075602, 0.9997848631604074, 0.999334175036589, 0.9997399753446502, 0.9995692362637276]"
strike,contact_happening,large,42,9,0.9939238791949698,0.002002384773222815,0.9997946560440886,0.00022591190731593413,0.9684472361809044,0.009005974998134764,0.005,0.01,"[0.990675, 0.99355, 0.9934750000000001, 0.996616247064468, 0.9953031489103811]","[0.9999340456404169, 0.9997927148698815, 0.9999858669229464, 0.9993609032567305, 0.9998997495304676]"
strike,contact_happening,large,42,10,0.9941302897654101,0.0021092796269631484,0.9997538214588986,0.0003892388993659022,0.9709572864321607,0.00780367548511553,0.005,0.01,"[0.9908, 0.9937, 0.993525, 0.9970455291533042, 0.9955809196737456]","[0.9998994981187305, 0.9989777074264609, 0.9999937186324207, 0.999957706833166, 0.9999404762837152]"
strike,contact_happening,large,42,11,0.9956939799500013,0.0008205323525565338,0.9995443985423689,0.00029567340465659706,0.9754547738693468,0.008137885702532438,0.001,0.01,"[0.996725, 0.99425, 0.995525, 0.9960859574253176, 0.9958839423246888]","[0.9992148290525813, 0.9999104905119943, 0.9994456693111223, 0.9992731840958895, 0.9998778197402574]"
strike,contact_happening,large,42,12,0.9977218892199693,0.0006734274139290866,0.9994225785087518,0.0003807160676839761,0.980964824120603,0.004358564374537173,0.001,0.01,"[0.99775, 0.996575, 0.9983500000000001, 0.998434382970127, 0.9975000631297191]","[0.9998429658105163, 0.9989431599047744, 0.9992525172580573, 0.9991745000399436, 0.9998997495304676]"
strike,contact_happening,large,42,13,0.9973680479028306,0.0011030345873274878,0.9997883721232318,0.00019803342119273945,0.985467336683417,0.003342543440495559,0.003,0.01,"[0.9955499999999999, 0.9966250000000001, 0.99815, 0.9983838791949697, 0.9981313603191839]","[0.9999528897431549, 0.9995446008504972, 0.9995524525599713, 0.9998997495304676, 0.9999921679320678]"
strike,contact_happening,large,42,14,0.9970161713088054,0.0022576810367000836,0.9998118769693068,0.0003699837958729581,0.9824748743718594,0.005678881110252045,0.005,0.01,"[0.9931500000000001, 0.9959250000000001, 0.997925, 0.9994444584732709, 0.9986363980707558]","[0.9999968593162104, 0.9990719279401511, 0.9999984296581051, 0.9999921679320678, 1.0]"
strike,contact_happening,large,42,15,0.997309962248428,0.0020880299149593387,0.9999331073635883,7.889995498126485e-05,0.9844698492462312,0.003673744902142777,0.001,0.01,"[0.9932500000000001, 0.9982499999999999, 0.997575, 0.9991161839347491, 0.9983586273073912]","[0.9998445361524112, 0.9998288327334628, 1.0, 0.9999968671728271, 0.9999953007592406]"
strike,contact_happening,large,42,16,0.9970644584732709,0.0017528058300409607,0.9997842491655595,0.000258157973959841,0.9824698492462313,0.0031385681182802207,0.005,0.01,"[0.994, 0.9965749999999999, 0.997525, 0.9992171914850635, 0.9980051008812909]","[0.9993608708488011, 0.9999842965810517, 0.9996042738425011, 0.9999749373826169, 0.9999968671728271]"
strike,contact_happening,large,42,17,0.9970712216863211,0.0022165983398013595,0.999655189060331,0.0002632227045810335,0.9814673366834171,0.007166652817265333,0.005,0.01,"[0.9936, 0.995475, 0.9981749999999999, 0.9997222292366355, 0.9983838791949698]","[0.999448809994912, 0.999334175036589, 0.9995650152951301, 0.9999953007592406, 0.9999326442157829]"
strike,contact_happening,large,42,18,0.9969613224413525,0.0029345091329367203,0.9997816388034029,0.00043045802539523435,0.9849698492462313,0.004475103614419305,0.005,0.01,"[0.991275, 0.997125, 0.99825, 0.9992676952602207, 0.9988889169465417]","[1.0, 0.9999937186324206, 1.0, 0.9989207410389395, 0.9999937343456542]"
strike,contact_happening,large,42,19,0.9972357682886794,0.002078618522847202,0.9998699827620626,0.00024751529824017406,0.9829673366834172,0.005339408213340249,0.005,0.01,"[0.993425, 0.9969, 0.997975, 0.9994949622484282, 0.9983838791949698]","[0.9993750039258549, 0.9999890076067361, 1.0, 0.9999921679320678, 0.9999937343456542]"
strike,contact_happening,large,42,20,0.9969705667786167,0.002160237936206921,0.9998188037582011,0.0003210712945443793,0.9759648241206029,0.010180634784384248,0.005,0.01,"[0.9930749999999999, 0.996825, 0.997175, 0.999494962248428, 0.9982828716446555]","[0.9991771408471052, 0.9999638821364188, 0.9999952889743154, 0.9999906015184813, 0.9999671053146846]"
strike,contact_happening,large,42,21,0.9963955164011009,0.003111963155557219,0.9994825260897582,0.0004615024547491033,0.9779698492462312,0.009518636551892576,0.005,0.01,"[0.990475, 0.9968, 0.99695, 0.9994192065856923, 0.9983333754198127]","[0.9987688519544475, 0.9997628783738796, 0.9991017644361531, 0.9999075815983998, 0.9998715540859116]"
strike,contact_happening,large,42,22,0.9968932997904094,0.0018160287514156867,0.9997429791270154,6.352838168017997e-05,0.978964824120603,0.005126481602016911,0.003,0.01,"[0.99355, 0.9972, 0.9970749999999999, 0.999065680159592, 0.9975758187924547]","[0.9997707300833538, 0.9996388213641875, 0.9997063460656654, 0.9998198624375589, 0.9997791356843113]"
strike,contact_happening,large,42,23,0.9963798237418245,0.001482187801996536,0.9997046032707863,0.0002478267271120833,0.977459798994975,0.008797850543599916,0.005,0.01,"[0.99405, 0.9963, 0.9966499999999999, 0.9987121537334915, 0.9961869649756319]","[0.9998319734172525, 0.9997047757237706, 0.9998947870930459, 0.9998652884315657, 0.9992261916882963]"
