task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening_native,videomae_large,123,0,0.9976214126553733,0.002298311700225411,0.9989032978462233,0.0009517394419075475,0.9927487847871375,0.0030253428473440342,0.0001,0.01,"[1.0, 0.999516765550753, 0.9946038819834089, 0.9988992993100485, 0.9950871164326559]","[0.997697924776504, 0.9987113596160186, 0.9981072048385936, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,1,0.9985717737388923,0.0014316335010501632,0.9997738194313941,0.00045236113721176536,0.9937850542171892,0.002077214365418162,0.001,0.01,"[1.0, 0.999516765550753, 0.9971542860211012, 0.9996509973422105, 0.9965368197803968]","[0.9988690971569706, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,2,0.9989637305699481,0.0012361691291735489,0.9997657958930775,0.0004397065387013612,0.9948213236472411,0.002320159158323625,0.001,0.01,"[1.0, 0.9999731536417085, 0.9977180595452226, 0.9999194609251255, 0.9972079787376842]","[0.998887554028296, 0.9999414254370917, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,3,0.9994738113774865,0.0006052291027823521,0.9998328814196353,0.0003342371607291561,0.9948213236472411,0.002320159158323625,0.001,0.01,"[1.0, 1.0, 0.9989529920266316, 0.9998657682085424, 0.998550296652259]","[0.9991644070981771, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,4,0.9996724744288435,0.00039652716449057685,0.9998241563531906,0.0003516872936186299,0.9948213236472411,0.002320159158323625,0.003,0.01,"[1.0, 1.0, 0.9995436119090445, 0.9998657682085424, 0.9989529920266316]","[0.9991207817659534, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,5,0.9997476442320601,0.0002849257518091034,0.9999942951488631,1.1409702273912358e-05,0.995339458362267,0.001941543034974982,0.001,0.01,"[1.0, 1.0, 0.999731536417085, 0.999785229133668, 0.9992214556095466]","[0.9999714757443152, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,6,0.9998603989368842,0.00011440455181434362,0.9999822368475874,2.1762698249221808e-05,0.995339458362267,0.001941543034974982,0.0003,0.01,"[1.0, 1.0, 0.9997583827753765, 0.9997583827753765, 0.999785229133668]","[0.9999546967703831, 0.9999564874675538, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,7,0.9998979838384923,9.361645023577124e-05,0.9999909506340543,1.10967254058673e-05,0.9963730569948186,0.0026419790225869445,0.0003,0.01,"[1.0, 1.0, 0.9997583827753765, 0.999892614566834, 0.999838921850251]","[0.999976509436495, 0.9999782437337769, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,8,0.9999248301967837,7.08255575090583e-05,0.9999922929519689,9.569494651471787e-06,0.9963730569948186,0.0026419790225869445,0.0003,0.01,"[1.0, 1.0, 0.9999194609251255, 0.9998120754919595, 0.999892614566834]","[0.9999832210260678, 0.9999782437337769, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,9,0.9999570458267335,3.641617215565381e-05,0.9998979890446359,0.00019903923084197407,0.9948213236472411,0.002840382782144475,0.003,0.01,"[1.0, 1.0, 0.9999463072834169, 0.9999194609251255, 0.9999194609251254]","[0.9994999865768208, 0.9999899586463586, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,10,0.9999677843700502,3.130796474990703e-05,0.9999467096750717,6.46703472973618e-05,0.9958549222797928,0.0026419790225869445,0.001,0.01,"[1.0, 1.0, 0.9999463072834169, 0.9999731536417085, 0.9999194609251255]","[0.9998624124137561, 0.9998728095205421, 1.0, 0.9999983264410598, 1.0]"
strike,contact_happening_native,videomae_large,123,11,0.9999731536417084,2.940871204623572e-05,0.999966780234686,6.395875778143905e-05,0.9968911917098445,0.0019386825838207018,0.0001,0.01,"[1.0, 1.0, 0.9999194609251255, 0.9999731536417085, 0.9999731536417085]","[0.999838921850251, 0.9999949793231793, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,12,0.9999785229133668,2.6303951706476266e-05,0.9999651457218226,4.2699041663208716e-05,0.9963730569948186,0.0026419790225869445,0.0001,0.01,"[1.0, 1.0, 0.9999463072834169, 1.0, 0.9999463072834169]","[0.9999144272329458, 0.9999113013761675, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,13,0.9999677843700502,3.94559275596721e-05,0.9999731918200947,3.094717710130982e-05,0.9958549222797928,0.0026419790225869445,0.0001,0.01,"[1.0, 1.0, 0.999892614566834, 0.9999731536417085, 0.9999731536417085]","[0.999939595693844, 0.9999313840834504, 1.0, 0.9999949793231793, 1.0]"
strike,contact_happening_native,videomae_large,123,14,0.9999624150983919,6.261592949979503e-05,0.9999489979930803,9.618369179451594e-05,0.9963730569948186,0.0020725388601036342,0.0003,0.01,"[1.0, 1.0, 0.999838921850251, 1.0, 0.9999731536417085]","[0.9997567048779833, 0.9999933057642391, 1.0, 0.9999949793231793, 1.0]"
strike,contact_happening_native,videomae_large,123,15,0.9999624150983919,6.261592949979503e-05,0.999957721324144,8.043876655100189e-05,0.9974093264248705,0.00163848583428414,0.001,0.01,"[1.0, 1.0, 0.999838921850251, 1.0, 0.9999731536417085]","[0.9997969744154206, 0.9999916322052987, 1.0, 1.0, 1.0]"
strike,contact_happening_native,videomae_large,123,16,0.9999677843700502,5.205702013389381e-05,0.9999785315902727,3.4787092287766544e-05,0.9968911917098445,0.0019386825838207018,0.0003,0.01,"[1.0, 1.0, 0.9998657682085424, 1.0, 0.9999731536417085]","[0.9999093935407661, 0.9999899586463585, 1.0, 0.9999933057642391, 1.0]"
strike,contact_happening_native,videomae_large,123,17,0.9999731536417084,4.1590199427725906e-05,0.9999567163210891,8.075413453142371e-05,0.9968911917098445,0.0019386825838207018,0.001,0.01,"[1.0, 1.0, 0.999892614566834, 1.0, 0.9999731536417085]","[0.9997952965180273, 0.9999933057642391, 1.0, 0.9999949793231793, 1.0]"
strike,contact_happening_native,videomae_large,123,18,0.9999892614566834,1.3151975853238133e-05,0.9999849015265327,2.7714413782390587e-05,0.9968911917098445,0.0019386825838207018,0.0003,0.01,"[1.0, 1.0, 0.9999731536417085, 0.9999731536417085, 1.0]","[0.9999295283094848, 0.9999966528821195, 1.0, 0.9999983264410598, 1.0]"
