task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening,videomae_large,2024,0,0.9042290829777025,0.004707753829178389,0.9737537292272946,0.0010858242420236685,0.812643216080402,0.011069858473442893,0.005,0.01,"[0.898675, 0.900125, 0.910775, 0.9030074998106108, 0.9085629150779021]","[0.975293810968524, 0.9734941991570405, 0.974050100187813, 0.9739959680514285, 0.9719345677716671]"
strike,contact_happening,videomae_large,2024,1,0.946325895558193,0.0024387831857033996,0.9962211826877818,0.00029665991877511795,0.8787412060301507,0.00840645244535965,0.005,0.01,"[0.9422250000000001, 0.947125, 0.9496, 0.9472235549607334, 0.9454559228302316]","[0.9965766546692546, 0.9957726396190979, 0.9963772212486102, 0.9963972487511769, 0.9959821491507689]"
strike,contact_happening,videomae_large,2024,2,0.9688997614959218,0.00402019109663823,0.9996865992371667,6.182743672433813e-05,0.9117989949748744,0.014862191128269163,0.005,0.01,"[0.96425, 0.9668749999999999, 0.97615, 0.9696977349056842, 0.967526072573925]","[0.9996435323898719, 0.9998021369212505, 0.9996922129886119, 0.999627193566426, 0.9996679203196738]"
strike,contact_happening,videomae_large,2024,3,0.9775897486174591,0.005568492392001065,0.9999661348257272,2.0988536001059766e-05,0.9318668341708543,0.007454315293474857,0.005,0.01,"[0.96835, 0.97505, 0.9847750000000001, 0.9791671927476578, 0.980606550339638]","[0.999979585555367, 0.9999733041877877, 0.9999858669229464, 0.9999655389010982, 0.9999263785614371]"
strike,contact_happening,videomae_large,2024,4,0.9859903528951287,0.004287910509242397,0.999830207641892,0.00018001991703511374,0.9483994974874372,0.0019336060489971248,0.001,0.01,"[0.9809, 0.9813750000000001, 0.9875499999999999, 0.9921971667382137, 0.9879295977374308]","[0.9995053423031262, 0.9999937186324207, 0.9998885057254665, 0.9997791356843113, 0.9999843358641355]"
strike,contact_happening,videomae_large,2024,5,0.9899442570894674,0.00376172689949627,0.9999315354503701,0.00013066491988439696,0.9574271356783918,0.00562617405517545,0.005,0.01,"[0.984125, 0.990875, 0.987625, 0.9950758819221737, 0.9920204035251635]","[0.9999952889743156, 0.9999968593162104, 0.9996702282020841, 0.9999953007592406, 1.0]"
strike,contact_happening,videomae_large,2024,6,0.9919937910658823,0.003488232622669569,0.999970176074585,3.24181179713212e-05,0.9644296482412061,0.0040047256245082435,0.003,0.01,"[0.985725, 0.9914000000000001, 0.993475, 0.996186964975632, 0.9931819903537789]","[0.9999670228202084, 1.0, 0.9999089201700994, 0.999985902277722, 0.9999890351048949]"
strike,contact_happening,videomae_large,2024,7,0.992983123532234,0.0035346180762747944,0.9999635719963482,6.424711982150036e-05,0.9694447236180904,0.003270797102236384,0.005,0.01,"[0.98655, 0.993725, 0.9930999999999999, 0.9973485518042474, 0.9941920658569228]","[0.9999952889743154, 0.9999952889743154, 0.999835114101042, 0.9999984335864135, 0.9999937343456542]"
strike,contact_happening,videomae_large,2024,8,0.992542065604404,0.004021333530153153,0.9991229378294755,0.001357118653438516,0.9709522613065327,0.005099848956816176,0.005,0.01,"[0.985025, 0.9929500000000001, 0.993725, 0.99712128481604, 0.9938890432059796]","[0.9999858669229464, 0.9999780152134722, 0.9996686578601893, 0.9964301434364922, 0.9995520057142768]"
strike,contact_happening,videomae_large,2024,9,0.9929427078861645,0.004044712914804524,0.9997789162884105,0.00025425713571577047,0.9709572864321607,0.007800447010349702,0.001,0.01,"[0.9867499999999999, 0.9904000000000001, 0.993725, 0.9984596348577056, 0.9953789045731168]","[0.9994283955502792, 0.9999968593162104, 0.9995100533288108, 0.9999780702097898, 0.9999812030369626]"
