task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
peg_insert,large,ee_direction_3d,0,2024,0.1579095230311319,0.02475086324623002,0.3347801469547462,0.04024843915153251,0.003,0.01,"[0.11286711624840429, 0.17007669116889312, 0.15701777158896568, 0.1622377853510929, 0.18734825079830353]","[0.3757591580201911, 0.28488465011169917, 0.3663281012488552, 0.28686195913251233, 0.36006686626047335]",3,2500
peg_insert,large,ee_direction_3d,1,2024,0.1710691309945182,0.01785352871585131,0.3809674513200508,0.018009176831395326,0.003,0.01,"[0.14249878150435347, 0.16663935070883173, 0.16775023691314217, 0.1958356017460211, 0.1826216841002426]","[0.3933940119340784, 0.3454043655354403, 0.3899369322697337, 0.38475737266390264, 0.3913445741970989]",3,2500
peg_insert,large,ee_direction_3d,2,2024,0.1580622188321911,0.017189160759977742,0.35825178177149636,0.038253527935881,0.003,0.1,"[0.14033090692749806, 0.15674420996114014, 0.1392447553071996, 0.17028159360238637, 0.1837096283627313]","[0.3439650827892574, 0.33798557175927635, 0.3405991701606783, 0.3342171803858627, 0.434491903762407]",3,2500
peg_insert,large,ee_direction_3d,3,2024,0.16483276706718838,0.020338062932056006,0.4064109988217924,0.04628287090714276,0.003,0.1,"[0.1493362429678987, 0.17141979054239243, 0.1475101647564242, 0.20182892237347283, 0.15406871469575378]","[0.4874916047148191, 0.3670718445508474, 0.37286946200059723, 0.4290527036042071, 0.3755693792384912]",3,2500
peg_insert,large,ee_direction_3d,4,2024,0.18362536479554806,0.013038097965252899,0.3901553889595412,0.005175030009663433,0.003,0.1,"[0.18220749409264592, 0.19647866584512164, 0.18550165853963296, 0.1941541006536449, 0.15978490484669483]","[0.38973364020422985, 0.3872985437653924, 0.3870718668384192, 0.38641478272930274, 0.4002581112603619]",3,2500
peg_insert,large,ee_direction_3d,5,2024,0.2229670092307261,0.025297827694005404,0.47182471217576527,0.05693171950261841,0.003,0.01,"[0.23625145035315243, 0.24073790499142, 0.22657028052581996, 0.23799528689345684, 0.17328012338978116]","[0.5473580222280024, 0.3986089407094543, 0.48259552274206685, 0.5149726421372394, 0.41558843306206317]",3,2500
peg_insert,large,ee_direction_3d,6,2024,0.25235756595653347,0.025831133490315877,0.4624938879917724,0.04489746489776783,0.003,0.1,"[0.2482249924016765, 0.2960164903407395, 0.2348880287345263, 0.26212123938061827, 0.22053707892510677]","[0.4391010857058475, 0.431596725834399, 0.44157411061691976, 0.5516310993555285, 0.4485664184461674]",3,2500
peg_insert,large,ee_direction_3d,7,2024,0.388874689375997,0.027373814589839302,0.5808372737124647,0.04344476538510303,0.003,0.01,"[0.4177244688001026, 0.4059623639841502, 0.33780689009818665, 0.3906493288202091, 0.3922303951773365]","[0.6453161351155461, 0.5307523766187718, 0.5944650846993569, 0.533713771138608, 0.5999390009900412]",3,2500
peg_insert,large,ee_direction_3d,8,2024,0.4157662949826446,0.019833448264719715,0.5773776020822776,0.03393463698548264,0.001,0.01,"[0.4397179023002774, 0.4295499716373671, 0.38577704552034686, 0.4235937799924573, 0.40019277546277443]","[0.589024494221589, 0.5099257144032623, 0.5990936864844336, 0.5912775834754698, 0.5975665318266332]",3,2500
peg_insert,large,ee_direction_3d,9,2024,0.4310006384101742,0.01868589943108546,0.612224356686944,0.005401672588948791,0.001,0.01,"[0.45854746879123687, 0.4463083861488515, 0.41352048644159456, 0.42622457944680125, 0.4104022712223865]","[0.6069559591661836, 0.604708403699161, 0.6177154014407542, 0.6143062339996793, 0.6174357851289412]",3,2500
peg_insert,large,ee_direction_3d,10,2024,0.43396502788252944,0.020681478204503338,0.6133815492784376,0.03946773583202365,0.003,0.01,"[0.4733443376658727, 0.43451374297933554, 0.4226571864408015, 0.4146468502889028, 0.42466302203773454]","[0.6302562680972056, 0.5347895569592136, 0.6383031699552764, 0.6279710784266221, 0.6355876729538702]",3,2500
peg_insert,large,ee_direction_3d,11,2024,0.5370475681515611,0.018392085362186467,0.6637099492247669,0.02907322978493215,0.003,0.01,"[0.5480165771187666, 0.5587291502609993, 0.5235484532336366, 0.5082973908853243, 0.5466462692590783]","[0.6319629328871224, 0.6320643665024989, 0.7081826954771779, 0.6676861759602896, 0.6786535752967457]",3,2500
peg_insert,large,ee_direction_3d,12,2024,0.5550308165209218,0.01783526074099904,0.6842564709867313,0.02006488182626821,0.001,0.01,"[0.5712162773117475, 0.5775390858860838, 0.5413622644759009, 0.5298309855878511, 0.5552054693430257]","[0.7055575996679415, 0.6827819139921306, 0.7018529919956884, 0.6490040128288695, 0.6820858364490265]",3,2500
peg_insert,large,ee_direction_3d,13,2024,0.550848078391529,0.019237902111649413,0.6851743520370746,0.022343313734192464,0.003,0.01,"[0.5731633834334977, 0.5727702266078969, 0.526288672023237, 0.5348790565417674, 0.5471390533512462]","[0.7163264242018241, 0.7033492314067207, 0.6847374601878106, 0.660853137314739, 0.6606055070742785]",3,2500
peg_insert,large,ee_direction_3d,14,2024,0.5501379347356036,0.016284012941293814,0.7050821448208827,0.015056996166356145,0.005,0.01,"[0.5592686250114622, 0.5651709790499604, 0.540838730153389, 0.5224630027994918, 0.5629483366637144]","[0.718207626706673, 0.6953966704629733, 0.7142068914073875, 0.6800210370258182, 0.7175784985015614]",3,2500
peg_insert,large,ee_direction_3d,15,2024,0.5429691155160843,0.02325091956665702,0.6903806244185855,0.0156936951135825,0.003,0.01,"[0.5504173849649757, 0.5608308772829405, 0.5204421062262071, 0.5114348749221882, 0.5717203341841098]","[0.6910629148329762, 0.7090909343721665, 0.6779487167803779, 0.6681634004635372, 0.7056371556438699]",3,2500
peg_insert,large,ee_direction_3d,16,2024,0.5405642233905013,0.018861181531585777,0.6683850520697247,0.023040753215098027,0.001,0.01,"[0.5434320491573622, 0.5587007565969512, 0.5322345546590888, 0.5088117713946998, 0.5596419851444042]","[0.6921638729954578, 0.668430913744005, 0.6909717363969187, 0.6293398402551608, 0.6610188969570809]",3,2500
peg_insert,large,ee_direction_3d,17,2024,0.5445473949869415,0.019270522370872064,0.6775684129949202,0.028506595966397194,0.003,0.01,"[0.5552733437254209, 0.5575526072717807, 0.53463211364871, 0.5113827267727549, 0.5638961835160412]","[0.6797783362984076, 0.6978204776003814, 0.7011698029333018, 0.6226764259732342, 0.6863970221692759]",3,2500
peg_insert,large,ee_direction_3d,18,2024,0.5498635608554517,0.01705602419418418,0.6826272366311621,0.014782337672409353,0.001,0.01,"[0.562030230664919, 0.5630741493245174, 0.5323566940305935, 0.5259968525446306, 0.5658598777125982]","[0.6868051890503599, 0.689256833613453, 0.6900439689693645, 0.6533891106711324, 0.6936410808515004]",3,2500
peg_insert,large,ee_direction_3d,19,2024,0.5517780886524696,0.026383366442246273,0.6872403431444825,0.014381496259629149,0.005,0.01,"[0.5634888566482694, 0.5855248921857807, 0.5248208595713251, 0.5169682054457334, 0.5680876294112391]","[0.6950990048015182, 0.6959187822564776, 0.689636608857995, 0.658904570996783, 0.6966427488096391]",3,2500
peg_insert,large,ee_direction_3d,20,2024,0.5537115204765012,0.02753446672623519,0.6853902811322257,0.021480593758530002,0.003,0.01,"[0.570491428843807, 0.570253673549849, 0.5332017302730381, 0.5103405536324304, 0.5842702160833813]","[0.6949874057317089, 0.694738250287952, 0.7018852290612485, 0.6428961949322667, 0.6924443256479523]",3,2500
peg_insert,large,ee_direction_3d,21,2024,0.54927019761761,0.01711612645188895,0.6779903611729917,0.0030255487577533105,0.003,0.01,"[0.5633386455429343, 0.5583012328570298, 0.5170653447807676, 0.5465180322024015, 0.5611277327049168]","[0.6748234263529098, 0.6771973402734088, 0.6837380348302664, 0.67758519839976, 0.6766078060086137]",3,2500
peg_insert,large,ee_direction_3d,22,2024,0.5379264198410916,0.019144028834995334,0.6628183650223544,0.003513987453900367,0.003,0.01,"[0.5574018264583946, 0.5468649114923875, 0.5075271147866982, 0.5239659891741424, 0.5538722572938353]","[0.6582642366365374, 0.6623520374219873, 0.6675361908627622, 0.6660093609323117, 0.6599299992581731]",3,2500
peg_insert,large,ee_direction_3d,23,2024,0.538280047041825,0.01563397342912274,0.6529610868775038,0.0029661074530735344,0.003,0.01,"[0.5510877830001863, 0.5488658915670144, 0.5125234089579949, 0.5276334104045548, 0.5512897412793742]","[0.6493752199906889, 0.6523602349556001, 0.6565207833704813, 0.6562663771999806, 0.6502828188707677]",3,2500
