task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,ee_accel_magnitude,0,0.3468435037291499,0.11164765145919903,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,1,0.5048404360617967,0.0826932619918684,0.0003,0.8,1,1500
push,large,ee_accel_magnitude,2,0.5306639953413876,0.08424291075433595,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,3,0.5720713906206399,0.06501753832814193,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,4,0.5925528025730731,0.0391068152715562,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,5,0.6211007253917193,0.0280494599503101,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,6,0.6283644553760093,0.02720206284978005,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,7,0.6431423397539499,0.02629776005953871,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,8,0.6733608191423734,0.014566645950861913,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,9,0.6873053736726007,0.01096116042885942,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,10,0.67194993607344,0.014778081252406086,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,11,0.6755864601762044,0.009331849138581913,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,12,0.6824931541481896,0.01993214495139597,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,13,0.6878952018242119,0.018751013736975658,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,14,0.6942768117337406,0.017759807455105484,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,15,0.6714892489810732,0.024605661912696853,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,16,0.6932577302787956,0.02275608859135464,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,17,0.69315660778721,0.023984238102149863,0.0003,0.8,1,1500
push,large,ee_accel_magnitude,18,0.6894583857962538,0.02225989651021847,0.0003,0.8,1,1500
push,large,ee_accel_magnitude,19,0.6793982411024133,0.03432699102932622,0.0003,0.8,1,1500
push,large,ee_accel_magnitude,20,0.6816866989166815,0.03036930902690364,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,21,0.6867068525427061,0.0335512192203684,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,22,0.6794863489282774,0.026686573710750568,0.0001,0.8,1,1500
push,large,ee_accel_magnitude,23,0.6878612823411867,0.02582940185386235,0.0001,0.8,1,1500
