task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_direction_3d,0,42,0.5815591412691224,0.05328817926998202,0.9998551115376504,6.836216929621758e-06,0.0001,0.8,"[0.5668201652446114, 0.6513699883364708, 0.5449281123404176, 0.6339645827119924, 0.5107128577121198]","[0.999857054778265, 0.9998526761726202, 0.999843508816489, 0.9998640046887739, 0.9998583132321037]",3,1500
push,large,ee_direction_3d,1,42,0.6074113364626811,0.04851693124066907,0.9993465135505677,0.0010286084398100073,0.0001,0.8,"[0.5939497783453183, 0.6819748191145362, 0.5784702799410053, 0.6396723501211841, 0.5429894547913617]","[0.9998618510576801, 0.9998634827933323, 0.9998517096862122, 0.9972893200309022, 0.9998662041847114]",3,1500
push,large,ee_direction_3d,2,42,0.6320305370310593,0.053401404197752314,0.9996809558905225,0.00025369438829216643,0.0001,0.8,"[0.6220167692799395, 0.707780391910405, 0.6025005837605003, 0.6726334050152405, 0.555221535189211]","[0.9998822261531574, 0.9994901783803716, 0.9998738120134288, 0.9998850833245928, 0.9992734795810619]",3,1500
push,large,ee_direction_3d,3,42,0.654040997937606,0.04366959860112129,0.9998567136748292,4.182195050676922e-06,0.0001,0.8,"[0.6219851679979493, 0.7185670421637693, 0.6204931546490959, 0.6946918066664871, 0.6144678182107279]","[0.9998574122094995, 0.999863402670229, 0.9998535199588886, 0.9998580247955724, 0.9998512087399565]",3,1500
push,large,ee_direction_3d,4,42,0.6676630920345388,0.046402572777066116,0.9998169299733324,9.728550468977813e-06,0.0001,0.8,"[0.6383735412257115, 0.7348676485668195, 0.6294558956023244, 0.7121478333394681, 0.6234705414383704]","[0.9998181268041244, 0.999825078207988, 0.9997997717381907, 0.999814493471562, 0.9998271796447971]",3,1500
push,large,ee_direction_3d,5,42,0.6843731920220025,0.03395827294880851,0.9998100248755014,3.0965002527908636e-06,0.0001,0.8,"[0.6685223055679616, 0.7415009965218176, 0.6629057075697419, 0.7026990007395268, 0.6462379497109647]","[0.9998138221478347, 0.9998084451260786, 0.9998083020291124, 0.9998060401496801, 0.9998135149248012]",3,1500
push,large,ee_direction_3d,6,42,0.6948651925554191,0.03443064727571918,0.9994226194508979,0.0007843076284074788,0.0001,0.8,"[0.6579138429005913, 0.7376731146367606, 0.6866615543815533, 0.7325035913056515, 0.6595738595525387]","[0.9998259419080567, 0.9998140282043684, 0.99980409002662, 0.9978540652590131, 0.9998149718564312]",3,1500
push,large,ee_direction_3d,7,42,0.6992188079539559,0.03511511787989243,0.9991319336263013,0.0009157181553054988,0.0001,0.8,"[0.6565282917269899, 0.7428357199056537, 0.6938581492438602, 0.7360904797606347, 0.6667813991326406]","[0.9998083063119854, 0.9988161621980525, 0.9997849710094137, 0.9997860013858924, 0.9974642272261625]",3,1500
push,large,ee_direction_3d,8,42,0.7155808764802455,0.03369471140027035,0.9996401291796342,0.00013082926409803595,0.0001,0.8,"[0.6770718914324582, 0.765767400430017, 0.7172138327614758, 0.7370662363708713, 0.6807850214064048]","[0.9994107173427402, 0.9997478528833516, 0.9997380468648421, 0.9997277669755146, 0.9995762618317225]",3,1500
push,large,ee_direction_3d,9,42,0.7179054126822,0.03715279107263431,0.9996412330381563,0.00020468597389618486,0.0001,0.8,"[0.6946402192338357, 0.781243063345576, 0.7087273706505592, 0.732351793904779, 0.6725646162762505]","[0.9997072608977593, 0.9992336783310188, 0.9997478211165092, 0.9997531305776223, 0.9997642742678722]",3,1500
push,large,ee_direction_3d,10,42,0.7225476430474967,0.030169429945766955,0.9995539313685585,0.0002865385930427475,0.0001,0.8,"[0.7067749360037641, 0.7685749702721423, 0.7193657685553538, 0.7390702811023624, 0.6789522593038612]","[0.9996787213714265, 0.9997669629206155, 0.9997208448572397, 0.9996132752474945, 0.9989898524460166]",3,1500
push,large,ee_direction_3d,11,42,0.7307642812171224,0.027918623053841685,0.9993378830528294,0.0006958292360874115,0.0001,0.8,"[0.7142083688866172, 0.7735437892633181, 0.7316573012469444, 0.7438950171153973, 0.6905169295733348]","[0.9979815176010252, 0.9997777534244492, 0.9997675195123116, 0.9993756727503866, 0.9997869519759749]",3,1500
push,large,ee_direction_3d,12,42,0.7260024394970636,0.025079071008082043,0.9992236308345281,0.0005987637628852522,0.0001,0.8,"[0.7046193350507179, 0.7678693983706791, 0.7274681888412333, 0.7336243932161828, 0.6964308820065046]","[0.9997321249456698, 0.9992096821605447, 0.9997179808916646, 0.9993618323835322, 0.9980965337912293]",3,1500
