task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,ee_direction_3d,0,0.6522307024235736,0.04864006211439496,0.0001,0.8,3,1500
push,large,ee_direction_3d,1,0.6773935880665161,0.056397048678868404,0.0001,0.8,3,1500
push,large,ee_direction_3d,2,0.705540002588898,0.041395773890661014,0.0001,0.8,3,1500
push,large,ee_direction_3d,3,0.7468990651598577,0.02866813907679943,0.0001,0.8,3,1500
push,large,ee_direction_3d,4,0.7668159723414806,0.02916583208741627,0.0001,0.8,3,1500
push,large,ee_direction_3d,5,0.7814272148110823,0.02172802876593163,0.0001,0.8,3,1500
push,large,ee_direction_3d,6,0.7813032847381437,0.018888889874701224,0.0001,0.8,3,1500
push,large,ee_direction_3d,7,0.7867492648730628,0.025006478257700884,0.0001,0.8,3,1500
push,large,ee_direction_3d,8,0.8056497633228374,0.020753014278783063,0.0001,0.8,3,1500
push,large,ee_direction_3d,9,0.8097742757992916,0.025187405153497582,0.0001,0.8,3,1500
push,large,ee_direction_3d,10,0.8084883855907435,0.02364411123880964,0.0001,0.8,3,1500
push,large,ee_direction_3d,11,0.8171994884262801,0.021556389797569082,0.0001,0.8,3,1500
push,large,ee_direction_3d,12,0.8129012981332826,0.019768931625080952,0.0001,0.8,3,1500
push,large,ee_direction_3d,13,0.8145265465112711,0.019403482832385247,0.0001,0.8,3,1500
push,large,ee_direction_3d,14,0.8078350135685252,0.0178275646856855,0.0001,0.8,3,1500
push,large,ee_direction_3d,15,0.8035401472621391,0.021999918228477237,0.0001,0.8,3,1500
push,large,ee_direction_3d,16,0.8107425830550528,0.0218411665348714,0.0001,0.8,3,1500
push,large,ee_direction_3d,17,0.8069249009897848,0.023041251301783677,0.0001,0.8,3,1500
push,large,ee_direction_3d,18,0.8157878875329914,0.02176559529056819,0.0001,0.8,3,1500
push,large,ee_direction_3d,19,0.8149840941855189,0.02144864010811982,0.0001,0.8,3,1500
push,large,ee_direction_3d,20,0.8153405365995366,0.023078645871705317,0.0001,0.8,3,1500
push,large,ee_direction_3d,21,0.812622218628672,0.021765267117724207,0.0001,0.8,3,1500
push,large,ee_direction_3d,22,0.8112970740811857,0.022664662244315823,0.0001,0.8,3,1500
push,large,ee_direction_3d,23,0.812807121301565,0.021634897980669917,0.0001,0.8,3,1500
