task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_direction_3d,0,123,0.5360177370311291,0.12768811995363402,0.9912654420816093,0.011170381486659355,0.0001,0.8,"[0.5178963657711464, 0.6879840942598803, 0.46248400741722717, 0.6653506489565322, 0.3463735687508598]","[0.9713599913165509, 0.9995413767019772, 0.9994984930687161, 0.9995065307816645, 0.9864208185391381]",3,1500
push,large,ee_direction_3d,1,123,0.5285134302479416,0.14909037688403426,0.9906812893125865,0.007419026175362023,0.0001,0.8,"[0.5292214960313548, 0.7017470706873229, 0.40727846229919773, 0.6824963986538598, 0.32182372356797295]","[0.9815340844356102, 0.9995171600532664, 0.9862091402758814, 0.9994771235556021, 0.9866689382425725]",3,1500
push,large,ee_direction_3d,2,123,0.5394386962736373,0.13651002561086487,0.9801774572864106,0.01594852683866494,0.0001,0.8,"[0.5424808142930433, 0.7014647145942914, 0.43481140524589224, 0.6737476516137328, 0.3446888956212265]","[0.965607487463951, 0.9994880270635008, 0.9647588898070885, 0.9995138282608621, 0.9715190538366513]",3,1500
push,large,ee_direction_3d,3,123,0.5340618962407303,0.13333678978551172,0.978898260613027,0.020462595785992695,0.0001,0.8,"[0.5259873415171932, 0.6969284586670373, 0.4286624895251917, 0.6674382570596481, 0.35129293443458154]","[0.9656625343395936, 0.9995139090232656, 0.9462280954825061, 0.9988324779779847, 0.9842542862417851]",3,1500
push,large,ee_direction_3d,4,123,0.5573542941380979,0.11760052206234302,0.9783151064586061,0.030178458067159006,0.0001,0.8,"[0.5444485263950241, 0.7000811473761278, 0.48873017553436315, 0.6717214901444317, 0.38179013124054295]","[0.9711156281071913, 0.9994924380397664, 0.9993946054302899, 0.9994809425433472, 0.9220919181724361]",3,1500
push,large,ee_direction_3d,5,123,0.5590218425031743,0.11508142568747648,0.9879350100093142,0.014006781504125966,0.0001,0.8,"[0.5524098340464323, 0.7030519867896092, 0.5021853670390977, 0.65828957464366, 0.3791724499970728]","[0.9710236755137133, 0.999297242383863, 0.9993803434352382, 0.9994346909455526, 0.9705390977682036]",3,1500
push,large,ee_direction_3d,6,123,0.5562147996064317,0.11573154497906926,0.9830358010804596,0.015314033214937343,0.0001,0.8,"[0.5606659561612121, 0.7085602164555616, 0.49763444275082525, 0.6403079354720019, 0.37390544719255825]","[0.9660153025113233, 0.9994626671385227, 0.999372704347528, 0.9857054908350931, 0.9646228405698313]",3,1500
push,large,ee_direction_3d,7,123,0.5609661822301485,0.11961421953408728,0.994675512626175,0.006042260826817659,0.0001,0.8,"[0.5502442090658888, 0.7045496774826111, 0.5132578246315778, 0.6682311974478576, 0.3685480025228074]","[0.9912568662153072, 0.9994710150105877, 0.9994212475289342, 0.9989147491483825, 0.9843136852276635]",3,1500
push,large,ee_direction_3d,8,123,0.5511050635123758,0.12567947169676302,0.9883748232674036,0.011093306474565282,0.0001,0.8,"[0.5482353415755133, 0.7015450150873452, 0.4694167575172269, 0.6722631614352825, 0.3640650419465101]","[0.985632442974166, 0.999474779956543, 0.9693751304458791, 0.9994821542960743, 0.9879096086643553]",3,1500
push,large,ee_direction_3d,9,123,0.5562476974722904,0.11947428086785662,0.9914638953719657,0.009808944039137152,0.0001,0.8,"[0.5498615987631386, 0.6998369679237939, 0.48343750022181586, 0.6712539712285333, 0.3768484492241706]","[0.981208591938591, 0.9994689192340158, 0.9993568105296441, 0.9994501555314461, 0.9778349996261311]",3,1500
