task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,videomae_large,ee_direction_3d,0,42,0.6016894714876624,0.07283390130146895,0.999356482178546,0.0007098050145276774,0.0001,0.8,"[0.6089166592930289, 0.683244879408877, 0.538679688339335, 0.676888300575115, 0.5007178298219566]","[0.9997890456949525, 0.9995038125849581, 0.9997660503921604, 0.9979526211505484, 0.9997708810701105]",3,1500
push,videomae_large,ee_direction_3d,1,42,0.6243482017952012,0.05937434927226801,0.9986185532305013,0.001548909438154782,0.0001,0.8,"[0.6236136970772193, 0.6961140965759138, 0.5464021014870988, 0.6842687415807267, 0.5713423722550478]","[0.9993705095085789, 0.9997437496377641, 0.998557881671374, 0.9997731522345857, 0.995647473100204]",3,1500
push,videomae_large,ee_direction_3d,2,42,0.6532169222646833,0.048880964893227866,0.9996065013075262,0.0002882712783445645,0.0001,0.8,"[0.6407764506892877, 0.7123008330482948, 0.5940855102548521, 0.7080745445063614, 0.6108472728246205]","[0.9997536814838788, 0.9997605863731317, 0.9997575561514985, 0.9997303292228416, 0.9990303533062805]",3,1500
push,videomae_large,ee_direction_3d,3,42,0.7399459001058691,0.021005104421559284,0.9997350741414079,4.053835028988159e-05,0.0001,0.8,"[0.7244544431837588, 0.7725822674967233, 0.7270833251626008, 0.7568617430191931, 0.7187477216670695]","[0.999733489366148, 0.9996573369609502, 0.9997553805910726, 0.9997675349951481, 0.9997616287937207]",3,1500
push,videomae_large,ee_direction_3d,4,42,0.7558345942599383,0.01709071555709298,0.9988659100820568,0.0016593374991692158,0.0001,0.8,"[0.7487680596829014, 0.7868793458123241, 0.7443520330092834, 0.7604686403749769, 0.7387048924202058]","[0.9997714434145453, 0.9997598733590981, 0.9997661422822889, 0.9994773154044619, 0.9955547759498901]",3,1500
push,videomae_large,ee_direction_3d,5,42,0.7766619830445506,0.012621433544180903,0.9976942010517936,0.0014685745581866872,0.0001,0.8,"[0.7672984617479657, 0.8010956820248865, 0.7743669438844871, 0.773806584483683, 0.76674224308173]","[0.9987798355693963, 0.998365685774772, 0.9993061101755649, 0.9953461226140402, 0.9966732511251946]",3,1500
push,videomae_large,ee_direction_3d,6,42,0.7951008395564101,0.02073126366833838,0.9981258454128012,0.0015950345192195512,0.0001,0.8,"[0.7752523195624974, 0.8349477596071676, 0.7900710198403182, 0.7837527819327926, 0.7914803168392748]","[0.9954143485876925, 0.9997069272164523, 0.9997785878682138, 0.9978463747703005, 0.9978829886213467]",3,1500
push,videomae_large,ee_direction_3d,7,42,0.8011836007780502,0.024160147263690205,0.9991152400854475,0.00130178317640415,0.0001,0.8,"[0.775547210159071, 0.8449915942541971, 0.8043480750224223, 0.7832846987810433, 0.7977464256735174]","[0.9965142258483447, 0.9998111295267667, 0.9997854809767623, 0.999655325607617, 0.9998100384677469]",3,1500
push,videomae_large,ee_direction_3d,8,42,0.8068626788820377,0.025778124455207482,0.9997443883819578,0.00012004531052545154,0.0001,0.8,"[0.7752326441964644, 0.8509737978648418, 0.8172696927695968, 0.7936764856077498, 0.7971607739715351]","[0.9998072775889122, 0.9997928930929534, 0.9998037975646846, 0.9998133084486451, 0.9995046652145935]",3,1500
push,videomae_large,ee_direction_3d,9,42,0.8127962675868524,0.025453219466219357,0.9979795430647964,0.0021090383721802815,0.0001,0.8,"[0.7846965521728174, 0.8601753372245672, 0.8136805167881397, 0.8020457687445691, 0.8033831630041683]","[0.9943575739892283, 0.999523315277481, 0.9997652686415964, 0.9994499267519381, 0.9968016306637387]",3,1500
push,videomae_large,ee_direction_3d,10,42,0.8154405967839014,0.027781694372189913,0.9996584186621444,7.293434240588022e-05,0.0001,0.8,"[0.787788462122235, 0.8658114109664756, 0.8237304973449925, 0.7979659301896976, 0.801906683296106]","[0.9996978171474133, 0.9995132834208448, 0.9996973934318482, 0.9997025931375929, 0.999681006173023]",3,1500
push,videomae_large,ee_direction_3d,11,42,0.8205230631969078,0.02775197114776042,0.9994214792347996,0.00023048973311491796,0.0001,0.8,"[0.7933668382279883, 0.8705314816811487, 0.8297678018522244, 0.8020266062124304, 0.8069225880107472]","[0.9995625542130214, 0.9996260303653254, 0.9996219552216626, 0.9990630469825246, 0.999233809391464]",3,1500
push,videomae_large,ee_direction_3d,12,42,0.8210518849303341,0.02778616810448216,0.9995547069805746,5.6874747541436336e-05,0.0001,0.8,"[0.8010147186904353, 0.8721446271179379, 0.8291488780276595, 0.7986141125214794, 0.8043370882941582]","[0.9995789378234105, 0.9995638463555331, 0.9994457210143751, 0.9996120879369117, 0.9995729417726422]",3,1500
push,videomae_large,ee_direction_3d,13,42,0.829651772723125,0.02838222478971141,0.9995457585030119,1.8951454752435024e-05,0.0001,0.8,"[0.8140279529622255, 0.8823177659859879, 0.8364551166178018, 0.8088341483480281, 0.8066238797015807]","[0.999547064331111, 0.9995196277296798, 0.9995614797268607, 0.9995705917582981, 0.9995300289691091]",3,1500
push,videomae_large,ee_direction_3d,14,42,0.8320022174017379,0.027923982491235306,0.9993472363701443,0.00021006323123263804,0.0001,0.8,"[0.815089420280771, 0.8806760352364383, 0.8459079985629958, 0.8072372891742681, 0.8111003437542161]","[0.9994504168298242, 0.9994207919758205, 0.9994588911651516, 0.9994773808147297, 0.9989287010651953]",3,1500
push,videomae_large,ee_direction_3d,15,42,0.8342510809895295,0.025317890375932635,0.9991102546290085,0.000423118586533636,0.0001,0.8,"[0.8245443110154999, 0.8796296191768233, 0.8425733740077284, 0.8095572484534954, 0.8149508522941007]","[0.9991182624045485, 0.9993268247399176, 0.9994045658768845, 0.9994106930301777, 0.9982909270935141]",3,1500
push,videomae_large,ee_direction_3d,16,42,0.8349393954814899,0.026831191072044444,0.9992337056870625,6.56022422686276e-05,0.0001,0.8,"[0.8196834440119128, 0.8839144078945156, 0.8430935899280474, 0.8104606970592101, 0.8175448385137634]","[0.9992687587070126, 0.9992054228807942, 0.9992883341285274, 0.9992885062880607, 0.9991175064309173]",3,1500
push,videomae_large,ee_direction_3d,17,42,0.833850089296219,0.026501883558701,0.9992094724400473,3.078524577307439e-05,0.0001,0.8,"[0.8159431442536735, 0.8811442399645603, 0.8450460578530754, 0.8152178796939475, 0.8118991247158382]","[0.9992306771424219, 0.9991764151453254, 0.9991756589143703, 0.9992547797172106, 0.9992098312809085]",3,1500
push,videomae_large,ee_direction_3d,18,42,0.8374202431807272,0.02690192299651936,0.9991830171802357,2.950622760332911e-05,0.0001,0.8,"[0.8203304626626549, 0.8843745834214188, 0.8509086516939904, 0.8154992725525432, 0.8159882455730288]","[0.9991947467131288, 0.9991489607935522, 0.9991618087318286, 0.9992335790006098, 0.999175990662059]",3,1500
push,videomae_large,ee_direction_3d,19,42,0.8415241855198093,0.022315795280924672,0.9976100390633149,0.0019896147757374376,0.0001,0.8,"[0.8332171515726311, 0.8817289096950691, 0.8483161761520146, 0.8199466228936644, 0.8244120672856678]","[0.9938042273385296, 0.9990551157885306, 0.99894970546077, 0.9987930272852128, 0.9974481194435317]",3,1500
