task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,ee_direction_sincos,0,0.5553793970828459,0.09537301769387138,0.0001,0.8,2,1500
push,large,ee_direction_sincos,1,0.5975268182159498,0.08837783184346533,0.0001,0.8,2,1500
push,large,ee_direction_sincos,2,0.6412645070578671,0.07222455639706722,0.0001,0.8,2,1500
push,large,ee_direction_sincos,3,0.6978361872709713,0.05181590715552132,0.0001,0.8,2,1500
push,large,ee_direction_sincos,4,0.712440520197661,0.052641488714487115,0.0001,0.8,2,1500
push,large,ee_direction_sincos,5,0.7307461598122569,0.04457825508253709,0.0001,0.8,2,1500
push,large,ee_direction_sincos,6,0.7472668387516972,0.04194947512780059,0.0001,0.8,2,1500
push,large,ee_direction_sincos,7,0.7723837049154176,0.04044911283392981,0.0001,0.8,2,1500
push,large,ee_direction_sincos,8,0.7894256550815492,0.03575707724750244,0.0001,0.8,2,1500
push,large,ee_direction_sincos,9,0.7945079677714844,0.030698211548353643,0.0001,0.8,2,1500
push,large,ee_direction_sincos,10,0.7941219773349268,0.03183621902347044,0.0001,0.8,2,1500
push,large,ee_direction_sincos,11,0.8008673041156463,0.03512852469090341,0.0001,0.8,2,1500
push,large,ee_direction_sincos,12,0.8060825592314227,0.03214466542510211,0.0001,0.8,2,1500
push,large,ee_direction_sincos,13,0.8068165248747057,0.02748522043470399,0.0001,0.8,2,1500
push,large,ee_direction_sincos,14,0.7916367230300546,0.027675970682965883,0.0001,0.8,2,1500
push,large,ee_direction_sincos,15,0.7961540750073608,0.030453177575500194,0.0001,0.8,2,1500
push,large,ee_direction_sincos,16,0.8015167979646678,0.028014702238128606,0.0001,0.8,2,1500
push,large,ee_direction_sincos,17,0.7934953533235567,0.02661917887373466,0.0001,0.8,2,1500
push,large,ee_direction_sincos,18,0.7958070268830422,0.03199276695747606,0.0001,0.8,2,1500
push,large,ee_direction_sincos,19,0.7999424536740032,0.03592461783255408,0.0001,0.8,2,1500
push,large,ee_direction_sincos,20,0.7947492590773395,0.033866260673745076,0.0001,0.8,2,1500
push,large,ee_direction_sincos,21,0.7989313794456776,0.032678013945624744,0.0001,0.8,2,1500
push,large,ee_direction_sincos,22,0.796382961497512,0.03430703942896044,0.0001,0.8,2,1500
push,large,ee_direction_sincos,23,0.7969085966318623,0.03745593792464252,0.0001,0.8,2,1500
