task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,ee_pos,0,0.9610834014529278,0.0028721162560155777,0.003,0.01,3,1500
push,large,ee_pos,1,0.9708946707586218,0.0023625996181806286,0.003,0.01,3,1500
push,large,ee_pos,2,0.9766323499455,0.0016056411305675209,0.003,0.1,3,1500
push,large,ee_pos,3,0.979175200633909,0.0020115256635100357,0.005,0.01,3,1500
push,large,ee_pos,4,0.9801298661119059,0.0020843263771668256,0.003,0.01,3,1500
push,large,ee_pos,5,0.9829245880962679,0.001640963268843455,0.005,0.01,3,1500
push,large,ee_pos,6,0.9861977063793198,0.0010649664319669855,0.005,0.01,3,1500
push,large,ee_pos,7,0.98610802139761,0.0011191344033101521,0.005,0.01,3,1500
push,large,ee_pos,8,0.9861270020465028,0.001845915545181143,0.005,0.01,3,1500
push,large,ee_pos,9,0.9887840791127769,0.0009347584025611152,0.005,0.01,3,1500
push,large,ee_pos,10,0.990213563411678,0.0007868675018410768,0.005,0.01,3,1500
push,large,ee_pos,11,0.9891949373727564,0.0007239446551591906,0.005,0.01,3,1500
push,large,ee_pos,12,0.99088715725381,0.0007913847050630845,0.005,0.01,3,1500
push,large,ee_pos,13,0.9908880548095033,0.0010561381093065478,0.003,0.01,3,1500
push,large,ee_pos,14,0.9909678082284168,0.0007348555204254006,0.005,0.01,3,1500
push,large,ee_pos,15,0.9915316654530487,0.0010662220028224716,0.003,0.01,3,1500
push,large,ee_pos,16,0.9918311029287924,0.0008380495768516256,0.003,0.01,3,1500
push,large,ee_pos,17,0.991864203808573,0.0010932354504611297,0.003,0.01,3,1500
push,large,ee_pos,18,0.9923129223732126,0.001049387012642779,0.003,0.01,3,1500
push,large,ee_pos,19,0.9924587570898966,0.000806678838106143,0.005,0.01,3,1500
push,large,ee_pos,20,0.9915033906709212,0.0011091810124079725,0.003,0.01,3,1500
push,large,ee_pos,21,0.9912745821594597,0.0006965127739936678,0.003,0.01,3,1500
push,large,ee_pos,22,0.9911026829997587,0.0005930864029596941,0.005,0.01,3,1500
push,large,ee_pos,23,0.9904507012262979,0.001362587946886554,0.005,0.01,3,1500
