task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,giant,ee_speed,0,42,0.5174577234773488,0.1648321562468023,0.9299334741305758,0.11380776242098276,0.0001,0.8,"[0.6068729153563857, 0.5972988126781451, 0.25179790688482995, 0.7177393446326104, 0.41357963783477303]","[0.9893915550311304, 0.9927673835651294, 0.7036218697446135, 0.9999805764598325, 0.9639059858521725]",1,1500
push,giant,ee_speed,1,42,0.5666575730835408,0.1491762489977995,0.9459273147556567,0.06689736153894844,0.0001,0.8,"[0.6162372401194964, 0.6745085692637929, 0.2977760402667142, 0.7190004460291073, 0.525765569738593]","[0.9506302403116863, 0.999979486195742, 0.8182905080516172, 0.999977233412389, 0.9607591058068496]",1,1500
push,giant,ee_speed,2,42,0.6335691347833475,0.11488114479530823,0.9751214021613557,0.027524109206160875,0.0001,0.8,"[0.6305693728037878, 0.7292315828015004, 0.438648981661086, 0.7671779378397422, 0.6022177988106218]","[0.9847574740195097, 0.9999775443984267, 0.9267596179510591, 0.9999748449616829, 0.9641375294760999]",1,1500
push,giant,ee_speed,3,42,0.8470088337171809,0.04514250054249701,0.9924769644803497,0.010136429819280791,0.0001,0.8,"[0.82704762730255, 0.884039040022886, 0.7767015710859239, 0.9057159172428649, 0.8415400129316793]","[0.9922577472883571, 0.9999512251989845, 0.9729986523459354, 0.9999514316067213, 0.9972257659617502]",1,1500
push,giant,ee_speed,4,42,0.8653597562916019,0.036656965229574644,0.9887692785527762,0.015844306047758296,0.0001,0.8,"[0.8333546060720252, 0.8830109902147489, 0.812804834225985, 0.9126408460917872, 0.8849875048534631]","[0.9933694256206438, 0.9928987871501055, 0.9576743659623645, 0.999955695349429, 0.9999481186813381]",1,1500
push,giant,ee_speed,5,42,0.8842041195398942,0.029101470488965185,0.9954806351141332,0.006265165476703241,0.0001,0.8,"[0.8700657280664914, 0.896465973648836, 0.8371884830967978, 0.9241185344640632, 0.8931818784232826]","[0.9839937715525111, 0.9999726660416259, 0.9935052109140697, 0.9999713002092503, 0.9999602268532093]",1,1500
push,giant,ee_speed,6,42,0.8981108257143304,0.016489818681742246,0.9982361256500141,0.0034502634175657704,0.0001,0.8,"[0.8918764936709914, 0.902404604432129, 0.8739256810045073, 0.9248862582874016, 0.897461091176623]","[0.999961402990394, 0.9999685323858168, 0.9913356035228772, 0.999956951453565, 0.9999581378974175]",1,1500
push,giant,ee_speed,7,42,0.9055384388042349,0.014681437431277509,0.9999714442350596,7.2329792675298245e-06,0.0001,0.8,"[0.902050131327573, 0.8989360904163505, 0.8894952558547422, 0.9331499662710453, 0.9040607501514639]","[0.9999738672334256, 0.9999807418507491, 0.9999585157928066, 0.9999712146855224, 0.9999728816127939]",1,1500
push,giant,ee_speed,8,42,0.9134243528307001,0.015610803334132752,0.9999802411807343,4.682146417197131e-06,0.0001,0.8,"[0.9063254538814457, 0.9045789894854643, 0.8954390771093658, 0.940155752960136, 0.9206224907170887]","[0.9999839544674826, 0.9999839625481389, 0.9999712559153865, 0.9999811547082841, 0.9999808782643792]",1,1500
push,giant,ee_speed,9,42,0.9264886393481435,0.012801148088577793,0.9995996017323598,0.00037606291204714373,0.0001,0.8,"[0.9123638226077276, 0.9192466560052417, 0.9173091005408345, 0.9446416394060011, 0.9388819781809127]","[0.9997087341494475, 0.9999590646829173, 0.9999886400230742, 0.9993238772514308, 0.9990176925549288]",1,1500
push,giant,ee_speed,10,42,0.9267416678497555,0.01210258709982845,0.9999112261083564,6.310920814832886e-05,0.0001,0.8,"[0.9151577370628636, 0.9169271658034417, 0.9186209106695953, 0.9418277463555125, 0.9411747793573648]","[0.9998642261538634, 0.9998843386864724, 0.9999790148894792, 0.9999929138708384, 0.9998356369411285]",1,1500
push,giant,ee_speed,11,42,0.9213847849702193,0.012864295792928356,0.9999881212263588,1.247461116461853e-06,0.0001,0.8,"[0.9114124402218559, 0.925037314493338, 0.9019059707510141, 0.9353915868368348, 0.9331766125480535]","[0.9999896526599635, 0.9999890834635061, 0.9999860458363506, 0.9999881517564857, 0.9999876724154884]",1,1500
push,giant,ee_speed,12,42,0.9216065750706326,0.007181297238853922,0.9999882108995687,1.0213961446391978e-06,0.0001,0.8,"[0.9187791072853703, 0.9225877664019877, 0.9095303885557097, 0.9268147989458236, 0.9303208141642721]","[0.9999901667954391, 0.999988286844016, 0.999987601407681, 0.9999874686101081, 0.9999875308405991]",1,1500
push,giant,ee_speed,13,42,0.918070796371963,0.0052727348229963875,0.9981557507135971,0.0022402956716606327,0.0001,0.8,"[0.9119475377720243, 0.9204173993206715, 0.9124620749165183, 0.9259656258657938, 0.9195613439848078]","[0.9998973346599599, 0.9999895916578181, 0.99452354505312, 0.9998430573477047, 0.9965252248493829]",1,1500
push,giant,ee_speed,14,42,0.9235879607204825,0.006541474116693158,0.999901991894599,8.946441362762709e-05,0.0001,0.8,"[0.9121928004476361, 0.923577891311548, 0.9227827636866491, 0.9318037470464647, 0.9275826011101156]","[0.9999392526078484, 0.9999344213158967, 0.9999115325991732, 0.9999934291179597, 0.9997313238321168]",1,1500
push,giant,ee_speed,15,42,0.9265889327722562,0.008517599560240115,0.9999889658136757,7.592257597260832e-06,0.0001,0.8,"[0.9120946967725393, 0.9236923495455553, 0.92727620564141, 0.9364066297700235, 0.9334747821317524]","[0.9999939883833009, 0.9999739200086579, 0.9999934419320564, 0.9999909684851886, 0.9999925102591748]",1,1500
push,giant,ee_speed,16,42,0.9248796107430703,0.007217623390078533,0.9998397310726291,0.0002730338828386764,0.0001,0.8,"[0.9141930889980567, 0.9232928556794153, 0.9210978357602067, 0.9334394581257942, 0.9323748151518788]","[0.9999926551479196, 0.9992960775450369, 0.9999926731841831, 0.999925991356522, 0.9999912581294839]",1,1500
push,giant,ee_speed,17,42,0.9260334142279654,0.007203957814814542,0.9996024717646304,0.00034268474536735426,0.0001,0.8,"[0.9172483118643373, 0.924515279369843, 0.9201606898511563, 0.9368308715058541, 0.9314119185486356]","[0.9999914527951559, 0.9993748305018709, 0.9998414026123003, 0.9997536491055313, 0.9990510238082937]",1,1500
push,giant,ee_speed,18,42,0.9254629128488687,0.007532794891070706,0.9999927600770343,5.993163601925733e-07,0.0001,0.8,"[0.9145781376697569, 0.9323891146713434, 0.9181427531172525, 0.930908961733641, 0.9312955970523499]","[0.9999938617646781, 0.9999924799801666, 0.9999927491990241, 0.9999920589296334, 0.9999926505116689]",1,1500
push,giant,ee_speed,19,42,0.9278474074899308,0.009711210646185721,0.9999878548016854,7.743171397066757e-07,0.0001,0.8,"[0.9087202535325435, 0.9356436807547519, 0.9309467604469528, 0.9311196215485996, 0.9328067211668061]","[0.9999886897475461, 0.9999888996513668, 0.9999873322555753, 0.9999870899439428, 0.999987262409996]",1,1500
push,giant,ee_speed,20,42,0.9299165392597558,0.011590947885201635,0.9999905566008731,7.752869275744275e-07,0.0001,0.8,"[0.9079178743133084, 0.9385164114946146, 0.9372037073772649, 0.9283858220549264, 0.9375588810586647]","[0.9999919461836876, 0.9999905596496119, 0.9999902568713506, 0.9999904502317805, 0.9999895700679357]",1,1500
push,giant,ee_speed,21,42,0.9260319073813207,0.010099688082715027,0.9999921711318407,5.681610176634793e-07,0.0001,0.8,"[0.9074887108108398, 0.930374656215402, 0.929927604643338, 0.9248978491293888, 0.9374707161076351]","[0.9999929668704459, 0.9999927320835991, 0.999991737437739, 0.9999918710590536, 0.9999915482083659]",1,1500
push,giant,ee_speed,22,42,0.9207026337236407,0.011353906412896969,0.9999911501944034,1.3087417695750723e-06,0.0001,0.8,"[0.8998797388951973, 0.9205156443426212, 0.9328554513215359, 0.9216661093062044, 0.9285962247526451]","[0.9999916858692993, 0.9999930283978959, 0.9999893876019406, 0.9999916703085795, 0.9999899787943021]",1,1500
push,giant,ee_speed,23,42,0.9241182643805986,0.010731985190320306,0.9999900528139903,1.1610548680504285e-06,0.0001,0.8,"[0.9048126009571928, 0.9217777235569173, 0.9354993129825011, 0.9264691357509988, 0.9320325486553825]","[0.9999890919291318, 0.9999920523470079, 0.9999888886041572, 0.9999905928487594, 0.9999896383408959]",1,1500
push,giant,ee_speed,24,42,0.9278820845250264,0.009950451040094281,0.999988709261063,1.2939019496152724e-06,0.0001,0.8,"[0.9089467987435862, 0.9305642420621164, 0.9331137618423683, 0.9288534419153855, 0.9379321780616753]","[0.9999875124619605, 0.999991061497842, 0.9999875542246401, 0.9999888980790878, 0.9999885200417848]",1,1500
push,giant,ee_speed,25,42,0.930378976335323,0.01079066050764764,0.9999532393970977,4.395303949887432e-05,0.0001,0.8,"[0.9106662131468651, 0.9365347353373688, 0.9288759831266202, 0.9334343454289232, 0.942383604636837]","[0.9999876800573886, 0.9998812539895702, 0.9999873955693657, 0.9999223844518446, 0.9999874829173198]",1,1500
push,giant,ee_speed,26,42,0.9254285530371209,0.01615811631952315,0.9970296992777741,0.0047881771550725314,0.0001,0.8,"[0.9057593237125109, 0.9104766216256184, 0.9236131767625894, 0.9399132860775182, 0.9473803570073671]","[0.9977273981623735, 0.9876078180862314, 0.999947441301677, 0.9999775317627285, 0.9998883070758594]",1,1500
push,giant,ee_speed,27,42,0.9282104941392134,0.008157182446291317,0.9983349703146522,0.002982932854898734,0.0001,0.8,"[0.9229612098945712, 0.9283857521468175, 0.915900555914883, 0.9380152965656704, 0.9357896561741252]","[0.9999928973386844, 0.9996281364343836, 0.9923767551569763, 0.99999137468178, 0.9996856879614369]",1,1500
push,giant,ee_speed,28,42,0.9243281563427643,0.00784518831680209,0.9999929115960265,4.2435555781944794e-07,0.0001,0.8,"[0.9185322769026598, 0.9244906635485333, 0.9134211739087745, 0.9356283781866608, 0.9295682891671926]","[0.9999928329837583, 0.9999937440063903, 0.9999926683335258, 0.9999925795123654, 0.9999927331440929]",1,1500
push,giant,ee_speed,29,42,0.9230830147393754,0.008761358727128531,0.996807804300051,0.002716565979692956,0.0001,0.8,"[0.9296774069536106, 0.9263903899636233, 0.9067768480108542, 0.9309211099648929, 0.9216493188038954]","[0.9999963306413759, 0.9944530929073775, 0.9960076847564697, 0.9999961499351974, 0.9935857632598346]",1,1500
push,giant,ee_speed,30,42,0.9243819245724317,0.006956697794974294,0.9999948850298978,1.488629444568131e-07,0.0001,0.8,"[0.9191139226388185, 0.9297265654957352, 0.9137364055710854, 0.9325372096561922, 0.9267955195003278]","[0.9999948975736633, 0.9999949885801199, 0.9999948588419425, 0.9999946219100528, 0.9999950582437102]",1,1500
push,giant,ee_speed,31,42,0.9115167866258386,0.014019992628325133,0.9988515126098413,0.0014542341016117997,0.0001,0.8,"[0.9077930521771326, 0.9188072522421517, 0.885716431141567, 0.9238498452851446, 0.921417352283197]","[0.9993741968241745, 0.9999197633289235, 0.999030101536563, 0.9999112460351509, 0.9960222553243944]",1,1500
push,giant,ee_speed,32,42,0.9162386756823822,0.009428596934742758,0.9980919980033359,0.00376757357004014,0.0001,0.8,"[0.9120996068854146, 0.9165514123863586, 0.9009150847470545, 0.9279455718682245, 0.9236817025248578]","[0.9999955747315667, 0.9999163941820502, 0.9905571000067189, 0.9999956977651272, 0.9999952233312172]",1,1500
push,giant,ee_speed,33,42,0.9112415824586411,0.01001005972585048,0.9987124330007843,0.002567985687719165,0.0001,0.8,"[0.9124189683788337, 0.9095089832006006, 0.8933606808292931, 0.922323309730746, 0.918595970153732]","[0.9999964608986324, 0.9999966852371501, 0.9935764616343264, 0.9999963201107741, 0.9999962371230384]",1,1500
push,giant,ee_speed,34,42,0.9115677229664254,0.005848000454904235,0.9991148442126979,0.0013705618474951502,0.0001,0.8,"[0.917551767403585, 0.9056089671294677, 0.9035309846254282, 0.9167980214393728, 0.9143488742342734]","[0.9999966082695938, 0.9991878536916952, 0.9964436594820981, 0.9999496073982534, 0.9999964922218497]",1,1500
push,giant,ee_speed,35,42,0.9075167452486361,0.004533113149095537,0.998687801494061,0.0021959498638830354,0.0001,0.8,"[0.9036999418512252, 0.9071909901930983, 0.9020091412348188, 0.9099780424615024, 0.9147056105025366]","[0.9996317727028012, 0.9999965232688008, 0.9943088499891538, 0.9999399291205501, 0.9995619323889988]",1,1500
push,giant,ee_speed,36,42,0.9129168065726903,0.004951767573140205,0.99881797131363,0.0014003805575270607,0.0001,0.8,"[0.9082033240250053, 0.9154824900966302, 0.9112975197689783, 0.9083164153700327, 0.9212842836028052]","[0.9977670509745328, 0.9999955523003999, 0.9965725916536441, 0.9997590450515796, 0.999995616587994]",1,1500
push,giant,ee_speed,37,42,0.9178807627904497,0.005903685848434339,0.99965551557213,0.0004097873950369095,0.0001,0.8,"[0.9174619395890082, 0.9213381093744297, 0.9113672107917128, 0.9120792253303474, 0.9271573288667505]","[0.9989566313115642, 0.9999853937115083, 0.9994164066604857, 0.9999717125066566, 0.9999474336704344]",1,1500
push,giant,ee_speed,38,42,0.9214475547976833,0.0035909168398659463,0.9998226732211993,0.0002032925863263622,0.0001,0.8,"[0.9187622013707919, 0.9198584135461324, 0.9243559216237606, 0.9173690446374978, 0.9268921928102332]","[0.9994335981557, 0.9999687527019168, 0.9998898684296227, 0.9999940978812337, 0.9998270489375234]",1,1500
push,giant,ee_speed,39,42,0.917898422643173,0.00403592886530762,0.999311154456563,0.001016953422864071,0.0001,0.8,"[0.9171252332093103, 0.9137215664184724, 0.9168076449008572, 0.9162303330135912, 0.9256073356736338]","[0.9999968020967785, 0.999746887693491, 0.9972883155448696, 0.9996818690239259, 0.9998418979237503]",1,1500
