task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_speed,0,42,0.6710519008023265,0.09843106652041407,0.994211795170667,0.007600523237116927,0.0001,0.8,"[0.5546051958453553, 0.7511728257210921, 0.562027567989493, 0.798565555761945, 0.6888883586937466]","[0.9811180698002254, 0.9999794155406375, 0.9900086282131141, 0.9999741764847577, 0.9999786858145999]",1,1500
push,large,ee_speed,1,42,0.8370579215126778,0.029674374793296737,0.9987145695394851,0.002528465563505262,0.0001,0.8,"[0.8320496625801189, 0.8385862637939266, 0.8049291014053135, 0.8916669904133843, 0.8180575893706459]","[0.9999729234577996, 0.9999805672938143, 0.9936576420701237, 0.9999806145243625, 0.9999811003513255]",1,1500
push,large,ee_speed,2,42,0.8524015021393282,0.02817198920759044,0.9999866259168273,1.7486334598675252e-06,0.0001,0.8,"[0.8608909792412811, 0.8501012425017558, 0.8350821533697153, 0.8999727739432906, 0.8159603616405983]","[0.9999880423025738, 0.999987021783407, 0.9999832828513793, 0.9999867676427986, 0.999988015003978]",1,1500
push,large,ee_speed,3,42,0.8818058396757286,0.020716289145435496,0.9990446539811056,0.0018891741602664058,0.0001,0.8,"[0.8822565894596541, 0.8816705974145317, 0.8855819145804287, 0.9123405061696905, 0.8471795907543376]","[0.9999858873616391, 0.9999913489308847, 0.9952663075914152, 0.99999080493052, 0.9999889210910695]",1,1500
push,large,ee_speed,4,42,0.903046540973613,0.015705147834092312,0.9993644126811766,0.0007595454563139539,0.0001,0.8,"[0.9010089381153801, 0.9086157845133613, 0.9148045248651556, 0.9171152446213386, 0.8736882127528294]","[0.9999889386746417, 0.9999395790081079, 0.9986695608323797, 0.9982306734230506, 0.9999933114677028]",1,1500
push,large,ee_speed,5,42,0.9091574884749327,0.019720354887851684,0.9974848131880549,0.004215458876964045,0.0001,0.8,"[0.8871608641498139, 0.9154824886502873, 0.9309447918842744, 0.9276312247203758, 0.8845680729699126]","[0.9999924504743019, 0.9999922655745229, 0.9982892014861877, 0.9999923937901359, 0.989157754615126]",1,1500
push,large,ee_speed,6,42,0.9146778154347285,0.012844442507493047,0.9987610725991442,0.002386318712319229,0.0001,0.8,"[0.8948397556428759, 0.9214823607450587, 0.9093144008626617, 0.9335473282057094, 0.9142052317173364]","[0.9999915225959315, 0.9999929538361784, 0.9998447410348044, 0.9999863766433196, 0.9939897688854874]",1,1500
push,large,ee_speed,7,42,0.9182377210148269,0.014639435982922203,0.9984382023775101,0.002262204262501476,0.0001,0.8,"[0.8923150245783351, 0.9271194298317486, 0.9225617182436732, 0.9351113627405361, 0.9140810696798416]","[0.9940721395936793, 0.999944049574656, 0.9999890471435781, 0.9997983717180088, 0.9983874038576284]",1,1500
push,large,ee_speed,8,42,0.9283803792899761,0.015600239124805959,0.9976878417476811,0.0028153812585741942,0.0001,0.8,"[0.8994647079556446, 0.9369954765117019, 0.9351407841186844, 0.9443463920888442, 0.925954535775006]","[0.9947989089892819, 0.999961144413073, 0.9999793509719314, 0.9999694150213131, 0.9937303893428064]",1,1500
push,large,ee_speed,9,42,0.927426798240751,0.015700307585072668,0.9993361921085718,0.0012503523360009958,0.0001,0.8,"[0.8970674648670068, 0.9355633687083502, 0.9339365701303521, 0.9415594078357598, 0.929007179662286]","[0.99683738579037, 0.9999928690374371, 0.999992671495195, 0.9998665708674548, 0.9999914633524021]",1,1500
push,large,ee_speed,10,42,0.9219128806891984,0.02220865719385622,0.9999706785605863,3.413349413693213e-05,0.0001,0.8,"[0.8811326566391382, 0.9255702289090547, 0.9212978325021064, 0.946997374185848, 0.9345663112098443]","[0.9999866326544913, 0.999902424664823, 0.9999882644617618, 0.9999885638764866, 0.9999875071453688]",1,1500
push,large,ee_speed,11,42,0.9240862038934805,0.018508065551910143,0.998007655726787,0.003726317959937406,0.0001,0.8,"[0.8884486765570453, 0.9293304769730832, 0.9257803688761694, 0.937927004975708, 0.9389444920853969]","[0.990563921149149, 0.9999868465508001, 0.9999853493863586, 0.9995160138553919, 0.9999861476922348]",1,1500
push,large,ee_speed,12,42,0.9250724689647096,0.013145008204608635,0.9982326395766771,0.003512545712335923,0.0001,0.8,"[0.9046761289023016, 0.9230572892934465, 0.9189717271224113, 0.9390195808757223, 0.9396376186296667]","[0.9999900353656838, 0.9999897122516735, 0.9912075484032153, 0.9999885263771164, 0.9999873754856966]",1,1500
push,large,ee_speed,13,42,0.9311851956745073,0.01110764306018129,0.9999469678509202,9.08472320822156e-05,0.0001,0.8,"[0.9114230465512693, 0.9319023534536499, 0.930682716112203, 0.9451145010876449, 0.9368033611677699]","[0.9999932356987743, 0.999765275903431, 0.9999919869006354, 0.9999924610602107, 0.9999918796915497]",1,1500
push,large,ee_speed,14,42,0.9263355814502366,0.01701075747062237,0.9977354312792533,0.0037201494740581303,0.0001,0.8,"[0.892992456863329, 0.9303270637158728, 0.9327738210839963, 0.9405464178474157, 0.9350381477405694]","[0.9904111259227237, 0.9999951923158326, 0.9999948596425019, 0.9982994675361742, 0.9999765109790346]",1,1500
push,large,ee_speed,15,42,0.9279297195117856,0.009699221917379557,0.9991582705521829,0.0007946903000274786,0.0001,0.8,"[0.9124233556464214, 0.9264443707232142, 0.9308988307908652, 0.9427059622858451, 0.9271760781125826]","[0.9987857212225034, 0.9999944489929142, 0.999479150033536, 0.9977890348156069, 0.9997429976963536]",1,1500
push,large,ee_speed,16,42,0.9267595766232615,0.009994212836620659,0.9999952442097909,4.2230124696085034e-07,0.0001,0.8,"[0.9106184864287588, 0.9272232815355457, 0.9234800470114632, 0.9411489408389561, 0.931327127301584]","[0.9999957443496077, 0.999995542972207, 0.9999954410763952, 0.999994652095203, 0.9999948405555413]",1,1500
push,large,ee_speed,17,42,0.9225779584260794,0.005973110225726783,0.9999938623775492,4.917645013274894e-07,0.0001,0.8,"[0.9136575293482962, 0.9204602415329215, 0.9205698138649917, 0.9307129281507137, 0.9274892792334734]","[0.9999941472527784, 0.9999945005711836, 0.9999940867122862, 0.9999932108200237, 0.9999933665314749]",1,1500
push,large,ee_speed,18,42,0.9204600000059804,0.011979661056821038,0.9996791196427056,0.0003728108810255651,0.0001,0.8,"[0.8997255964730355, 0.9172810245174732, 0.920969941098298, 0.9308541397589926, 0.9334692981821029]","[0.9990040489483661, 0.9995628341648712, 0.9998366079662167, 0.9999957268272697, 0.9999963803068042]",1,1500
push,large,ee_speed,19,42,0.9141998958732467,0.007626718825951181,0.9999956931060657,3.0057782894490916e-07,0.0001,0.8,"[0.9003536895793217, 0.9120067944528482, 0.9186170951844035, 0.9181058613558262, 0.9219160387938335]","[0.9999960769213343, 0.9999960099474616, 0.9999954131779911, 0.9999956190622126, 0.9999953464213291]",1,1500
