task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,large,ee_speed,0,2024,0.5681665761118291,0.1382265435999312,0.9636639968473284,0.02303705000188663,0.0001,0.8,"[0.5628991159853244, 0.7220933595085897, 0.5039953969200346, 0.7049820228241634, 0.34686298532103366]","[0.959850735780186, 0.9988692865939091, 0.9794014495851988, 0.9446442286265644, 0.9355542836507845]",1,1500
push,large,ee_speed,1,2024,0.5750462471218443,0.12169456819579907,0.9599035917703851,0.04252145631592539,0.0001,0.8,"[0.5357170058557295, 0.7179370763986678, 0.48085017594973833, 0.7172758861622803, 0.4234510912428051]","[0.8804629535867596, 0.9998944111710861, 0.9929694485815276, 0.9659732656595427, 0.9602178798530101]",1,1500
push,large,ee_speed,2,2024,0.6130951638782796,0.13206697021139172,0.9871533095136208,0.017348130973325503,0.0003,0.8,"[0.5795743576274637, 0.737022051036157, 0.6047617883377907, 0.7554838580952787, 0.3886337642947071]","[0.9800784133413365, 0.9998953483195145, 0.9998562230080008, 0.9560333659011184, 0.9999031969981339]",1,1500
push,large,ee_speed,3,2024,0.600364038798209,0.11098854979451032,0.9359951742671475,0.047089163010494955,0.0001,0.8,"[0.5529005680262832, 0.7413695533541101, 0.5166179835392106, 0.7227365679641968, 0.4681955211072444]","[0.9639630032716122, 0.9998850125950833, 0.9039061852031085, 0.9473842211960617, 0.8648374490698715]",1,1500
push,large,ee_speed,4,2024,0.6010588462316483,0.11171894742717266,0.9875318344880686,0.016076864047386705,0.0001,0.8,"[0.5329145783963563, 0.7256292795414794, 0.5367268313513756, 0.742986990831787, 0.4670365510372433]","[0.9564924492170355, 0.9998848840620275, 0.9893184122886299, 0.992089814960476, 0.9998736119121739]",1,1500
push,large,ee_speed,5,2024,0.5919363604828349,0.13809448106183572,0.9832320495666579,0.02048857485074113,0.0001,0.8,"[0.5606332880338154, 0.7400140542082805, 0.48361479096403304, 0.7618853973415494, 0.4135342718664967]","[0.9615187174169278, 0.9998908567826305, 0.9550125168993308, 0.999855521336133, 0.9998826353982673]",1,1500
push,large,ee_speed,6,2024,0.5874923801983307,0.1360346858313228,0.9897096855252527,0.011184947207184723,0.0001,0.8,"[0.5443862478075698, 0.7412116690963577, 0.4777717530464417, 0.7528779670905374, 0.4212142639507467]","[0.9853473216288188, 0.9998692450058703, 0.9700555150089992, 0.993399804828427, 0.9998765411541481]",1,1500
push,large,ee_speed,7,2024,0.6010438322376691,0.13278882119696162,0.9849009934162904,0.019823419818605557,0.0001,0.8,"[0.5495676348519896, 0.7356745680113742, 0.5338305537790421, 0.7701952429354879, 0.415951161610452]","[0.9745934192211911, 0.9998584553761303, 0.9997889584215361, 0.999854048798822, 0.9504100852637728]",1,1500
push,large,ee_speed,8,2024,0.6156966559295531,0.10863984914213085,0.9955149452785657,0.008652638253431766,0.0001,0.8,"[0.5695455158767027, 0.7311668308102611, 0.5282980406378927, 0.7584298295489516, 0.49104306277395804]","[0.9782097425751008, 0.9998786340483674, 0.99979949625091, 0.9998388145682897, 0.9998480389501608]",1,1500
push,large,ee_speed,9,2024,0.6165156588581456,0.09677853087451842,0.9801849122464729,0.02903926997057445,0.0001,0.8,"[0.559761499357714, 0.7195536436870498, 0.536946799113086, 0.747410985777542, 0.518905366355336]","[0.9250337003195609, 0.9998836862458016, 0.9998000757975332, 0.9763448535660959, 0.9998622453033728]",1,1500
