task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,videomae_large,ee_speed,0,42,0.5137160008480498,0.18882930677264753,0.9805353206369614,0.033199560681480667,0.0001,0.8,"[0.5573998874627474, 0.6177157534288901, 0.4561949684420096, 0.7498685752080585, 0.18740081969854328]","[0.9999634243322523, 0.9999616143706417, 0.9880061629649222, 0.9999602261705007, 0.9147851753464892]",1,1500
push,videomae_large,ee_speed,1,42,0.7130157698084059,0.10481848029889715,0.9976631899717097,0.002518205043887173,0.0001,0.8,"[0.7233440284032753, 0.7935596924574042, 0.642392546481342, 0.8497720636524685, 0.556010518047539]","[0.9999758272491764, 0.9999740291070098, 0.9937224224298579, 0.9989429185089597, 0.9957007525635446]",1,1500
push,videomae_large,ee_speed,2,42,0.84798140827798,0.029462909427608854,0.9996845169495586,0.0004394976878829908,0.0001,0.8,"[0.8222337246917806, 0.8631542908276584, 0.8353644102093241, 0.8984298313756623, 0.820724784285475]","[0.9999823155893844, 0.999625585288645, 0.9999818570132688, 0.9988500813666588, 0.9999827454898356]",1,1500
push,videomae_large,ee_speed,3,42,0.8551782642509174,0.02459903234846697,0.9998730918823047,0.00018787083625884283,0.0001,0.8,"[0.8278481809817414, 0.8627846781500432, 0.8468054147624599, 0.8988572440895716, 0.8395958032707708]","[0.9999821131289496, 0.9999804259571403, 0.9994997496595113, 0.9999777020022547, 0.999925468663667]",1,1500
push,videomae_large,ee_speed,4,42,0.8700770588392779,0.022303592891829045,0.9994422240559497,0.0009886243356395266,0.0001,0.8,"[0.8477809515576282, 0.8709493320316049, 0.8513261974900685, 0.9105454779344392, 0.8697833351826484]","[0.9998852112836776, 0.9974666083530261, 0.9999827894903003, 0.9998976984055817, 0.9999788127471629]",1,1500
push,videomae_large,ee_speed,5,42,0.8674441363270529,0.017959652210168243,0.998287095075612,0.0032991848961986983,0.0001,0.8,"[0.8493552674546367, 0.8819156548783259, 0.8429257741514053, 0.8878030286054059, 0.87522095654549]","[0.999942169353536, 0.9998412220240341, 0.9999806435536697, 0.9916895207781515, 0.9999819196686682]",1,1500
push,videomae_large,ee_speed,6,42,0.8888620091678154,0.01811573977745509,0.9997423400436766,0.00026465808502573745,0.0001,0.8,"[0.8679184885129543, 0.902585908130835, 0.8658659627158765, 0.9077521854470758, 0.9001875010323356]","[0.9999148723742727, 0.9992601643979468, 0.9999847139480571, 0.999892058888959, 0.9996598906091468]",1,1500
push,videomae_large,ee_speed,7,42,0.9013899783852878,0.016947190414371933,0.9991635334112374,0.0003888945090763572,0.0001,0.8,"[0.8828754175863399, 0.9156802099223517, 0.8792089139640774, 0.9195127671521237, 0.9096725833015462]","[0.9987945257592724, 0.9987371530049719, 0.999817916172125, 0.9992399417015573, 0.9992281304182606]",1,1500
push,videomae_large,ee_speed,8,42,0.9194617471784255,0.014222950082218862,0.9999849487926312,1.422280620785764e-06,0.0001,0.8,"[0.8982846326682746, 0.9392740972796637, 0.9092832003472178, 0.9255764165796554, 0.9248903890173154]","[0.9999870014493082, 0.9999849693488359, 0.9999825839323245, 0.9999847302707319, 0.9999854589619557]",1,1500
push,videomae_large,ee_speed,9,42,0.9233591689833827,0.01484904431668184,0.9999471424562033,2.3096527007432516e-05,0.0001,0.8,"[0.8967647141116072, 0.9407302749308113, 0.9200973220276496, 0.9311623005157572, 0.9280412333310877]","[0.9999654417171081, 0.9999271533407345, 0.9999129617203439, 0.9999728606743744, 0.9999572948284557]",1,1500
