task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,object_accel_magnitude,0,0.19954979411324864,0.17425616335941582,0.0003,0.8,1,1500
push,large,object_accel_magnitude,1,0.3394978133412067,0.12446620930182731,0.0001,0.8,1,1500
push,large,object_accel_magnitude,2,0.35804691854226417,0.10198161901251628,0.0001,0.8,1,1500
push,large,object_accel_magnitude,3,0.4269750972005967,0.08730342632434093,0.0001,0.8,1,1500
push,large,object_accel_magnitude,4,0.43178975562766375,0.09206366786142979,0.0001,0.8,1,1500
push,large,object_accel_magnitude,5,0.4611740062668678,0.0672401958784462,0.0001,0.8,1,1500
push,large,object_accel_magnitude,6,0.46157848162884924,0.0626842760097101,0.0001,0.8,1,1500
push,large,object_accel_magnitude,7,0.46021983578578923,0.0823689638219614,0.0001,0.8,1,1500
push,large,object_accel_magnitude,8,0.500084838634626,0.09209170306066952,0.0001,0.8,1,1500
push,large,object_accel_magnitude,9,0.500543326432246,0.08569574615702591,0.0001,0.8,1,1500
push,large,object_accel_magnitude,10,0.476681003572029,0.07950086240572887,0.0001,0.8,1,1500
push,large,object_accel_magnitude,11,0.47888918701855443,0.09269320878138704,0.0001,0.8,1,1500
push,large,object_accel_magnitude,12,0.480812924022187,0.07173492083288117,0.0001,0.8,1,1500
push,large,object_accel_magnitude,13,0.47967896057495435,0.06627981000785485,0.0001,0.8,1,1500
push,large,object_accel_magnitude,14,0.4940966571680482,0.05963205353858339,0.0001,0.8,1,1500
push,large,object_accel_magnitude,15,0.4826352134295636,0.06704371485594368,0.0001,0.8,1,1500
push,large,object_accel_magnitude,16,0.5064539931343335,0.07375652000622597,0.0001,0.8,1,1500
push,large,object_accel_magnitude,17,0.5002047065933304,0.06164757379365593,0.0001,0.8,1,1500
push,large,object_accel_magnitude,18,0.5042126543441996,0.06433881046185387,0.0001,0.8,1,1500
push,large,object_accel_magnitude,19,0.5065021377589529,0.06809139009509704,0.0001,0.8,1,1500
push,large,object_accel_magnitude,20,0.5224016840141303,0.051265800888420664,0.0001,0.8,1,1500
push,large,object_accel_magnitude,21,0.5116852885723668,0.06806498648860171,0.0001,0.8,1,1500
push,large,object_accel_magnitude,22,0.5086527852992985,0.07538804378572952,0.0001,0.8,1,1500
push,large,object_accel_magnitude,23,0.5123864096299016,0.07072046733609313,0.0001,0.8,1,1500
