task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,object_direction_3d,0,-0.1602383356386156,0.015815458454502416,0.0001,0.8,3,1500
push,large,object_direction_3d,1,-0.06813102839751531,0.033015057460344416,0.0001,0.8,3,1500
push,large,object_direction_3d,2,-0.036529090921241084,0.03207851334669405,0.0001,0.8,3,1500
push,large,object_direction_3d,3,0.018962535839810047,0.027898461998183438,0.0001,0.8,3,1500
push,large,object_direction_3d,4,0.029624311199039476,0.03297281305767281,0.0001,0.8,3,1500
push,large,object_direction_3d,5,0.04755513854651374,0.026499159404418767,0.0001,0.8,3,1500
push,large,object_direction_3d,6,0.05111930157491458,0.018601631695089896,0.0001,0.8,3,1500
push,large,object_direction_3d,7,0.06615608854533384,0.01713867667006281,0.0001,0.8,3,1500
push,large,object_direction_3d,8,0.09677028718088895,0.030197902003442113,0.0001,0.8,3,1500
push,large,object_direction_3d,9,0.09979511129229315,0.010644262855197805,0.0001,0.8,3,1500
push,large,object_direction_3d,10,0.10145176163338057,0.021966154831546816,0.0001,0.8,3,1500
push,large,object_direction_3d,11,0.11250118258752992,0.024297087338509236,0.0001,0.8,3,1500
push,large,object_direction_3d,12,0.1264147048621635,0.010792374032377044,0.0001,0.8,3,1500
push,large,object_direction_3d,13,0.11568388558783667,0.014116616157382805,0.0001,0.8,3,1500
push,large,object_direction_3d,14,0.10119148065390479,0.02610586269359135,0.0001,0.8,3,1500
push,large,object_direction_3d,15,0.09619484256031689,0.023228732464621128,0.0001,0.8,3,1500
push,large,object_direction_3d,16,0.11303408903754472,0.032348954603710324,0.0001,0.8,3,1500
push,large,object_direction_3d,17,0.11342650698148897,0.0203482052949361,0.0001,0.8,3,1500
push,large,object_direction_3d,18,0.08788596990889971,0.015041822440896637,0.0001,0.8,3,1500
push,large,object_direction_3d,19,0.0909030944279801,0.02121142532913606,0.0001,0.8,3,1500
push,large,object_direction_3d,20,0.08777990254987911,0.019345062267393853,0.0001,0.8,3,1500
push,large,object_direction_3d,21,0.11018979591369374,0.022041547068923674,0.0001,0.8,3,1500
push,large,object_direction_3d,22,0.11741286961011035,0.023882067714550793,0.0001,0.8,3,1500
push,large,object_direction_3d,23,0.13550774151432793,0.02076641984811131,0.0001,0.8,3,1500
