task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,object_direction,0,-0.40505554178419556,0.06648659687449053,0.0001,0.8,1,1500
push,large,object_direction,1,-0.2565907773366992,0.06642036068388557,0.0001,0.8,1,1500
push,large,object_direction,2,-0.2281691266798937,0.03318124861286102,0.0001,0.8,1,1500
push,large,object_direction,3,-0.13290319402127335,0.02108142065644012,0.0001,0.8,1,1500
push,large,object_direction,4,-0.11147730842576964,0.038769041559417385,0.0001,0.8,1,1500
push,large,object_direction,5,-0.06232089036080737,0.03577084646798046,0.0001,0.8,1,1500
push,large,object_direction,6,-0.0932677770764478,0.028541644985820198,0.0001,0.8,1,1500
push,large,object_direction,7,-0.05928589141064013,0.0193528319335183,0.0001,0.8,1,1500
push,large,object_direction,8,-0.033132299829282896,0.021529963660181454,0.0001,0.8,1,1500
push,large,object_direction,9,-0.026998157516761066,0.03091223722380801,0.0001,0.8,1,1500
push,large,object_direction,10,-0.02877272601510985,0.03391227309440061,0.0001,0.8,1,1500
push,large,object_direction,11,0.004424801051090732,0.035127967081450204,0.0001,0.8,1,1500
push,large,object_direction,12,-0.016525435746696782,0.037808908266653514,0.0001,0.8,1,1500
push,large,object_direction,13,-0.03437680812506912,0.045758481368580815,0.0001,0.8,1,1500
push,large,object_direction,14,-0.05145912783482918,0.04222908830524444,0.0001,0.8,1,1500
push,large,object_direction,15,-0.03439827946490015,0.037133585431567015,0.0001,0.8,1,1500
push,large,object_direction,16,-0.048974165786456324,0.02464515274294957,0.0001,0.8,1,1500
push,large,object_direction,17,-0.02543343588865108,0.020552849440713727,0.0001,0.8,1,1500
push,large,object_direction,18,-0.0169800920667853,0.026734082244242827,0.0001,0.8,1,1500
push,large,object_direction,19,-0.01838743606968285,0.03393938743211855,0.0001,0.8,1,1500
push,large,object_direction,20,-0.00036627142358871547,0.03975206437198018,0.0001,0.8,1,1500
push,large,object_direction,21,-0.004348673234570577,0.03479052320647992,0.0001,0.8,1,1500
push,large,object_direction,22,-0.004790033842558916,0.040427357725993936,0.0001,0.8,1,1500
push,large,object_direction,23,0.028673426091578257,0.039431453291987086,0.0001,0.8,1,1500
