task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,surface_friction,0,0.049997190617336026,0.039635926574926074,0.005,0.8,1,1500
push,large,surface_friction,1,0.041149291085111075,0.03825289114059789,0.005,0.8,1,1500
push,large,surface_friction,2,0.04409940007236233,0.04720602178812356,0.001,0.8,1,1500
push,large,surface_friction,3,0.04405365265862706,0.03288635321003281,0.0001,0.8,1,1500
push,large,surface_friction,4,0.039599585266838246,0.030877198420204945,0.005,0.8,1,1500
push,large,surface_friction,5,0.05754708718007029,0.036202654028977085,0.003,0.8,1,1500
push,large,surface_friction,6,0.04736115941101406,0.0312125526639617,0.005,0.8,1,1500
push,large,surface_friction,7,0.05253839491885692,0.03136696344350866,0.005,0.8,1,1500
push,large,surface_friction,8,0.052482748113825715,0.04301983259716903,0.003,0.8,1,1500
push,large,surface_friction,9,0.04517158745617851,0.030375482193000024,0.003,0.8,1,1500
push,large,surface_friction,10,0.052254200129748796,0.03200278156020236,0.005,0.8,1,1500
push,large,surface_friction,11,0.047655619019634755,0.02280288464031191,0.005,0.8,1,1500
push,large,surface_friction,12,0.05177676512232088,0.035119307124473906,0.005,0.8,1,1500
push,large,surface_friction,13,0.07349117766772306,0.037833186733168496,0.005,0.8,1,1500
push,large,surface_friction,14,0.06659543536615484,0.03995046881621327,0.001,0.8,1,1500
push,large,surface_friction,15,0.06287638455089224,0.0369953351596632,0.003,0.8,1,1500
push,large,surface_friction,16,0.04792504941495339,0.03508481532391258,0.003,0.8,1,1500
push,large,surface_friction,17,0.06569685897707289,0.029120586887256068,0.003,0.8,1,1500
push,large,surface_friction,18,0.05344429065712704,0.0408643135334539,0.003,0.8,1,1500
push,large,surface_friction,19,0.06730993189300856,0.03156743179421749,0.005,0.8,1,1500
push,large,surface_friction,20,0.06467716170268649,0.03971677154823883,0.005,0.8,1,1500
push,large,surface_friction,21,0.06036260415646662,0.03455476882066377,0.005,0.8,1,1500
push,large,surface_friction,22,0.05865874997186826,0.034602472714479075,0.005,0.8,1,1500
push,large,surface_friction,23,0.05752586563032565,0.03917092295696297,0.003,0.8,1,1500
