task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,surface_friction,0,-0.2269686733086726,0.10332919302123225,0.0001,0.8,1,1500
push,large,surface_friction,1,-0.12282595202415884,0.11012973989741358,0.0001,0.8,1,1500
push,large,surface_friction,2,-0.09698859153931079,0.10467971673433821,0.0001,0.8,1,1500
push,large,surface_friction,3,-0.06990645595376688,0.08620316401411476,0.0001,0.8,1,1500
push,large,surface_friction,4,-0.05412809727365464,0.078849018542293,0.0001,0.8,1,1500
push,large,surface_friction,5,-0.09594467902988293,0.07221678750832317,0.0001,0.8,1,1500
push,large,surface_friction,6,-0.10633501786599062,0.07076143291004772,0.0001,0.8,1,1500
push,large,surface_friction,7,-0.09319652817201322,0.07908370384605523,0.0001,0.8,1,1500
push,large,surface_friction,8,-0.08949245853819761,0.07660843732702619,0.0001,0.8,1,1500
push,large,surface_friction,9,-0.07846444077044745,0.06790611410985349,0.0001,0.8,1,1500
push,large,surface_friction,10,-0.08838886217918293,0.0732140476400622,0.0001,0.8,1,1500
push,large,surface_friction,11,-0.08588562039614944,0.07415104682841286,0.0001,0.8,1,1500
push,large,surface_friction,12,-0.10892948265383798,0.08622854674650801,0.0001,0.8,1,1500
push,large,surface_friction,13,-0.11178625564283404,0.06803354029799358,0.0001,0.8,1,1500
push,large,surface_friction,14,-0.08216423821744138,0.06848022613295818,0.0001,0.8,1,1500
push,large,surface_friction,15,-0.08832189308325245,0.08160307766672731,0.0001,0.8,1,1500
push,large,surface_friction,16,-0.08856881729456383,0.06266984730352725,0.0001,0.8,1,1500
push,large,surface_friction,17,-0.08672685013594097,0.023259234107554923,0.0001,0.8,1,1500
push,large,surface_friction,18,-0.12263636056639542,0.06523880571440632,0.0001,0.8,1,1500
push,large,surface_friction,19,-0.08987243225383572,0.05915854072463795,0.0001,0.8,1,1500
push,large,surface_friction,20,-0.07172923044764376,0.050758047053242376,0.0001,0.8,1,1500
push,large,surface_friction,21,-0.055234595421155566,0.05213159172364747,0.0001,0.8,1,1500
push,large,surface_friction,22,-0.03871793661043914,0.07087646428337135,0.0001,0.8,1,1500
push,large,surface_friction,23,-0.04220869687935804,0.07411866049704459,0.0001,0.8,1,1500
