task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
reach,large,ee_accel_magnitude,0,0.7167507430178733,0.06521555566847712,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,1,0.7128163076544196,0.05315297442452068,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,2,0.7459087657147142,0.025693123267183364,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,3,0.7601586496799632,0.052626379626118894,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,4,0.7817694835404775,0.033867464329667175,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,5,0.7955479950011675,0.023238807550210714,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,6,0.7876487051585028,0.02080160553366074,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,7,0.8225327673112467,0.03661268978390333,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,8,0.8544713255529779,0.019965402623238277,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,9,0.8494221808672812,0.013700219689561447,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,10,0.8733618370821412,0.01597058373965104,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,11,0.8566815966569896,0.009132476958181764,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,12,0.8507620075458202,0.022927276254517244,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,13,0.8557184807784918,0.010994540455022786,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,14,0.8349376724948503,0.00975275388646205,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,15,0.8269059687195641,0.019304753665495084,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,16,0.8235900400804479,0.01936834947538212,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,17,0.8388597196642469,0.014867074474197904,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,18,0.8328127439932317,0.02127525895743971,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,19,0.8255363921024219,0.015593395058851319,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,20,0.8303795074429955,0.007622335254242078,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,21,0.842402286540562,0.023817151058485277,0.0003,0.8,1,600
reach,large,ee_accel_magnitude,22,0.8365139010817515,0.02109587583614131,0.0001,0.8,1,600
reach,large,ee_accel_magnitude,23,0.8348643570265619,0.017669332683280498,0.0001,0.8,1,600
