task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
strike,large,ee_accel_magnitude,0,0.6638149492895506,0.09357695046742719,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,1,0.7767489998839036,0.05059306362621728,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,2,0.7919489278882651,0.0378722208778812,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,3,0.8275207967268108,0.032868656724040234,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,4,0.8325843994935825,0.030596970284632232,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,5,0.8492324087818381,0.026669048335178705,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,6,0.8524793945389705,0.02401453430042634,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,7,0.8628053086953177,0.025103832827248426,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,8,0.8758650473529798,0.026466525504975975,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,9,0.8802049357316797,0.022420352470001813,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,10,0.8827603581598755,0.025262958359979895,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,11,0.8957974405131338,0.021553661644178778,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,12,0.8962538301623335,0.019186503339686967,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,13,0.8926154394970893,0.018690509825434114,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,14,0.8887874297017045,0.020884902443758194,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,15,0.8856605582385523,0.026155924046940966,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,16,0.8793069235312523,0.03180174276330227,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,17,0.8738569156930034,0.036995767715260995,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,18,0.8663094857828766,0.037622879605123706,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,19,0.8773419900806555,0.028034002646350066,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,20,0.8691484312718423,0.03103832508286963,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,21,0.8733063737733474,0.03047452056841468,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,22,0.871443355458361,0.03785211145185535,0.0001,0.8,1,2895
strike,large,ee_accel_magnitude,23,0.8783288722690947,0.028457754174984144,0.0001,0.8,1,2895
