task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
strike,large,ee_direction_3d,0,0.6225732429996569,0.020048974654611654,0.0001,0.8,3,2895
strike,large,ee_direction_3d,1,0.6660482629378557,0.021986428230068612,0.0001,0.8,3,2895
strike,large,ee_direction_3d,2,0.7000410075368106,0.017800922848303893,0.0001,0.8,3,2895
strike,large,ee_direction_3d,3,0.7413879718549797,0.01747131033265049,0.0001,0.8,3,2895
strike,large,ee_direction_3d,4,0.7656418441649873,0.018029772636644282,0.0001,0.8,3,2895
strike,large,ee_direction_3d,5,0.7851990702218032,0.020975171506723376,0.0001,0.8,3,2895
strike,large,ee_direction_3d,6,0.78897912446622,0.021925905021688036,0.0001,0.8,3,2895
strike,large,ee_direction_3d,7,0.7971537796416222,0.022452110654027423,0.0001,0.8,3,2895
strike,large,ee_direction_3d,8,0.8180270748482364,0.015475022153214977,0.0001,0.8,3,2895
strike,large,ee_direction_3d,9,0.8233888162374988,0.013382362999407383,0.0001,0.8,3,2895
strike,large,ee_direction_3d,10,0.8241812333357801,0.011193089569972791,0.0001,0.8,3,2895
strike,large,ee_direction_3d,11,0.8343359046332365,0.012562766355375997,0.0001,0.8,3,2895
strike,large,ee_direction_3d,12,0.8350677828750172,0.01236495509949851,0.0001,0.8,3,2895
strike,large,ee_direction_3d,13,0.8299790902077518,0.013501228741520179,0.0001,0.8,3,2895
strike,large,ee_direction_3d,14,0.8313713417277377,0.013390509642050612,0.0001,0.8,3,2895
strike,large,ee_direction_3d,15,0.8257164297818601,0.015430497590450324,0.0001,0.8,3,2895
strike,large,ee_direction_3d,16,0.8349828382197716,0.014998182416027192,0.0001,0.8,3,2895
strike,large,ee_direction_3d,17,0.8341333396538545,0.013783084827679348,0.0001,0.8,3,2895
strike,large,ee_direction_3d,18,0.8347704466152862,0.01500913497961635,0.0001,0.8,3,2895
strike,large,ee_direction_3d,19,0.8372744238350094,0.013065286737315858,0.0001,0.8,3,2895
strike,large,ee_direction_3d,20,0.8389535704369697,0.011325054647058371,0.0001,0.8,3,2895
strike,large,ee_direction_3d,21,0.8472122944477221,0.00997240240638768,0.0001,0.8,3,2895
strike,large,ee_direction_3d,22,0.8491019966734822,0.01358219338045396,0.0001,0.8,3,2895
strike,large,ee_direction_3d,23,0.8474952496047884,0.012263764658408675,0.0001,0.8,3,2895
