task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
strike,large,ee_speed,0,0.8831847469907433,0.01778916702023597,0.0001,0.8,1,2895
strike,large,ee_speed,1,0.9119861271648764,0.014256843484071738,0.0001,0.8,1,2895
strike,large,ee_speed,2,0.9142226935709011,0.008707468551524423,0.0001,0.8,1,2895
strike,large,ee_speed,3,0.9296454657329838,0.00466573126156264,0.0001,0.8,1,2895
strike,large,ee_speed,4,0.9372261019545632,0.0061152613710061254,0.0001,0.8,1,2895
strike,large,ee_speed,5,0.9424420255119708,0.0028031231975984977,0.0001,0.8,1,2895
strike,large,ee_speed,6,0.9460679096971697,0.002127988294906037,0.0001,0.8,1,2895
strike,large,ee_speed,7,0.9499205632447854,0.003554010005457662,0.0001,0.8,1,2895
strike,large,ee_speed,8,0.9571966800981464,0.002718694121743107,0.0001,0.8,1,2895
strike,large,ee_speed,9,0.9574307199025375,0.0023555980422455642,0.0001,0.8,1,2895
strike,large,ee_speed,10,0.9581570335763734,0.0026060040676378258,0.0001,0.8,1,2895
strike,large,ee_speed,11,0.9630377631066471,0.0017671712868865073,0.0001,0.8,1,2895
strike,large,ee_speed,12,0.9623501239509629,0.002065296456757672,0.0001,0.8,1,2895
strike,large,ee_speed,13,0.9625810595591876,0.0027547555990137156,0.0001,0.8,1,2895
strike,large,ee_speed,14,0.9590843960867097,0.00400514759991102,0.0001,0.8,1,2895
strike,large,ee_speed,15,0.9581953430871248,0.004194461081837102,0.0001,0.8,1,2895
strike,large,ee_speed,16,0.9553285082485333,0.004498607177691556,0.0001,0.8,1,2895
strike,large,ee_speed,17,0.9513739780381796,0.004760373472648665,0.0001,0.8,1,2895
strike,large,ee_speed,18,0.9482134701926668,0.005250405221520781,0.0001,0.8,1,2895
strike,large,ee_speed,19,0.9506751246332886,0.0024789098603828145,0.0001,0.8,1,2895
strike,large,ee_speed,20,0.9465431129211982,0.0035706944845207257,0.0001,0.8,1,2895
strike,large,ee_speed,21,0.9490646197455813,0.002811837775881459,0.0001,0.8,1,2895
strike,large,ee_speed,22,0.9494223700949614,0.0037956874705934807,0.0001,0.8,1,2895
strike,large,ee_speed,23,0.9512567543705097,0.0021553018833859183,0.0001,0.8,1,2895
