task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
strike,large,object_direction_3d,0,0.5208582074509687,0.0491336654549606,0.0001,0.8,3,2895
strike,large,object_direction_3d,1,0.5787111282558787,0.02901329344432222,0.0001,0.8,3,2895
strike,large,object_direction_3d,2,0.6106498004149336,0.026554689215873273,0.0001,0.8,3,2895
strike,large,object_direction_3d,3,0.6409044634184505,0.02882527575535828,0.0001,0.8,3,2895
strike,large,object_direction_3d,4,0.6608316439614335,0.030575220298937535,0.0001,0.8,3,2895
strike,large,object_direction_3d,5,0.6839236267422859,0.02190424420389998,0.0001,0.8,3,2895
strike,large,object_direction_3d,6,0.7026946798152967,0.01957827911821394,0.0001,0.8,3,2895
strike,large,object_direction_3d,7,0.7254312270185579,0.015031942319935437,0.0001,0.8,3,2895
strike,large,object_direction_3d,8,0.7738329468207336,0.011073599003646581,0.0001,0.8,3,2895
strike,large,object_direction_3d,9,0.7770427946032414,0.008683832727457376,0.0001,0.8,3,2895
strike,large,object_direction_3d,10,0.7787648808109544,0.01079090827353791,0.0001,0.8,3,2895
strike,large,object_direction_3d,11,0.8120377894214961,0.011727131892408614,0.0001,0.8,3,2895
strike,large,object_direction_3d,12,0.8131773699998158,0.009041936249658914,0.0001,0.8,3,2895
strike,large,object_direction_3d,13,0.8101643585236268,0.006865503563522358,0.0001,0.8,3,2895
strike,large,object_direction_3d,14,0.8093902180465393,0.009148952449907446,0.0001,0.8,3,2895
strike,large,object_direction_3d,15,0.8054291104894897,0.007929305858629528,0.0001,0.8,3,2895
strike,large,object_direction_3d,16,0.8084815184007296,0.0074859454909589375,0.0001,0.8,3,2895
strike,large,object_direction_3d,17,0.8006786537597737,0.01011544417803853,0.0001,0.8,3,2895
strike,large,object_direction_3d,18,0.7947382114066734,0.013920337150983453,0.0001,0.8,3,2895
strike,large,object_direction_3d,19,0.798890200528436,0.012453509798939416,0.0001,0.8,3,2895
strike,large,object_direction_3d,20,0.8019980066747084,0.011019549610568021,0.0001,0.8,3,2895
strike,large,object_direction_3d,21,0.807949742404082,0.010512079819585263,0.0001,0.8,3,2895
strike,large,object_direction_3d,22,0.8094887954819452,0.010097865131243841,0.0001,0.8,3,2895
strike,large,object_direction_3d,23,0.8124560911041838,0.01006993274377895,0.0001,0.8,3,2895
