task,layer,param,fold,r2,n_train_eps,n_test_eps
drawer,0,drawer_joint_damping,0,-1.3346869945526123,160,40
drawer,0,drawer_joint_damping,1,-0.6940187215805054,160,40
drawer,0,drawer_joint_damping,2,-1.7234797477722168,160,40
drawer,0,drawer_joint_damping,3,-0.6587545871734619,160,40
drawer,0,drawer_joint_damping,4,-0.7249644994735718,160,40
drawer,1,drawer_joint_damping,0,-1.090747594833374,160,40
drawer,1,drawer_joint_damping,1,-1.283862590789795,160,40
drawer,1,drawer_joint_damping,2,-2.8745336532592773,160,40
drawer,1,drawer_joint_damping,3,-1.8820135593414307,160,40
drawer,1,drawer_joint_damping,4,-0.7595727443695068,160,40
drawer,2,drawer_joint_damping,0,-1.640169620513916,160,40
drawer,2,drawer_joint_damping,1,-0.9050241708755493,160,40
drawer,2,drawer_joint_damping,2,-1.5564165115356445,160,40
drawer,2,drawer_joint_damping,3,-1.0375044345855713,160,40
drawer,2,drawer_joint_damping,4,-1.2461574077606201,160,40
drawer,3,drawer_joint_damping,0,-0.4695422649383545,160,40
drawer,3,drawer_joint_damping,1,-0.9896597862243652,160,40
drawer,3,drawer_joint_damping,2,-0.9870582818984985,160,40
drawer,3,drawer_joint_damping,3,-0.7808099985122681,160,40
drawer,3,drawer_joint_damping,4,-0.5340982675552368,160,40
drawer,4,drawer_joint_damping,0,-1.3458540439605713,160,40
drawer,4,drawer_joint_damping,1,-2.0619609355926514,160,40
drawer,4,drawer_joint_damping,2,-2.4626080989837646,160,40
drawer,4,drawer_joint_damping,3,-1.0413482189178467,160,40
drawer,4,drawer_joint_damping,4,-1.5477252006530762,160,40
drawer,5,drawer_joint_damping,0,-0.586564302444458,160,40
drawer,5,drawer_joint_damping,1,-1.1730003356933594,160,40
drawer,5,drawer_joint_damping,2,-1.5259604454040527,160,40
drawer,5,drawer_joint_damping,3,-0.8609112501144409,160,40
drawer,5,drawer_joint_damping,4,-0.9213398694992065,160,40
drawer,6,drawer_joint_damping,0,-0.5882467031478882,160,40
drawer,6,drawer_joint_damping,1,-0.8330144882202148,160,40
drawer,6,drawer_joint_damping,2,-1.7102375030517578,160,40
drawer,6,drawer_joint_damping,3,-0.34497761726379395,160,40
drawer,6,drawer_joint_damping,4,-1.099684238433838,160,40
drawer,7,drawer_joint_damping,0,-0.5805023908615112,160,40
drawer,7,drawer_joint_damping,1,-1.1493661403656006,160,40
drawer,7,drawer_joint_damping,2,-1.3832237720489502,160,40
drawer,7,drawer_joint_damping,3,-0.5379472970962524,160,40
drawer,7,drawer_joint_damping,4,-0.7608164548873901,160,40
drawer,8,drawer_joint_damping,0,-0.5894315242767334,160,40
drawer,8,drawer_joint_damping,1,-1.0333292484283447,160,40
drawer,8,drawer_joint_damping,2,-1.7119710445404053,160,40
drawer,8,drawer_joint_damping,3,-0.6755746603012085,160,40
drawer,8,drawer_joint_damping,4,-0.4675934314727783,160,40
drawer,9,drawer_joint_damping,0,-1.1194498538970947,160,40
drawer,9,drawer_joint_damping,1,-1.9376165866851807,160,40
drawer,9,drawer_joint_damping,2,-1.9564650058746338,160,40
drawer,9,drawer_joint_damping,3,-0.9974420070648193,160,40
drawer,9,drawer_joint_damping,4,-0.9102798700332642,160,40
drawer,10,drawer_joint_damping,0,-1.3051705360412598,160,40
drawer,10,drawer_joint_damping,1,-1.4630053043365479,160,40
drawer,10,drawer_joint_damping,2,-1.8458237648010254,160,40
drawer,10,drawer_joint_damping,3,-0.9603626728057861,160,40
