task,layer,param,r2_mean,r2_std
drawer,0,drawer_joint_damping,-1.0271809101104736,0.4283600871825591
drawer,1,drawer_joint_damping,-1.5781460285186768,0.7439325972522062
drawer,2,drawer_joint_damping,-1.2770544290542603,0.2851810492204575
drawer,3,drawer_joint_damping,-0.7522337198257446,0.21901043347994226
drawer,4,drawer_joint_damping,-1.691899299621582,0.5088590897715308
drawer,5,drawer_joint_damping,-1.0135552406311035,0.3168933435795634
drawer,6,drawer_joint_damping,-0.9152321100234986,0.4700905322969918
drawer,7,drawer_joint_damping,-0.8823712110519409,0.33065624324679244
drawer,8,drawer_joint_damping,-0.8955799818038941,0.44961559905584075
drawer,9,drawer_joint_damping,-1.3842506647109984,0.46433432289264437
drawer,10,drawer_joint_damping,-1.2528504610061646,0.40024825893213456
drawer,11,drawer_joint_damping,-1.1445321559906005,0.3492999215432742
drawer,12,drawer_joint_damping,-1.6291521549224854,0.5774005463391962
drawer,13,drawer_joint_damping,-1.490762758255005,0.47447126100844794
drawer,14,drawer_joint_damping,-1.3812233686447144,0.435717028922201
drawer,15,drawer_joint_damping,-0.9913330554962159,0.5366406364710832
drawer,16,drawer_joint_damping,-0.8979330778121948,0.37395870892815125
drawer,17,drawer_joint_damping,-0.9544121503829956,0.5391258306829555
drawer,18,drawer_joint_damping,-0.7675105810165406,0.46334585129814976
drawer,19,drawer_joint_damping,-1.155161190032959,0.3886038327276306
drawer,20,drawer_joint_damping,-1.178775382041931,0.30436328800160445
drawer,21,drawer_joint_damping,-1.2559759616851807,0.5388429500368738
drawer,22,drawer_joint_damping,-0.9097611427307128,0.3113479290443502
drawer,23,drawer_joint_damping,-1.0538877725601197,0.4347168391545898
