stage,fold,best_lr,best_wd,r2,mse,n_test_windows
stage_0,0,0.0010000000474974513,0.009999999776482582,0.294272780418396,0.15817515552043915,112000
stage_0,1,9.999999747378752e-05,0.009999999776482582,0.30755871534347534,0.15581248700618744,112000
stage_0,2,0.003000000026077032,0.009999999776482582,0.30181729793548584,0.14667321741580963,112000
stage_0,3,0.003000000026077032,0.009999999776482582,0.3226117491722107,0.15006300806999207,111720
stage_0,4,0.0003000000142492354,0.009999999776482582,0.3198170065879822,0.14949125051498413,111720
stage_1,0,0.0010000000474974513,0.009999999776482582,0.47173380851745605,0.11720425635576248,112000
stage_1,1,0.0003000000142492354,0.009999999776482582,0.4630321264266968,0.11792292445898056,112000
stage_1,2,0.003000000026077032,0.009999999776482582,0.459184467792511,0.1209762841463089,112000
stage_1,3,0.004999999888241291,0.009999999776482582,0.46522635221481323,0.12033426016569138,112000
stage_1,4,0.003000000026077032,0.009999999776482582,0.4517531991004944,0.11517489701509476,112000
stage_2,0,0.0003000000142492354,0.009999999776482582,0.4612165689468384,0.11953768134117126,112000
stage_2,1,0.003000000026077032,0.009999999776482582,0.48093026876449585,0.11399233341217041,112000
stage_2,2,9.999999747378752e-05,0.009999999776482582,0.46309202909469604,0.1201021820306778,112000
stage_2,3,0.004999999888241291,0.009999999776482582,0.48205626010894775,0.11654721200466156,112000
stage_2,4,0.0010000000474974513,0.009999999776482582,0.4647766351699829,0.11243895441293716,112000
stage_3,0,9.999999747378752e-05,0.10000000149011612,0.5284043550491333,0.10463100671768188,112000
stage_3,1,9.999999747378752e-05,0.4000000059604645,0.48585283756256104,0.11291129142045975,112000
stage_3,2,0.0003000000142492354,0.009999999776482582,0.4758684039115906,0.11724421381950378,112000
stage_3,3,9.999999747378752e-05,0.009999999776482582,0.5273809432983398,0.10634829103946686,112000
stage_3,4,0.0010000000474974513,0.10000000149011612,0.4694606065750122,0.11145494878292084,112000
stage_4,0,0.0010000000474974513,0.10000000149011612,0.5231959819793701,0.10578656941652298,112000
stage_4,1,0.0010000000474974513,0.10000000149011612,0.5097910761833191,0.10765424370765686,112000
stage_4,2,0.004999999888241291,0.10000000149011612,0.5094351768493652,0.10973557829856873,112000
stage_4,3,9.999999747378752e-05,0.4000000059604645,0.4886370897293091,0.11506639420986176,112000
stage_4,4,0.003000000026077032,0.10000000149011612,0.515146791934967,0.1018572673201561,112000
