layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.009999999776482582,0.3669833540916443,3655.026611328125,112000
0,1,0.0003000000142492354,0.10000000149011612,0.37658554315567017,3762.745361328125,112000
0,2,0.004999999888241291,0.10000000149011612,0.3715910315513611,3770.90087890625,112000
0,3,0.003000000026077032,0.10000000149011612,0.37010473012924194,3795.16162109375,112000
0,4,0.004999999888241291,0.10000000149011612,0.3945562243461609,3595.5869140625,112000
1,0,0.004999999888241291,0.009999999776482582,0.4486654996871948,3183.3955078125,112000
1,1,0.0010000000474974513,0.009999999776482582,0.44547557830810547,3346.94580078125,112000
1,2,0.004999999888241291,0.10000000149011612,0.4367940425872803,3379.63623046875,112000
1,3,0.0010000000474974513,0.10000000149011612,0.44193142652511597,3362.401123046875,112000
1,4,0.003000000026077032,0.10000000149011612,0.45091259479522705,3260.89990234375,112000
2,0,0.0010000000474974513,0.009999999776482582,0.4542633295059204,3151.073486328125,112000
2,1,9.999999747378752e-05,0.009999999776482582,0.4598856568336487,3259.970458984375,112000
2,2,0.003000000026077032,0.009999999776482582,0.4492111802101135,3305.124755859375,112000
2,3,0.004999999888241291,0.009999999776482582,0.45497143268585205,3283.834228515625,112000
2,4,0.0010000000474974513,0.009999999776482582,0.46552175283432007,3174.1396484375,112000
3,0,0.0010000000474974513,0.009999999776482582,0.5139405727386475,2806.498291015625,112000
3,1,0.004999999888241291,0.009999999776482582,0.5069478750228882,2975.916748046875,112000
3,2,0.003000000026077032,0.009999999776482582,0.5074626207351685,2955.574951171875,112000
3,3,0.004999999888241291,0.009999999776482582,0.5115097165107727,2943.187255859375,112000
3,4,9.999999747378752e-05,0.10000000149011612,0.5112607479095459,2902.50634765625,112000
4,0,0.004999999888241291,0.009999999776482582,0.5215965509414673,2762.29248046875,112000
4,1,0.004999999888241291,0.009999999776482582,0.5360758304595947,2800.109130859375,112000
4,2,0.0010000000474974513,0.009999999776482582,0.5211284160614014,2873.570068359375,112000
4,3,0.0010000000474974513,0.009999999776482582,0.5329960584640503,2813.73046875,112000
4,4,0.0010000000474974513,0.009999999776482582,0.5587359070777893,2620.562744140625,112000
5,0,0.004999999888241291,0.009999999776482582,0.6272130012512207,2152.46533203125,112000
