layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.009999999776482582,0.9294322729110718,0.0023257655557245016,112000
0,1,9.999999747378752e-05,0.10000000149011612,0.9323988556861877,0.0023615635000169277,112000
0,2,0.0003000000142492354,0.10000000149011612,0.935558557510376,0.00242470926605165,112000
0,3,0.004999999888241291,0.10000000149011612,0.9359717965126038,0.0024846794549375772,112000
0,4,9.999999747378752e-05,0.10000000149011612,0.9327085614204407,0.0026925811544060707,112000
1,0,0.0003000000142492354,0.009999999776482582,0.9729257225990295,0.0008923119166865945,112000
1,1,9.999999747378752e-05,0.10000000149011612,0.9720267653465271,0.0009772100020200014,112000
1,2,0.003000000026077032,0.10000000149011612,0.9710289239883423,0.0010900802444666624,112000
1,3,0.0003000000142492354,0.10000000149011612,0.9716869592666626,0.0010987166315317154,112000
1,4,0.0010000000474974513,0.10000000149011612,0.9714657664299011,0.0011417603818699718,112000
2,0,0.004999999888241291,0.10000000149011612,0.9677836298942566,0.0010617845691740513,112000
2,1,0.003000000026077032,0.10000000149011612,0.9743991494178772,0.0008943339926190674,112000
2,2,0.004999999888241291,0.10000000149011612,0.971078097820282,0.0010882301721721888,112000
2,3,0.004999999888241291,0.10000000149011612,0.9744758009910583,0.0009904917096719146,112000
2,4,0.0003000000142492354,0.10000000149011612,0.9755223989486694,0.0009794397046789527,112000
3,0,0.0003000000142492354,0.10000000149011612,0.9730632305145264,0.0008877795771695673,112000
3,1,9.999999747378752e-05,0.10000000149011612,0.9763004779815674,0.000827913754619658,112000
3,2,0.004999999888241291,0.10000000149011612,0.9756816625595093,0.0009150157566182315,112000
3,3,0.004999999888241291,0.10000000149011612,0.9780962467193604,0.0008499965770170093,112000
3,4,0.004999999888241291,0.009999999776482582,0.9738479256629944,0.0010464421939104795,112000
4,0,9.999999747378752e-05,0.10000000149011612,0.9803531169891357,0.0006475198897533119,112000
4,1,0.0010000000474974513,0.10000000149011612,0.981540322303772,0.0006448659696616232,112000
4,2,9.999999747378752e-05,0.009999999776482582,0.9808784127235413,0.0007194782956503332,112000
4,3,0.004999999888241291,0.10000000149011612,0.9814164042472839,0.0007211561314761639,112000
4,4,0.0003000000142492354,0.10000000149011612,0.975712776184082,0.0009718211949802935,112000
5,0,9.999999747378752e-05,0.4000000059604645,0.9769164323806763,0.0007607861189171672,112000
5,1,0.0003000000142492354,0.4000000059604645,0.9779772162437439,0.0007693394436500967,112000
5,2,0.004999999888241291,0.10000000149011612,0.9827911853790283,0.0006475085392594337,112000
5,3,0.004999999888241291,0.10000000149011612,0.9825093150138855,0.0006787439924664795,112000
5,4,0.0010000000474974513,0.4000000059604645,0.9627509713172913,0.001490471651777625,112000
6,0,0.0010000000474974513,0.10000000149011612,0.980682373046875,0.0006366690504364669,112000
6,1,0.0003000000142492354,0.10000000149011612,0.9822458028793335,0.0006202217773534358,112000
