layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
0,1,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
0,2,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
0,3,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
0,4,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
1,0,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
1,1,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
1,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
1,3,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
1,4,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
2,0,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
2,1,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
2,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
2,3,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
2,4,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
3,0,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
3,1,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
3,2,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
3,3,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
3,4,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
4,0,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
4,1,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
4,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
4,3,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
4,4,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
5,0,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
5,1,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
5,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
5,3,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
5,4,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
6,0,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
6,1,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
6,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
6,3,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
6,4,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
7,0,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
7,1,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
7,2,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
7,3,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
7,4,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
8,0,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
8,1,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
8,2,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
8,3,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
8,4,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
9,0,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
9,1,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
9,2,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
9,3,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
9,4,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
10,0,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
10,1,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
10,2,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
10,3,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
10,4,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
11,0,0.0003000000142492354,0.009999999776482582,1.0,0.0,112000
11,1,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
11,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
11,3,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
11,4,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
12,0,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
12,1,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
12,2,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
12,3,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
12,4,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
13,0,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
13,1,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
13,2,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
13,3,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
13,4,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
14,0,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
14,1,0.0010000000474974513,0.009999999776482582,1.0,0.0,112000
14,2,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
14,3,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
14,4,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
15,0,0.003000000026077032,0.009999999776482582,1.0,0.0,112000
15,1,9.999999747378752e-05,0.009999999776482582,1.0,0.0,112000
15,2,0.004999999888241291,0.009999999776482582,1.0,0.0,112000
