layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0010000000474974513,0.4000000059604645,0.7137240767478943,626.487060546875,112000
0,1,0.004999999888241291,0.4000000059604645,0.7173357605934143,646.9603881835938,112000
0,2,0.0003000000142492354,0.4000000059604645,0.6945932507514954,695.79345703125,112000
0,3,0.004999999888241291,0.4000000059604645,0.6928678154945374,706.133056640625,112000
0,4,0.004999999888241291,0.800000011920929,0.6809048056602478,722.7315063476562,112000
1,0,0.0003000000142492354,0.800000011920929,0.757790207862854,530.0674438476562,112000
1,1,0.003000000026077032,0.4000000059604645,0.7709102034568787,524.3457641601562,112000
1,2,0.004999999888241291,0.4000000059604645,0.7559227347373962,556.073486328125,112000
1,3,0.003000000026077032,0.4000000059604645,0.7419459819793701,593.2891845703125,112000
1,4,0.004999999888241291,0.4000000059604645,0.7543678879737854,556.3403930664062,112000
2,0,0.0003000000142492354,0.800000011920929,0.7488580942153931,549.6101684570312,112000
2,1,0.004999999888241291,0.4000000059604645,0.7590017914772034,551.6021118164062,112000
2,2,9.999999747378752e-05,0.4000000059604645,0.7533718943595886,561.890869140625,112000
2,3,0.004999999888241291,0.10000000149011612,0.7676122784614563,534.28369140625,112000
2,4,0.003000000026077032,0.800000011920929,0.7305758595466614,610.2360229492188,112000
3,0,0.0010000000474974513,0.4000000059604645,0.7919332981109619,455.337890625,112000
3,1,9.999999747378752e-05,0.4000000059604645,0.7885604500770569,483.9483337402344,112000
3,2,0.004999999888241291,0.800000011920929,0.7635771632194519,538.6435546875,112000
3,3,9.999999747378752e-05,0.800000011920929,0.7695570588111877,529.8259887695312,112000
3,4,0.0003000000142492354,0.800000011920929,0.7598298192024231,543.981689453125,112000
4,0,9.999999747378752e-05,0.800000011920929,0.824103593826294,384.942626953125,112000
4,1,0.0010000000474974513,0.800000011920929,0.8223398327827454,406.63775634765625,112000
4,2,0.004999999888241291,0.800000011920929,0.8090394735336304,435.063720703125,112000
4,3,0.004999999888241291,0.800000011920929,0.8113886713981628,433.6467590332031,112000
4,4,9.999999747378752e-05,0.800000011920929,0.8049280643463135,441.83770751953125,112000
5,0,9.999999747378752e-05,0.800000011920929,0.8227059841156006,387.9949035644531,112000
5,1,0.0010000000474974513,0.800000011920929,0.8260195851325989,398.2181091308594,112000
5,2,9.999999747378752e-05,0.800000011920929,0.8118122816085815,428.7475280761719,112000
5,3,0.003000000026077032,0.800000011920929,0.8105862736701965,435.48785400390625,112000
5,4,9.999999747378752e-05,0.800000011920929,0.8107933402061462,428.5494689941406,112000
6,0,0.004999999888241291,0.800000011920929,0.8208808898925781,391.98895263671875,112000
6,1,9.999999747378752e-05,0.800000011920929,0.8205528259277344,410.7227478027344,112000
6,2,9.999999747378752e-05,0.800000011920929,0.8136984705924988,424.4487609863281,112000
6,3,0.0010000000474974513,0.4000000059604645,0.8093008399009705,438.4379577636719,112000
6,4,9.999999747378752e-05,0.800000011920929,0.8071405291557312,436.821044921875,112000
7,0,0.003000000026077032,0.800000011920929,0.8339331746101379,363.4266052246094,112000
7,1,0.0010000000474974513,0.800000011920929,0.8302918672561646,388.4313659667969,112000
7,2,0.004999999888241291,0.800000011920929,0.8198263049125671,410.4858093261719,112000
7,3,0.004999999888241291,0.800000011920929,0.820445716381073,412.8211364746094,112000
7,4,9.999999747378752e-05,0.800000011920929,0.8151864409446716,418.5975341796875,112000
