layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,0.0003000000142492354,0.800000011920929,0.7386788725852966,1508.8634033203125,112000
0,1,9.999999747378752e-05,0.800000011920929,0.7473836541175842,1524.7177734375,112000
0,2,0.0010000000474974513,0.800000011920929,0.7262065410614014,1642.955322265625,112000
0,3,0.003000000026077032,0.800000011920929,0.7337111830711365,1604.408203125,112000
0,4,0.0003000000142492354,0.800000011920929,0.7403352856636047,1542.087158203125,112000
1,0,0.0010000000474974513,0.800000011920929,0.7692068815231323,1332.5950927734375,112000
1,1,9.999999747378752e-05,0.4000000059604645,0.7912816405296326,1259.762451171875,112000
1,2,0.0010000000474974513,0.800000011920929,0.7720727920532227,1367.725341796875,112000
1,3,0.003000000026077032,0.800000011920929,0.7807470560073853,1321.013671875,112000
1,4,0.004999999888241291,0.800000011920929,0.7722551226615906,1352.522705078125,112000
2,0,0.003000000026077032,0.4000000059604645,0.781825602054596,1259.73486328125,112000
2,1,9.999999747378752e-05,0.4000000059604645,0.7851123213768005,1296.9984130859375,112000
2,2,0.0003000000142492354,0.800000011920929,0.7685126662254333,1389.0887451171875,112000
2,3,0.0003000000142492354,0.800000011920929,0.7731381058692932,1366.8582763671875,112000
2,4,0.0003000000142492354,0.4000000059604645,0.7690106630325317,1371.790771484375,112000
3,0,0.003000000026077032,0.800000011920929,0.8086944818496704,1104.5946044921875,112000
3,1,0.003000000026077032,0.4000000059604645,0.8154551386833191,1113.858154296875,112000
3,2,0.003000000026077032,0.800000011920929,0.8050499558448792,1169.8389892578125,112000
3,3,0.003000000026077032,0.800000011920929,0.8047028183937073,1176.678955078125,112000
3,4,0.0010000000474974513,0.4000000059604645,0.8028574585914612,1170.7828369140625,112000
4,0,0.0003000000142492354,0.800000011920929,0.8496784567832947,867.9539184570312,112000
4,1,9.999999747378752e-05,0.800000011920929,0.8489387035369873,911.76123046875,112000
4,2,0.0010000000474974513,0.800000011920929,0.8377236723899841,973.7734985351562,112000
4,3,0.0003000000142492354,0.4000000059604645,0.8390787243843079,969.5615234375,112000
4,4,0.0010000000474974513,0.800000011920929,0.8347166180610657,981.578857421875,112000
5,0,9.999999747378752e-05,0.800000011920929,0.8485795259475708,874.299072265625,112000
5,1,0.003000000026077032,0.4000000059604645,0.7872399687767029,1284.15673828125,112000
5,2,0.0010000000474974513,0.800000011920929,0.8100430965423584,1139.876708984375,112000
5,3,0.0010000000474974513,0.4000000059604645,0.8456839323043823,929.7646484375,112000
5,4,0.0003000000142492354,0.800000011920929,0.8438005447387695,927.6317138671875,112000
6,0,9.999999747378752e-05,0.800000011920929,0.8488233685493469,872.8910522460938,112000
6,1,0.0010000000474974513,0.800000011920929,0.7225568294525146,1674.5648193359375,112000
6,2,9.999999747378752e-05,0.800000011920929,0.8442292213439941,934.7354736328125,112000
6,3,0.0010000000474974513,0.4000000059604645,0.8253323435783386,1052.3843994140625,112000
6,4,0.0010000000474974513,0.800000011920929,0.7487212419509888,1492.284912109375,112000
7,0,0.0003000000142492354,0.800000011920929,0.8622767925262451,795.2112426757812,112000
7,1,0.004999999888241291,0.4000000059604645,0.8382654190063477,976.1820068359375,112000
7,2,0.003000000026077032,0.4000000059604645,0.8296135067939758,1022.4403076171875,112000
7,3,0.0003000000142492354,0.800000011920929,0.7714900970458984,1376.787841796875,112000
7,4,9.999999747378752e-05,0.800000011920929,0.8352671265602112,978.3093872070312,112000
8,0,0.0003000000142492354,0.800000011920929,0.80361008644104,1133.95166015625,112000
8,1,0.0003000000142492354,0.800000011920929,0.8621628284454346,831.9444580078125,112000
8,2,0.003000000026077032,0.800000011920929,0.8540356159210205,875.89013671875,112000
8,3,0.003000000026077032,0.800000011920929,0.8458805680274963,928.580078125,112000
8,4,9.999999747378752e-05,0.800000011920929,0.839777946472168,951.5209350585938,112000
9,0,9.999999747378752e-05,0.800000011920929,0.8397601842880249,925.2216186523438,112000
9,1,0.0003000000142492354,0.800000011920929,0.8615239858627319,835.80029296875,112000
9,2,9.999999747378752e-05,0.800000011920929,0.8483480215072632,910.019775390625,112000
9,3,0.003000000026077032,0.800000011920929,0.8554480671882629,870.9351196289062,112000
9,4,9.999999747378752e-05,0.800000011920929,0.8387116193771362,957.8534545898438,112000
10,0,0.003000000026077032,0.800000011920929,0.8583239316940308,818.03515625,112000
10,1,0.0003000000142492354,0.800000011920929,0.8677390813827515,798.2877807617188,112000
10,2,0.0003000000142492354,0.800000011920929,0.8355779647827148,986.6489868164062,112000
10,3,0.003000000026077032,0.800000011920929,0.8612331748008728,836.07958984375,112000
10,4,0.0003000000142492354,0.800000011920929,0.8550600409507751,860.7640991210938,112000
11,0,9.999999747378752e-05,0.800000011920929,0.8724761605262756,736.3203125,112000
11,1,0.0003000000142492354,0.800000011920929,0.8725009560585022,769.5465698242188,112000
11,2,0.004999999888241291,0.800000011920929,0.8661217093467712,803.3648681640625,112000
11,3,0.0003000000142492354,0.800000011920929,0.8650867938995361,812.861328125,112000
11,4,0.0003000000142492354,0.800000011920929,0.8586530089378357,839.4262084960938,112000
12,0,0.004999999888241291,0.800000011920929,0.8786779642105103,700.51123046875,112000
12,1,0.004999999888241291,0.800000011920929,0.8795550465583801,726.9701538085938,112000
12,2,0.0010000000474974513,0.800000011920929,0.8586422204971313,848.2471923828125,112000
12,3,0.0003000000142492354,0.800000011920929,0.8693869709968567,786.9522705078125,112000
12,4,0.003000000026077032,0.800000011920929,0.8681197166442871,783.2059326171875,112000
13,0,9.999999747378752e-05,0.800000011920929,0.8790938854217529,698.1097412109375,112000
13,1,0.004999999888241291,0.800000011920929,0.8812132477760315,716.961669921875,112000
13,2,0.003000000026077032,0.4000000059604645,0.820550799369812,1076.8228759765625,112000
13,3,0.0010000000474974513,0.800000011920929,0.864300549030304,817.5984497070312,112000
13,4,0.003000000026077032,0.4000000059604645,0.8686509132385254,780.0512084960938,112000
14,0,0.004999999888241291,0.800000011920929,0.8791214823722839,697.950439453125,112000
14,1,9.999999747378752e-05,0.4000000059604645,0.8808721303939819,719.0206298828125,112000
14,2,9.999999747378752e-05,0.4000000059604645,0.8249279856681824,1050.5565185546875,112000
14,3,0.003000000026077032,0.800000011920929,0.8728100061416626,766.3284912109375,112000
14,4,0.003000000026077032,0.800000011920929,0.8716463446617126,762.2620239257812,112000
15,0,0.004999999888241291,0.800000011920929,0.8789882659912109,698.7193603515625,112000
15,1,0.004999999888241291,0.800000011920929,0.8813116550445557,716.3676147460938,112000
15,2,0.003000000026077032,0.800000011920929,0.8682945966720581,790.3262329101562,112000
15,3,0.0010000000474974513,0.800000011920929,0.8723368048667908,769.179443359375,112000
15,4,0.003000000026077032,0.800000011920929,0.8743948936462402,745.9388427734375,112000
16,0,9.999999747378752e-05,0.800000011920929,0.8820213079452515,681.2069091796875,112000
16,1,0.004999999888241291,0.800000011920929,0.8792438507080078,728.8483276367188,112000
16,2,0.0003000000142492354,0.4000000059604645,0.8503963947296143,897.72802734375,112000
16,3,0.004999999888241291,0.800000011920929,0.8772518634796143,739.5657958984375,112000
16,4,0.0010000000474974513,0.800000011920929,0.8734145164489746,751.760986328125,112000
17,0,0.0010000000474974513,0.4000000059604645,0.8770308494567871,710.0217895507812,112000
17,1,0.004999999888241291,0.800000011920929,0.8864167928695679,685.5548706054688,112000
17,2,0.0010000000474974513,0.800000011920929,0.8660368323326111,803.8742065429688,112000
17,3,0.003000000026077032,0.800000011920929,0.7939267158508301,1241.60546875,112000
17,4,0.0003000000142492354,0.800000011920929,0.8781877756118774,723.4140625,112000
18,0,0.0010000000474974513,0.4000000059604645,0.8814986348152161,684.224853515625,112000
18,1,0.004999999888241291,0.800000011920929,0.8830152750015259,706.0852661132812,112000
18,2,0.003000000026077032,0.800000011920929,0.876655638217926,740.1539916992188,112000
18,3,0.0003000000142492354,0.800000011920929,0.8629226684570312,825.900146484375,112000
18,4,0.0010000000474974513,0.800000011920929,0.8781824707984924,723.4453125,112000
19,0,0.004999999888241291,0.800000011920929,0.8871484994888306,651.6024780273438,112000
19,1,0.0010000000474974513,0.800000011920929,0.8838299512863159,701.1680908203125,112000
19,2,0.003000000026077032,0.800000011920929,0.8743178248405457,754.182373046875,112000
19,3,0.0003000000142492354,0.800000011920929,0.7932029366493225,1245.9664306640625,112000
19,4,0.0010000000474974513,0.800000011920929,0.8801575303077698,711.7161254882812,112000
20,0,0.003000000026077032,0.4000000059604645,0.879733681678772,694.4155883789062,112000
20,1,0.004999999888241291,0.800000011920929,0.8829501867294312,706.4781494140625,112000
20,2,0.003000000026077032,0.800000011920929,0.8749477863311768,750.40234375,112000
20,3,0.004999999888241291,0.800000011920929,0.8316739797592163,1014.1758422851562,112000
20,4,0.0010000000474974513,0.800000011920929,0.8789310455322266,718.9996948242188,112000
21,0,9.999999747378752e-05,0.800000011920929,0.8681176900863647,761.4862060546875,112000
21,1,9.999999747378752e-05,0.4000000059604645,0.8838549852371216,701.016845703125,112000
21,2,0.003000000026077032,0.800000011920929,0.8722412586212158,766.6434326171875,112000
21,3,0.004999999888241291,0.800000011920929,0.8312764167785645,1016.5708618164062,112000
21,4,0.0010000000474974513,0.800000011920929,0.875131368637085,741.5653076171875,112000
22,0,0.004999999888241291,0.800000011920929,0.8732430338859558,731.8922729492188,112000
22,1,0.004999999888241291,0.800000011920929,0.8717920780181885,773.8251342773438,112000
22,2,0.003000000026077032,0.800000011920929,0.8751080632209778,749.4403686523438,112000
22,3,0.0003000000142492354,0.800000011920929,0.7627824544906616,1429.251953125,112000
22,4,0.0010000000474974513,0.800000011920929,0.8763747215270996,734.1812744140625,112000
23,0,9.999999747378752e-05,0.800000011920929,0.8533244132995605,846.9022216796875,112000
23,1,0.004999999888241291,0.800000011920929,0.8779085874557495,736.907470703125,112000
23,2,0.003000000026077032,0.800000011920929,0.873582661151886,758.5939331054688,112000
23,3,0.0010000000474974513,0.800000011920929,0.8689729571342468,789.44677734375,112000
23,4,0.0010000000474974513,0.800000011920929,0.8701883554458618,770.9203491210938,112000
