layer,fold,best_lr,best_wd,r2,mse,n_test_windows
0,0,9.999999747378752e-05,0.800000011920929,0.7010114789009094,28.993549346923828,112000
0,1,9.999999747378752e-05,0.800000011920929,0.7257428169250488,27.481250762939453,112000
0,2,0.0010000000474974513,0.800000011920929,0.692873477935791,31.24019432067871,112000
0,3,0.003000000026077032,0.800000011920929,0.7107234001159668,29.81900405883789,112000
0,4,0.0003000000142492354,0.800000011920929,0.6812693476676941,30.39952278137207,112000
1,0,0.0010000000474974513,0.800000011920929,0.7461377382278442,24.617565155029297,112000
1,1,0.0010000000474974513,0.800000011920929,0.7744868993759155,22.59697151184082,112000
1,2,0.0010000000474974513,0.800000011920929,0.7526285648345947,25.162044525146484,112000
1,3,9.999999747378752e-05,0.800000011920929,0.7593464255332947,24.806884765625,112000
1,4,0.0010000000474974513,0.800000011920929,0.7370202541351318,25.08218002319336,112000
2,0,0.003000000026077032,0.4000000059604645,0.7557805776596069,23.682476043701172,112000
2,1,0.004999999888241291,0.800000011920929,0.7739914655685425,22.6466121673584,112000
2,2,0.0003000000142492354,0.800000011920929,0.7586882710456848,24.545669555664062,112000
2,3,0.0003000000142492354,0.4000000059604645,0.761589765548706,24.575637817382812,112000
2,4,0.0010000000474974513,0.800000011920929,0.7502782344818115,23.81767463684082,112000
3,0,0.003000000026077032,0.800000011920929,0.7683184146881104,22.46665382385254,112000
3,1,0.003000000026077032,0.4000000059604645,0.7856121063232422,21.48219108581543,112000
3,2,0.003000000026077032,0.800000011920929,0.7725226283073425,23.138471603393555,112000
3,3,0.003000000026077032,0.4000000059604645,0.7768600583076477,23.001558303833008,112000
3,4,0.003000000026077032,0.800000011920929,0.761417031288147,22.755290985107422,112000
4,0,0.0003000000142492354,0.800000011920929,0.7811025381088257,21.226953506469727,112000
4,1,9.999999747378752e-05,0.800000011920929,0.8010699152946472,19.93328285217285,112000
4,2,0.0010000000474974513,0.800000011920929,0.7875711917877197,21.607763290405273,112000
4,3,0.0003000000142492354,0.4000000059604645,0.7894740104675293,21.701290130615234,112000
4,4,0.0010000000474974513,0.800000011920929,0.789910078048706,20.0377140045166,112000
5,0,9.999999747378752e-05,0.800000011920929,0.7891538739204407,20.44619369506836,112000
5,1,0.003000000026077032,0.4000000059604645,0.7763569951057434,22.409578323364258,112000
5,2,0.0010000000474974513,0.800000011920929,0.7813165187835693,22.24397850036621,112000
5,3,0.0010000000474974513,0.4000000059604645,0.8007565140724182,20.538278579711914,112000
5,4,0.0003000000142492354,0.800000011920929,0.7968366146087646,19.377084732055664,112000
6,0,0.0003000000142492354,0.800000011920929,0.7861384749412537,20.738603591918945,112000
6,1,0.0010000000474974513,0.800000011920929,0.7747902870178223,22.56656837463379,112000
6,2,9.999999747378752e-05,0.800000011920929,0.7912037968635559,21.238264083862305,112000
6,3,0.0010000000474974513,0.4000000059604645,0.7970206141471863,20.923381805419922,112000
6,4,0.0010000000474974513,0.800000011920929,0.7742844223976135,21.528039932250977,112000
7,0,0.0003000000142492354,0.800000011920929,0.7963232398033142,19.750965118408203,112000
7,1,0.003000000026077032,0.4000000059604645,0.8049870729446411,19.5407772064209,112000
7,2,9.999999747378752e-05,0.800000011920929,0.7904627323150635,21.313648223876953,112000
7,3,0.0003000000142492354,0.800000011920929,0.7891895771026611,21.730615615844727,112000
7,4,0.0010000000474974513,0.800000011920929,0.797676682472229,19.29696273803711,112000
8,0,0.0003000000142492354,0.800000011920929,0.7687989473342896,22.42005729675293,112000
8,1,0.0003000000142492354,0.800000011920929,0.8130459785461426,18.73325538635254,112000
8,2,0.003000000026077032,0.800000011920929,0.8007071018218994,20.271610260009766,112000
8,3,0.003000000026077032,0.800000011920929,0.8022491335868835,20.384416580200195,112000
8,4,0.0010000000474974513,0.800000011920929,0.8007994890213013,18.999116897583008,112000
9,0,9.999999747378752e-05,0.800000011920929,0.7946184873580933,19.916276931762695,112000
9,1,0.003000000026077032,0.800000011920929,0.8111969828605652,18.918529510498047,112000
9,2,9.999999747378752e-05,0.800000011920929,0.7816965579986572,22.2053165435791,112000
9,3,0.003000000026077032,0.800000011920929,0.8011218309402466,20.500619888305664,112000
9,4,0.0003000000142492354,0.800000011920929,0.7909575700759888,19.937807083129883,112000
10,0,9.999999747378752e-05,0.800000011920929,0.8012278079986572,19.275362014770508,112000
10,1,0.0003000000142492354,0.800000011920929,0.8138572573661804,18.651962280273438,112000
10,2,0.0010000000474974513,0.800000011920929,0.8007413744926453,20.268123626708984,112000
10,3,0.003000000026077032,0.800000011920929,0.8079056143760681,19.801342010498047,112000
10,4,0.0003000000142492354,0.800000011920929,0.8000330328941345,19.07221794128418,112000
11,0,9.999999747378752e-05,0.800000011920929,0.8090769052505493,18.514219284057617,112000
11,1,0.0003000000142492354,0.800000011920929,0.819904088973999,18.046052932739258,112000
11,2,0.0010000000474974513,0.800000011920929,0.8056568503379822,19.76813316345215,112000
11,3,0.0003000000142492354,0.800000011920929,0.8126664161682129,19.31059455871582,112000
11,4,0.0003000000142492354,0.800000011920929,0.8044577240943909,18.650203704833984,112000
12,0,9.999999747378752e-05,0.800000011920929,0.8122828006744385,18.203330993652344,112000
12,1,0.004999999888241291,0.800000011920929,0.8236942887306213,17.66626739501953,112000
12,2,0.0010000000474974513,0.800000011920929,0.8106974363327026,19.255416870117188,112000
12,3,0.0003000000142492354,0.800000011920929,0.8167668581008911,18.887908935546875,112000
12,4,0.003000000026077032,0.800000011920929,0.8116955161094666,17.95988655090332,112000
13,0,9.999999747378752e-05,0.800000011920929,0.8114247918128967,18.286535263061523,112000
13,1,0.004999999888241291,0.800000011920929,0.8259434700012207,17.440893173217773,112000
13,2,0.004999999888241291,0.800000011920929,0.799174964427948,20.42745590209961,112000
13,3,0.003000000026077032,0.800000011920929,0.8104830980300903,19.5356502532959,112000
13,4,0.0010000000474974513,0.800000011920929,0.8137109875679016,17.767654418945312,112000
14,0,0.0010000000474974513,0.4000000059604645,0.8201102614402771,17.444286346435547,112000
14,1,9.999999747378752e-05,0.4000000059604645,0.8303766250610352,16.996679306030273,112000
